Subject ID;Video ID;Attention (Proprietary measure of mental focus);Mediation (Proprietary measure of calmness);Raw (Raw EEG signal);Delta (1-3 Hz of power spectrum);Theta (4-7 Hz of power spectrum);Alpha 1 (Lower 8-11 Hz of power spectrum);Alpha 2 (Higher 8-11 Hz of power spectrum);Beta 1 (Lower 12-29 Hz of power spectrum);Beta 2 (Higher 12-29 Hz of power spectrum);Gamma 1 (Lower 30-100 Hz of power spectrum);Gamma 2 (Higher 30-100 Hz of power spectrum); predefined label (whether the subject is expected to be confused);user-defined label (whether the subject is actually confused)
0.000000000000000000e+00;0.000000000000000000e+00;5,60E+19;4,30E+19;2,78E+20;3,02E+23;9,06E+22;3,37E+22;2,40E+22;2,79E+22;4,51E+22;3,32E+22;8,29E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,00E+19;3,50E+19;-5,00E+19;7,38E+22;2,81E+22;1,44E+21;2,24E+21;2,75E+21;3,69E+21;5,29E+21;2,74E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,70E+19;4,80E+19;1,01E+20;7,58E+23;3,84E+23;2,02E+23;6,21E+22;3,63E+22;1,31E+23;5,72E+22;2,54E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,70E+19;5,70E+19;-5,00E+18;2,01E+24;1,29E+23;6,12E+22;1,71E+22;1,15E+22;6,25E+22;5,00E+22;3,39E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,40E+19;5,30E+19;-8,00E+18;1,01E+24;3,54E+23;3,71E+22;8,89E+22;4,53E+22;9,96E+22;4,48E+22;2,97E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,40E+19;6,60E+19;7,30E+19;1,79E+24;1,77E+23;5,94E+22;2,62E+22;1,51E+22;3,37E+22;3,38E+22;3,18E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,30E+19;6,90E+19;1,30E+20;6,35E+23;1,22E+23;9,01E+22;6,51E+22;3,62E+22;5,30E+22;6,29E+22;5,93E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,00E+19;6,10E+19;-2,00E+18;1,61E+23;1,21E+22;1,96E+21;8,09E+20;1,28E+21;3,19E+21;3,27E+21;2,52E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,30E+19;6,90E+19;1,70E+19;4,93E+23;1,21E+23;6,37E+22;6,82E+22;1,08E+22;8,84E+22;7,38E+22;2,27E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,70E+19;6,90E+19;-5,90E+19;8,20E+22;1,16E+23;4,73E+22;2,62E+22;4,16E+22;2,89E+22;3,26E+22;4,18E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,80E+19;3,80E+19;-1,40E+19;7,57E+23;1,86E+23;3,24E+21;3,84E+21;1,89E+22;4,30E+22;4,68E+22;1,19E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,40E+19;4,80E+19;7,20E+19;6,68E+23;1,42E+23;7,51E+22;1,62E+22;4,59E+22;3,45E+22;7,49E+22;3,18E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,70E+19;3,40E+19;1,21E+20;1,65E+23;4,21E+22;3,16E+21;6,26E+21;7,27E+21;1,95E+22;1,10E+22;8,15E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,80E+19;3,00E+19;-5,20E+19;7,38E+23;8,43E+22;2,24E+21;3,87E+22;2,17E+22;2,83E+22;8,09E+22;2,47E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,70E+19;4,80E+19;6,90E+19;5,77E+23;1,80E+23;2,59E+22;2,16E+22;4,38E+22;4,44E+22;6,92E+22;2,56E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;5,70E+19;4,30E+19;4,40E+19;2,35E+23;8,09E+22;7,99E+21;3,26E+22;1,18E+22;6,37E+22;4,10E+22;1,81E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;5,70E+19;4,00E+19;1,44E+20;6,71E+23;1,33E+23;7,14E+21;1,43E+22;2,34E+22;6,56E+22;4,79E+22;1,65E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,00E+19;4,00E+19;2,50E+19;3,33E+22;1,47E+22;1,10E+22;1,04E+22;1,43E+22;3,71E+22;6,04E+22;3,63E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,40E+19;4,40E+19;-1,38E+20;1,03E+24;2,68E+23;6,73E+22;3,70E+22;1,01E+22;8,08E+22;9,04E+22;2,63E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;6,70E+19;5,30E+19;2,50E+19;7,56E+23;9,74E+22;5,98E+22;3,22E+22;1,61E+22;5,32E+22;4,46E+22;1,43E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;7,00E+19;6,60E+19;1,24E+20;8,71E+22;7,20E+21;4,99E+21;2,82E+21;2,13E+21;1,14E+22;9,42E+21;4,92E+21;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;5,70E+19;5,30E+19;4,30E+19;8,03E+23;8,39E+22;3,23E+21;7,90E+21;2,71E+22;1,78E+22;1,89E+22;1,22E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;5,30E+19;5,10E+19;3,50E+19;1,58E+23;2,84E+23;2,73E+22;4,79E+22;1,51E+22;3,82E+22;3,16E+22;1,01E+22;0.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;4,10E+19;5,00E+19;1,19E+20;6,13E+23;7,58E+23;2,46E+23;1,32E+23;2,66E+22;8,38E+22;9,45E+22;5,61E+22;0.000000000000000000e+00;0.000000000000000000e+00
