Year,crimes.total,crimes.penal.code,crimes.person,murder,assault,sexual.offenses,rape,stealing.general,burglary,house.theft,vehicle.theft,out.of.vehicle.theft,shop.theft,robbery,fraud,criminal.damage,other.penal.crimes,narcotics,drunk.driving,population
1950,2784,2306,120,1,105,40,5,1578,295,NA,NA,NA,NA,3,209,72,477,0,49,7014000
1951,3284,2754,125,1,109,45,6,1899,342,NA,NA,NA,NA,3,310,73,530,0,66,7073000
1952,3160,2608,119,1,104,39,4,1846,372,NA,NA,NA,NA,3,217,82,553,0,78,7125000
1953,2909,2689,119,1,105,45,5,1929,361,NA,NA,NA,NA,4,209,88,220,0,91,7171000
1954,3028,2791,126,1,107,41,5,1981,393,NA,NA,NA,NA,4,236,101,237,0,103,7213000
1955,3357,3101,135,1,118,44,5,2254,459,NA,NA,NA,NA,4,236,111,255,0,125,7262000
1956,3488,3215,133,1,116,38,5,2363,470,NA,NA,NA,NA,6,234,133,273,0,160,7315000
1957,3774,3520,133,1,116,36,5,2635,580,NA,245,NA,NA,6,254,155,255,0,163,7364000
1958,4064,3791,127,1,113,40,6,2880,724,NA,279,NA,NA,6,254,167,273,1,166,7409000
1959,4033,3733,125,1,110,47,6,2793,715,NA,238,NA,NA,6,251,179,299,1,181,7446000
1960,3982,3694,131,1,116,54,7,2729,753,NA,244,NA,NA,6,269,176,288,2,170,7480000
1961,4108,3747,131,1,116,53,7,2785,751,NA,279,NA,NA,7,256,198,364,NA,177,7520000
1962,4263,3885,129,1,115,49,7,2907,820,NA,315,NA,NA,7,250,205,381,NA,168,7562000
1963,4466,4062,132,1,118,49,7,3066,870,NA,329,NA,NA,8,270,203,397,NA,166,7604000
1964,4799,4391,137,1,124,51,8,3337,947,NA,352,NA,NA,9,294,238,414,NA,193,7661000
1965,5801,5090,167,3,151,51,8,3694,1042,99,397,717,123,12,431,297,711,10,213,7734000
1966,6063,5263,184,3,166,48,8,3736,1031,105,350,641,168,14,529,287,800,13,218,7808000
1967,6421,5555,189,2,173,49,8,3939,1086,108,384,639,204,13,548,314,867,51,229,7868000
1968,7166,6242,228,1,212,47,8,4240,1232,114,396,628,291,15,801,364,924,101,201,7914000
1969,7671,6036,241,1,223,42,8,4142,1131,116,384,574,255,16,681,376,1635,552,231,7968000
1970,8157,7002,247,1,228,41,9,4874,1338,137,402,694,288,19,890,421,1155,196,212,8043000
