BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
195312,13,1750,195312,13,1750,,9991475,"FLORIDA",12,1953,"December","Tornado","C",31,"DUVAL",,"13-DEC-53 17:50:00","CST","13-DEC-53 17:50:00","0","0","0","0","250K","0",,"0",,,,"F1","2.7","100",,,,,"0",,,"0",,,"30.30","-80.53","30.33","-80.52",,,"PUB"
195305,29,1400,195305,29,1400,,10162818,"WYOMING",56,1953,"May","Tornado","C",33,"SHERIDAN",,"29-MAY-53 14:00:00","CST","29-MAY-53 14:00:00","0","0","0","0","0K","0",,"0",,,,"F1",".2","7",,,,,"0",,,"0",,,"44.75","-106.17",,,,,"PUB"
195303,29,1925,195303,29,1925,,10099782,"OKLAHOMA",40,1953,"March","Tornado","C",31,"COMANCHE",,"29-MAR-53 19:25:00","CST","29-MAR-53 19:25:00","0","0","0","0","2.5K","0",,"0",,,,"F1","1","100",,,,,"0",,,"0",,,"34.58","-98.42",,,,,"PUB"
195304,2,2158,195304,2,2158,,10099783,"OKLAHOMA",40,1953,"April","Tornado","C",87,"MCCLAIN",,"02-APR-53 21:58:00","CST","02-APR-53 21:58:00","0","0","0","0","0K","0",,"0",,,,"F0","0","33",,,,,"0",,,"0",,,"34.92","-97.67",,,,,"PUB"
195304,14,1850,195304,14,1850,,10099784,"OKLAHOMA",40,1953,"April","Tornado","C",17,"CANADIAN",,"14-APR-53 18:50:00","CST","14-APR-53 18:50:00","0","0","0","0","250K","0",,"0",,,,"F2","16.2","440",,,,,"0",,,"0",,,"35.50","-97.83","35.30","-97.68",,,"PUB"
195304,14,2300,195304,14,2300,,10099785,"OKLAHOMA",40,1953,"April","Tornado","C",5,"ATOKA",,"14-APR-53 23:00:00","CST","14-APR-53 23:00:00","0","0","0","0","2.5K","0",,"0",,,,"F2",".3","23",,,,,"0",,,"0",,,"34.37","-96.20",,,,,"PUB"
195304,23,1531,195304,23,1531,,10099786,"OKLAHOMA",40,1953,"April","Tornado","C",111,"OKMULGEE",,"23-APR-53 15:31:00","CST","23-APR-53 15:31:00","4","0","1","0","25K","0",,"0",,,,"F2","1.5","300",,,,,"0",,,"0",,,"35.37","-96.08",,,,,"PUB"
195304,23,2000,195304,23,2000,,10099787,"OKLAHOMA",40,1953,"April","Tornado","C",89,"MCCURTAIN",,"23-APR-53 20:00:00","CST","23-APR-53 20:00:00","1","0","0","0","250K","0",,"0",,,,"F2","1","200",,,,,"0",,,"0",,,"33.90","-94.83",,,,,"PUB"
195304,23,2010,195304,23,2010,,10099788,"OKLAHOMA",40,1953,"April","Tornado","C",89,"MCCURTAIN",,"23-APR-53 20:10:00","CST","23-APR-53 20:10:00","0","0","0","0","2.5K","0",,"0",,,,"F1","0","33",,,,,"0",,,"0",,,"33.95","-95.08",,,,,"PUB"
195304,23,2030,195304,23,2030,,10099789,"OKLAHOMA",40,1953,"April","Tornado","C",89,"MCCURTAIN",,"23-APR-53 20:30:00","CST","23-APR-53 20:30:00","14","0","1","0",".03K","0",,"0",,,,"F2",".8","17",,,,,"0",,,"0",,,"34.03","-94.57",,,,,"PUB"
