FromNode,ToNode,EdgeWeight
0,1,1
0,2,2
0,3,1
0,4,2
0,5,1
0,6,6
0,7,6
0,8,1
0,9,4
1,10,1
1,115,1
1,12,2
1,84,3
1,129,1
1,7,2
1,130,12
1,131,1
1,72,2
1,74,1
2,67,1
2,151,1
2,152,4
2,153,9
2,154,3
2,155,2
2,156,2
2,157,4
2,158,2
2,12,3
2,86,2
2,118,2
2,4,4
2,159,4
2,160,4
2,161,9
2,162,12
2,163,9
2,164,2
2,165,7
2,166,14
2,167,5
2,168,2
2,169,2
2,184,5
2,185,2
2,125,28
2,8,1
2,173,1
2,186,2
2,175,10
2,176,14
2,177,2
2,178,3
2,179,4
2,180,4
2,181,6
2,182,4
2,183,2
3,151,5
3,154,2
3,155,1
3,12,44
3,117,1
3,159,12
3,160,6
3,161,4
3,162,1
3,168,2
3,195,1
3,125,1
3,173,8
3,186,17
3,196,6
3,178,2
3,179,5
3,180,1
3,182,1
3,197,1
3,189,1
4,151,5
4,154,2
4,155,1
4,2,44
4,118,1
4,159,12
4,160,6
4,161,4
4,162,1
4,168,2
4,195,1
4,172,1
4,173,8
4,174,17
4,196,6
4,178,2
4,179,5
4,180,1
4,182,1
4,197,1
4,189,1
5,10,1
5,11,1
5,12,3
5,3,4
5,13,4
5,14,4
5,8,7
6,27,1
6,50,1
6,34,2
6,23,12
6,35,8
6,47,5
6,48,7
6,43,4
6,46,9
6,72,1
6,88,1
6,94,1
6,25,1
6,73,6
6,74,10
6,77,13
6,75,7
7,1,1
7,2,2
7,3,4
7,6,2
7,59,1
7,73,1
8,102,2
8,108,1
8,235,1
8,3,1
8,4,2
8,213,1
8,5,2
8,193,1
8,14,1
8,103,2
8,214,1
8,36,3
9,108,2
9,236,1
9,4,2
9,213,4
9,218,1
9,5,1
9,7,1
9,103,1
9,24,4
10,102,13
10,208,3
10,138,1
10,124,1
10,142,1
10,13,5
10,14,5
11,12,2
11,118,1
11,3,4
11,13,6
11,14,9
12,16,1
12,151,1
12,152,4
12,153,9
12,154,3
12,155,2
12,156,2
12,157,4
12,158,2
12,2,3
12,84,2
12,117,2
12,3,4
12,159,4
12,160,4
12,161,9
12,162,12
12,163,9
12,164,2
12,165,7
12,166,14
12,167,5
12,168,1
12,168,2
12,169,2
