Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-04-06,2.5902,2.5989,2.5564,2.5989,543741
1983-04-07,2.5989,2.6326,2.5989,2.6156,446941
1983-04-08,2.6156,2.6662,2.5735,2.5989,933616
1983-04-11,2.5989,2.6156,2.5902,2.5989,307471
1983-04-12,2.5902,2.5989,2.5564,2.5902,160803
1983-04-13,2.5735,2.5902,2.4891,2.506,1018682
1983-04-14,2.506,2.5398,2.4469,2.5228,529075
1983-04-15,2.5398,2.5398,2.4806,2.506,2160570
1983-04-18,2.506,2.5398,2.4301,2.506,2014433
1983-04-19,2.506,2.5902,2.4806,2.5228,1664559
1983-04-20,2.5564,2.5989,2.5398,2.5735,1264288
1983-04-21,2.8687,2.8941,2.8182,2.835,4813681
1983-04-22,2.8182,3.0037,2.8182,2.911,1979768
1983-04-25,2.8941,2.9785,2.8011,2.835,1097351
1983-04-26,2.835,2.911,2.7591,2.8941,2354171
1983-04-27,2.8941,2.9616,2.8182,2.8856,1806163
1983-04-28,2.8856,2.911,2.8517,2.8856,398139
1983-04-29,2.8687,2.8941,2.8182,2.8517,586939
1983-05-02,2.8098,2.8264,2.776,2.8098,515207
1983-05-03,2.8098,2.8098,2.7505,2.8098,396803
1983-05-04,2.8098,2.8433,2.776,2.8098,362671
1983-05-05,2.8098,2.8433,2.7591,2.7591,363739
1983-05-06,2.776,2.8098,2.6662,2.776,1972835
1983-05-09,2.776,2.7929,2.7336,2.7591,699476
1983-05-10,2.776,2.8433,2.776,2.8433,384273
1983-05-11,2.8517,2.8856,2.8433,2.8433,750680
1983-05-12,2.8687,2.9362,2.8517,2.9362,1835230
1983-05-13,2.9616,3.0289,2.9362,2.9785,1990165
1983-05-16,2.9616,2.9952,2.9191,2.9952,598412
1983-05-17,2.9952,3.0289,2.9616,2.9616,992286
1983-05-18,2.9785,3.0289,2.9531,2.9531,1740029
1983-05-19,2.9952,2.9952,2.9191,2.9531,734411
1983-05-20,2.9616,2.9785,2.8433,2.9191,329607
1983-05-23,2.8856,2.9531,2.8687,2.9362,404008
1983-05-24,2.9362,2.9785,2.9191,2.9531,652279
1983-05-25,2.9785,3.0123,2.9616,2.9952,492543
1983-05-26,3.0123,3.181,3.0123,3.1556,1448287
1983-05-27,3.1977,3.2484,3.181,3.1977,649879
1983-05-31,3.2317,3.2317,3.1641,3.1977,881879
1983-06-01,3.1977,3.2484,3.181,3.2484,1039484
1983-06-02,3.2656,3.3075,3.2484,3.3075,2554440
1983-06-03,3.3075,3.3075,3.2146,3.2317,644007
1983-06-06,3.2656,3.2656,3.181,3.2146,314138
1983-06-07,3.2317,3.2656,3.1977,3.2317,439207
1983-06-08,3.2146,3.2146,3.1047,3.1217,381874
1983-06-09,3.1047,3.1388,3.0544,3.1217,690409
1983-06-10,3.1388,3.1556,3.0881,3.1388,588809
1983-06-13,3.1641,3.181,3.1556,3.1641,701613
1983-06-14,3.1641,3.1977,3.1556,3.181,427207
1983-06-15,3.1556,3.1641,3.1047,3.1388,210669
1983-06-16,3.1641,3.1641,3.0712,3.0881,626412
1983-06-17,3.0881,3.0881,3.0544,3.0881,309606
1983-06-20,3.1217,3.1388,3.0544,3.1217,721614
1983-06-21,3.1556,3.1977,3.1217,3.1977,505079
1983-06-22,3.2317,3.2484,3.1977,3.2317,671211
1983-06-23,3.2317,3.2317,3.1977,3.2146,477607
1983-06-24,3.2146,3.2484,3.1977,3.2146,440006
1983-06-27,3.2146,3.2484,3.1641,3.2484,214135
1983-06-28,3.2484,3.2484,3.1641,3.181,350671
1983-06-29,3.1977,3.2484,3.1641,3.181,267471
1983-06-30,3.1556,3.181,3.1217,3.1556,443477
1983-07-01,3.1217,3.181,3.1217,3.181,54403
1983-07-05,3.181,3.181,3.1556,3.1556,113869
1983-07-06,3.181,3.1977,3.1556,3.1556,300271
1983-07-07,3.1641,3.2484,3.1556,3.2484,634944
1983-07-08,3.2484,3.2656,3.1556,3.1641,715480
1983-07-11,3.181,3.2146,3.1556,3.181,129603
1983-07-12,3.181,3.181,3.0881,3.1388,130136
1983-07-13,3.1217,3.1641,3.1217,3.1217,516275
1983-07-14,3.1217,3.1556,3.1217,3.1217,741344
1983-07-15,3.1388,3.1388,3.1217,3.1388,358674
1983-07-18,3.1217,3.1388,3.0123,3.0458,360804
1983-07-19,3.0289,3.0458,2.9785,2.9952,650142
1983-07-20,3.0458,3.0544,3.0123,3.0458,532811
1983-07-21,3.0289,3.0458,2.9531,2.9616,1008014
1983-07-22,2.8517,2.9616,2.7336,2.8517,458674
1983-07-25,2.8264,2.8433,2.776,2.8264,1128553
1983-07-26,2.776,2.8433,2.7336,2.8433,1064553
1983-07-27,2.9023,2.9191,2.8264,2.8517,1109085
1983-07-28,2.8264,2.8517,2.7505,2.7929,767479
1983-07-29,2.7505,2.7591,2.6662,2.7168,556543
1983-08-01,2.6997,2.7505,2.6749,2.7168,543478
1983-08-02,2.7168,2.7505,2.6915,2.6915,331206
1983-08-03,2.6997,2.7168,2.6579,2.7168,723477
1983-08-04,2.6997,2.8264,2.5989,2.6749,876011
1983-08-05,2.6749,2.6749,2.6239,2.6749,436005
1983-08-08,2.6749,2.6749,2.5819,2.607,216003
1983-08-09,2.6407,2.6407,2.5649,2.607,306939
1983-08-10,2.607,2.607,2.4891,2.5313,867480
1983-08-11,2.5313,2.5819,2.5143,2.5483,610676
1983-08-12,2.5483,2.5819,2.5313,2.5819,451210
1983-08-15,2.5649,2.6407,2.5483,2.607,1383490
1983-08-16,2.5313,2.5483,2.4382,2.4891,997615
1983-08-17,2.4723,2.4891,2.3793,2.4047,4212336
1983-08-18,2.4047,2.4382,2.3793,2.4216,1805630
1983-08-19,2.4216,2.4891,2.3877,2.4723,1152285
1983-08-22,2.4977,2.5483,2.4723,2.4891,642411
1983-08-23,2.5313,2.5483,2.4977,2.5143,564009
1983-08-24,2.5143,2.5313,2.4891,2.4891,840283
1983-08-25,2.4977,2.5483,2.4891,2.5143,1166152
1983-08-26,2.4977,2.5649,2.4977,2.5483,447474
1983-08-29,2.5649,2.5649,2.5143,2.5313,184535
1983-08-30,2.5313,2.5483,2.5143,2.5313,129335
1983-08-31,2.5313,2.6579,2.5143,2.6579,437339
1983-09-01,2.6915,2.7336,2.6579,2.6915,393073
1983-09-02,2.7505,2.7505,2.6997,2.7168,265872
1983-09-06,2.7168,2.8011,2.7168,2.7505,642141
1983-09-07,2.784,2.911,2.7673,2.8771,781613
1983-09-08,2.8941,2.8941,2.8011,2.8011,1166951
1983-09-09,2.8011,2.8098,2.6997,2.7168,510142
1983-09-12,2.7505,2.7673,2.6749,2.6915,232004
1983-09-13,2.6579,2.6749,2.607,2.6749,512807
1983-09-14,2.6749,2.6997,2.6407,2.6579,286672
1983-09-15,2.6579,2.6579,2.607,2.6239,1010417
1983-09-16,2.6239,2.6407,2.5989,2.6407,801350
1983-09-19,2.6239,2.6915,2.607,2.6579,332539
1983-09-20,2.6749,2.6915,2.6239,2.6407,354941
1983-09-21,2.6749,2.784,2.6579,2.7505,612808
1983-09-22,2.7505,2.8098,2.7336,2.784,1463756
1983-09-23,2.8098,2.8771,2.8098,2.8433,786679
1983-09-26,2.8601,2.8941,2.8098,2.8264,499210
1983-09-27,2.8098,2.8264,2.784,2.784,672813
