Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-04-06,1.1531,1.1749,1.138,1.1749,2964250
1983-04-07,1.1749,1.197,1.1679,1.197,3490634
1983-04-08,1.197,1.197,1.1825,1.197,793213
1983-04-11,1.197,1.197,1.1749,1.1749,946039
1983-04-12,1.1825,1.1898,1.1531,1.1825,1239554
1983-04-13,1.197,1.2043,1.1898,1.1898,1727125
1983-04-14,1.197,1.2191,1.197,1.2191,4111623
1983-04-15,1.2336,1.2336,1.2043,1.2117,635546
1983-04-18,1.197,1.2043,1.1898,1.2043,3087964
1983-04-19,1.1898,1.2043,1.1825,1.1898,3837514
1983-04-20,1.1898,1.2191,1.1898,1.2117,1525783
1983-04-21,1.2191,1.2412,1.197,1.197,1673762
1983-04-22,1.197,1.2043,1.197,1.197,1057623
1983-04-25,1.1898,1.2043,1.1749,1.1749,1736829
1983-04-26,1.197,1.2043,1.1749,1.197,4329937
1983-04-27,1.1825,1.197,1.1679,1.1679,1930889
1983-04-28,1.1749,1.1898,1.1679,1.1825,2600386
1983-04-29,1.197,1.2191,1.1749,1.2191,2032766
1983-05-02,1.2191,1.2558,1.2043,1.2486,3531870
1983-05-03,1.2336,1.2558,1.2191,1.2486,3170439
1983-05-04,1.2558,1.2633,1.2486,1.2558,2074005
1983-05-05,1.2851,1.3147,1.2633,1.3071,4218357
1983-05-06,1.3071,1.3587,1.3071,1.3442,9467651
1983-05-09,1.3513,1.3954,1.3295,1.3879,2901183
1983-05-10,1.3954,1.4099,1.3954,1.3954,5251718
1983-05-11,1.3954,1.4026,1.3807,1.3807,2772615
1983-05-12,1.3807,1.3807,1.3147,1.3295,7910329
1983-05-13,1.3295,1.3363,1.3295,1.3295,2939991
1983-05-16,1.3295,1.3295,1.3,1.3147,1009105
1983-05-17,1.3,1.3219,1.2779,1.2851,1816875
1983-05-18,1.2851,1.3147,1.2779,1.3147,3214101
1983-05-19,1.3,1.3071,1.2851,1.2851,557919
1983-05-20,1.2925,1.3,1.2851,1.3,550643
1983-05-23,1.2851,1.3,1.2779,1.3,647670
1983-05-24,1.2851,1.3147,1.2779,1.3147,2086132
1983-05-25,1.3147,1.3295,1.3071,1.3147,448759
1983-05-26,1.3295,1.3587,1.3295,1.3295,5683500
