Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-01-02,27.061,27.096,26.665,26.942,597088
1998-01-05,27.096,27.141,26.471,26.746,758866
1998-01-06,26.511,26.546,26.272,26.352,341038
1998-01-07,26.352,26.352,25.719,26.116,481572
1998-01-08,26.152,26.152,25.646,25.803,437190
1998-01-09,25.76,26.31,25.76,26.035,412310
1998-01-12,25.877,26.31,25.803,26.272,360809
1998-01-13,26.272,26.272,25.923,26.078,259946
1998-01-14,26.078,26.078,25.877,25.959,187597
1998-01-15,25.923,25.923,25.329,25.37,208982
1998-01-16,25.566,25.685,25.446,25.484,337679
1998-01-20,23.6,23.677,22.97,23.319,1414047
1998-01-21,23.208,23.208,22.493,23.164,1380154
1998-01-22,22.887,23.045,22.732,22.887,662578
1998-01-23,22.732,22.887,22.419,22.658,435039
1998-01-26,22.696,22.815,22.383,22.769,367127
1998-01-27,22.769,22.934,22.539,22.815,758058
1998-01-28,22.696,22.97,22.696,22.97,381920
1998-01-29,22.97,23.284,22.887,23.126,516126
1998-01-30,23.126,23.208,23.007,23.045,654239
1998-02-02,23.126,23.208,22.97,23.088,313336
1998-02-03,23.045,23.164,22.887,23.045,254435
1998-02-04,23.045,23.045,22.815,22.97,750122
1998-02-05,23.245,23.364,23.045,23.245,282404
1998-02-06,23.284,23.64,23.126,23.64,337679
1998-02-09,23.559,23.878,23.559,23.832,365378
1998-02-10,23.797,24.107,23.797,23.878,480360
1998-02-11,23.797,23.832,23.677,23.757,377349
1998-02-12,23.6,23.878,23.521,23.797,667149
1998-02-13,23.677,23.832,23.559,23.6,244486
1998-02-17,23.559,23.916,23.364,23.916,484933
1998-02-18,23.916,24.071,23.878,23.916,359863
1998-02-19,23.916,24.034,23.916,24.034,519490
1998-02-20,23.99,24.107,23.797,24.107,1073951
1998-02-23,24.107,24.308,23.951,24.308,466778
1998-02-24,24.189,24.226,23.99,24.226,307284
1998-02-25,24.263,24.383,24.154,24.154,460589
1998-02-26,24.071,24.189,23.951,24.034,205486
1998-02-27,23.99,24.219,23.951,24.189,294241
1998-03-02,24.034,24.226,24.034,24.189,295452
1998-03-03,24.189,24.226,24.154,24.189,559834
1998-03-04,24.154,24.226,24.071,24.154,197279
1998-03-05,24.034,24.189,23.99,24.107,394831
1998-03-06,23.521,23.99,23.521,23.99,4767145
1998-03-09,23.916,23.951,23.757,23.797,415541
