Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1977-01-03,0.8242,0.8518,0.8242,0.8242,527139
1977-01-04,0.8242,0.8242,0.7876,0.7876,510980
1977-01-05,0.7876,0.7876,0.7602,0.7694,1011040
1977-01-06,0.7694,0.7785,0.7602,0.7694,822371
1977-01-07,0.7694,0.797,0.7694,0.797,585223
1977-01-10,0.797,0.8058,0.7876,0.797,404416
1977-01-11,0.797,0.797,0.7694,0.7785,253743
1977-01-12,0.7785,0.7785,0.7694,0.7694,365107
1977-01-13,0.7694,0.7876,0.7694,0.7785,250248
1977-01-14,0.7785,0.7785,0.7785,0.7785,200898
1977-01-17,0.7785,0.7785,0.7694,0.7785,106127
1977-01-18,0.7785,0.7876,0.7602,0.7694,228413
1977-01-19,0.7694,0.7694,0.7327,0.7327,389568
1977-01-20,0.7694,0.7694,0.7327,0.7327,410530
1977-01-21,0.7327,0.7694,0.7327,0.7602,470365
1977-01-24,0.7602,0.7694,0.7512,0.7602,414461
1977-01-25,0.7602,0.7602,0.7418,0.7512,297417
1977-01-26,0.7512,0.7512,0.7236,0.7418,712750
1977-01-27,0.7418,0.7602,0.7327,0.7327,329300
1977-01-28,0.7327,0.7418,0.7327,0.7327,128839
1977-01-31,0.7327,0.7418,0.7236,0.7418,390879
1977-02-01,0.7418,0.7418,0.7327,0.7418,311390
1977-02-02,0.7418,0.7418,0.7236,0.7236,209193
1977-02-03,0.7236,0.7236,0.7142,0.7236,227539
1977-02-04,0.7236,0.7327,0.7236,0.7327,251561
1977-02-07,0.7327,0.7418,0.7236,0.7327,142813
1977-02-08,0.7327,0.7327,0.7236,0.7236,363802
1977-02-09,0.7236,0.7236,0.7142,0.7142,144558
1977-02-10,0.7142,0.7327,0.7142,0.7236,227100
1977-02-11,0.7236,0.7327,0.7142,0.7327,216183
1977-02-14,0.7327,0.7327,0.7236,0.7327,247631
1977-02-15,0.7327,0.7327,0.7236,0.7327,427998
1977-02-16,0.7327,0.7418,0.7236,0.7327,177753
1977-02-17,0.7327,0.7418,0.7327,0.7327,330172
1977-02-18,0.7327,0.7327,0.7236,0.7236,147181
1977-02-22,0.7236,0.7327,0.7236,0.7327,110495
1977-02-23,0.7327,0.7327,0.7142,0.7142,242386
1977-02-24,0.7142,0.7236,0.6962,0.7052,528448
1977-02-25,0.7052,0.7052,0.6962,0.6962,335851
1977-02-28,0.6962,0.7052,0.6962,0.6962,178188
1977-03-01,0.6962,0.7052,0.6962,0.6962,285188
1977-03-02,0.7052,0.7142,0.7052,0.7142,320127
1977-03-03,0.7142,0.7142,0.7052,0.7142,162462
1977-03-04,0.7236,0.7236,0.7142,0.7236,340650
1977-03-07,0.7236,0.7327,0.7236,0.7327,218805
1977-03-08,0.7327,0.7327,0.7142,0.7236,258983
1977-03-09,0.7236,0.7236,0.7142,0.7236,203082
1977-03-10,0.7236,0.7236,0.7142,0.7236,255927
1977-03-11,0.7236,0.7236,0.7142,0.7236,162462
1977-03-14,0.7236,0.7327,0.7236,0.7327,217493
1977-03-15,0.7327,0.7418,0.7327,0.7418,415773
1977-03-16,0.7418,0.7512,0.7418,0.7418,79049
1977-03-17,0.7418,0.7512,0.7418,0.7418,136699
1977-03-18,0.7418,0.7512,0.7418,0.7418,367729
1977-03-21,0.7418,0.7418,0.7327,0.7327,168580
1977-03-22,0.7327,0.7327,0.7327,0.7327,348512
1977-03-23,0.7327,0.7327,0.7142,0.7236,102194
1977-03-24,0.7236,0.7236,0.7142,0.7236,239769
