Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-09-07,48.117,48.304,47.187,47.187,68202
1984-09-10,47.371,47.559,47.371,47.371,39700
1984-09-11,47.744,48.117,47.744,47.744,147474
1984-09-12,48.866,49.422,48.866,48.866,127497
1984-09-13,49.61,49.61,49.61,49.61,112733
1984-09-14,49.61,50.168,49.61,50.168,83851
1984-09-17,49.98,49.98,49.98,49.98,261860
1984-09-18,49.98,49.98,49.236,49.236,85760
1984-09-19,49.236,49.422,48.866,48.866,74054
1984-09-20,48.492,48.492,48.492,48.492,189586
1984-09-21,48.492,48.866,47.371,47.371,271021
1984-09-24,47.371,48.117,47,47,67053
1984-09-25,47,47.187,46.814,46.814,76217
1984-09-26,47,47.187,47,47,142001
1984-09-27,47,47,46.626,46.626,133346
1984-09-28,46.626,47.187,46.626,46.814,225340
1984-10-01,46.814,46.814,46.814,46.814,136276
1984-10-02,47,47,47,47,172919
1984-10-03,47,47,46.064,46.064,81687
1984-10-04,46.626,46.626,46.626,46.626,150017
1984-10-05,46.626,47,46.438,47,39573
1984-10-08,47,47,47,47,384773
1984-10-09,47.371,47.559,47.371,47.371,99753
1984-10-10,47.371,47.559,47.187,47.559,130930
1984-10-11,47.744,47.93,47.744,47.93,175844
1984-10-12,48.492,48.492,47.93,48.492,128387
1984-10-15,48.492,49.61,48.492,49.61,138818
1984-10-16,49.61,49.98,49.61,49.61,160449
1984-10-17,49.61,49.61,49.422,49.61,103064
1984-10-18,49.61,51.475,49.422,51.475,220760
1984-10-19,52.595,53.339,51.846,52.407,285146
1984-10-22,52.407,52.407,51.846,51.846,88306
1984-10-23,50.542,51.661,49.61,49.61,245701
1984-10-24,49.05,49.61,48.492,48.866,264025
1984-10-25,48.866,49.61,48.866,48.866,254479
1984-10-26,47.744,47.93,46.814,46.814,329551
1984-10-29,46.814,47.559,46.814,47.371,121133
1984-10-30,48.117,48.304,47.371,48.117,216180
1984-10-31,48.866,49.61,48.304,49.236,276239
1984-11-01,49.422,49.797,49.05,49.61,284128
1984-11-02,49.61,50.168,49.422,50.168,186532
1984-11-05,50.355,50.355,49.98,50.355,44149
1984-11-06,50.542,52.407,50.542,52.407,326499
1984-11-07,52.595,52.78,51.846,52.407,239466
1984-11-08,52.222,52.78,51.846,52.78,137674
1984-11-09,50.168,50.168,49.422,49.61,1351289
1984-11-12,49.61,49.61,49.05,49.422,201928
1984-11-13,49.422,49.797,49.236,49.236,253719
1984-11-14,49.05,49.236,49.05,49.05,196969
1984-11-15,49.05,49.236,49.05,49.236,79908
1984-11-16,49.236,49.236,48.492,48.676,165284
1984-11-19,48.492,48.492,47,47,282216
1984-11-20,47,47.559,47,47.187,244557
1984-11-21,47.371,47.371,47.187,47.371,56240
1984-11-23,47.559,47.93,47.559,47.93,118206
1984-11-26,48.117,48.304,47.559,47.744,168467
1984-11-27,47.559,48.676,47.559,48.492,69473
1984-11-28,48.866,49.236,48.676,48.676,129146
1984-11-29,48.676,48.676,48.492,48.492,31809
1984-11-30,48.492,48.492,47,47.187,94029
1984-12-03,47.187,47.187,45.507,45.88,296341
1984-12-04,45.88,46.438,45.88,46.064,149634
1984-12-05,46.253,46.438,45.88,45.88,95049
1984-12-06,45.88,46.253,45.32,46.253,182335
1984-12-07,46.253,46.253,45.88,45.88,114263
1984-12-10,46.253,46.814,46.064,46.626,180043
1984-12-11,46.438,46.814,46.438,46.814,47841
1984-12-12,46.626,46.814,46.626,46.626,38300
1984-12-13,46.626,47.187,46.438,47,97847
1984-12-14,47.187,47.187,46.626,47,195439
1984-12-17,47.371,47.371,47.187,47.371,117442
1984-12-18,47.744,49.61,47.744,49.61,328151
1984-12-19,49.797,50.915,49.797,50.355,262623
1984-12-20,50.168,50.168,49.236,49.236,142128
1984-12-21,49.236,49.422,47.559,48.304,221525
1984-12-24,48.492,49.422,48.492,49.236,246081
1984-12-26,49.236,49.236,48.676,49.05,108026
