date,ABT,AET,APD,AXP,AIG,AMGN,AAPL,ADM,T,ADSK,ADP,AVY,BLL,BAC,BAX,BDX,HRB,BSX,CA,CNP,CI,CSCO,C,CLX,CAG,COST,CSX,CMI,DOV,DUK,EMN,ECL,EMR,FDX,GPS,GIS,GPC,GWW,HAS,HD,HON,HPQ,ITW,INTC,IPG,IFF,JNJ,JPM,KEY,LB,LLY,LNC,LMT,LOW,MRO,MMC,MAS,MAT,MCD,MDT,MU,MSFT,NWL,NEM,NKE,JWN,NOC,NUE,OXY,ORCL,PCAR,PH,PKI,PNC,PX,PHM,SLB,SHW,SNA,LUV,SWK,STI,SYY,TGT,TXT,TJX,TMK,UNH,UNM,VFC,VZ,WMT,WBA,DIS,WFC,WMB
1993-12-14,4.8256,5.8342,15.783,6.4315,251.59,4.8315,0.9321,8.2179,7.3217,5.08,8.4314,10.065,1.4462,8.3926,5.1667,6.9491,6.4049,2.91,9.699,9.0409,6.6241,1.3531,63.254,8.7541,7.8305,7.7176,4.9886,10.052,9.661,18.3,14.268,4.503,9.481,17.006,4.6919,9.2149,14.628,22.404,13.383,7.6336,14.369,3.62,7.1255,2.8712,7.9931,24.236,7.6928,8.7388,10.363,4.5304,11.027,14.225,16.334,2.9911,3.3621,8.7034,11.457,9.827,11.598,4.0591,4.88,1.8692,14.417,38.107,1.1599,6.1993,11.276,9.521,4.589,1.5565,3.5303,8.3107,6.7526,17.365,6.279,4.0655,9.718,12.746,17.082,6.8183,13.419,15.722,5.29,4.1769,11.135,1.3559,6.6042,4.2008,17.868,3.8781,15.614,10.815,4.0766,12.051,4.4814,4.9082
1993-12-15,4.7809,5.715,15.659,6.2507,252.71,4.8315,0.9526,8.6818,7.2974,5.08,8.3501,10.023,1.472,8.3454,5.1107,6.9491,6.4598,2.81,9.4403,9.1074,6.5742,1.3531,61.699,8.6723,7.8305,7.9195,4.9686,9.684,9.638,18.342,13.954,4.4754,9.507,16.555,4.6585,9.1572,14.529,22.067,13.208,7.5396,14.369,3.6542,7.0488,2.9349,7.9931,24.262,7.8059,8.6898,10.363,4.3108,11.005,14.225,16.366,3.0263,3.3149,8.7632,11.699,9.441,11.516,4.0853,4.84,1.8692,14.339,37.946,1.1988,6.2418,11.315,9.4309,4.589,1.5475,3.6019,7.8981,6.7526,17.211,6.0909,4.0934,9.659,12.892,17.029,6.9334,13.548,15.764,5.3142,4.234,11.31,1.3469,6.6252,4.2275,17.868,3.7935,15.55,10.966,4.0943,12.087,4.3899,4.8365
1993-12-16,4.7406,5.706,15.527,6.1964,252.35,4.8833,0.9399,8.6317,7.4358,5.14,8.3728,10.023,1.5096,8.4771,5.1107,6.9667,6.4598,2.97,9.4979,9.3129,6.6142,1.3698,61.699,8.6312,8.0277,7.7657,4.8999,9.607,9.4387,18.52,13.954,4.494,9.603,16.319,4.5341,9.2149,14.434,22.262,13.166,7.5225,14.394,3.6658,6.9978,2.9349,8.0864,24.508,7.7574,8.7138,10.394,4.4016,10.902,14.143,16.281,3.0174,3.341,8.8572,11.854,9.441,11.564,4.1198,4.81,1.8692,14.037,37.857,1.1921,6.2418,11.001,9.296,4.6604,1.5931,3.5621,7.9244,6.7049,17.431,6.4157,4.0934,9.735,13.278,16.966,6.7224,13.712,15.942,5.3142,4.2503,11.389,1.3742,6.7956,4.3354,18.097,3.73,15.449,11.069,4.1029,12.187,4.5477,4.8795
1993-12-17,4.8051,5.7608,15.609,6.2507,253.45,4.8833,0.9453,8.7251,7.6068,5.51,8.4669,10.065,1.4906,8.5615,5.1386,6.9927,6.3814,2.97,9.521,9.4106,6.7836,1.3774,62.671,8.6975,7.9455,8.0726,4.9227,9.563,9.578,18.631,13.639,4.5492,9.731,16.498,4.5427,9.3079,14.677,22.444,13.249,7.5396,14.78,3.6999,7.0235,2.8949,8.1202,25.035,7.7814,8.8791,10.622,4.466,11.027,14.441,16.397,3.0531,3.2888,8.9607,11.649,9.827,11.564,4.1714,4.62,1.8857,14.08,37.946,1.1692,6.4788,11.315,9.2489,4.589,1.5751,3.6258,8.0385,6.8474,17.73,6.3731,4.1119,9.631,13.664,17.248,6.7512,14.046,16.257,5.3788,4.2091,11.506,1.3742,6.7956,4.3441,18.411,3.7725,15.577,11.119,4.172,12.442,4.6976,4.9724
1993-12-20,4.8657,5.8251,15.659,6.3502,254.2,4.8054,0.9117,8.5891,7.6068,5.58,8.5047,10.023,1.4906,8.5426,5.1386,7.0191,6.3504,2.94,9.553,9.4312,6.8035,1.4105,62.281,8.6723,7.9865,7.9757,4.9227,9.684,9.638,18.677,14.07,4.5675,9.771,16.585,4.6002,9.2303,14.579,22.209,12.984,7.5909,14.824,3.7264,7.0488,2.9192,8.0526,24.928,7.6928,9.0792,10.545,4.3108,11.123,14.191,16.459,3.1145,3.2412,8.9685,11.457,9.575,11.54,4.1026,4.5,1.9191,13.993,38.278,1.1599,6.2418,11.125,9.296,4.5261,1.5751,3.6019,7.9506,6.8474,17.663,6.1765,4.0001,9.675,14.005,17.082,6.7895,13.841,16.299,5.3385,4.1848,11.506,1.3834,6.7375,4.3624,18.596,3.7514,15.736,10.866,4.1546,12.333,4.6724,4.8365
1993-12-21,4.8657,5.7245,15.659,6.4768,252.35,4.9184,0.8809,8.6317,7.6311,5.45,8.4824,9.981,1.5026,8.4959,5.1667,7.0454,6.3266,2.97,9.4073,9.528,6.6937,1.3858,61.312,8.6975,7.8305,7.8707,4.9227,9.4253,9.695,18.788,14.268,4.5956,9.648,16.7,4.5341,9.2729,14.529,22.347,12.766,7.3773,14.872,3.7264,6.9978,2.967,8.1202,24.937,7.6928,9.0207,10.509,4.343,11.272,14.225,16.101,3.0795,3.2152,8.8824,11.457,9.3577,11.47,4.1455,4.62,1.9274,13.948,37.694,1.1257,5.962,11.276,9.3845,4.4944,1.6116,3.4905,8.0035,6.7526,17.431,6.1338,3.8788,9.701,13.518,16.746,6.6266,13.884,16.167,5.3788,4.1522,11.506,1.3559,6.6417,4.2634,18.371,3.73,15.614,10.764,4.1029,12.404,4.6724,4.7365
1993-12-22,4.951,5.706,15.568,6.4042,255.7,4.9444,0.8966,8.6317,7.6963,5.48,8.5631,9.94,1.5096,8.4113,5.2226,7.0719,6.3266,2.94,9.3767,9.508,6.7437,1.3858,62.476,8.8198,8.2247,7.8707,4.9829,9.751,9.695,19.188,14.268,4.6235,9.683,16.852,4.6002,9.3477,14.382,22.111,12.675,7.4028,15.037,3.6999,7.0235,3.0795,7.9931,24.632,7.733,9.1044,10.509,4.2461,11.364,14.191,16.429,3.0531,3.2412,8.9166,11.817,9.701,11.494,4.2494,4.7,1.8942,13.993,37.523,1.1599,5.962,11.237,9.2489,4.4944,1.4101,3.5142,8.2583,6.7999,17.288,6.0909,3.8418,9.85,13.565,16.516,6.8373,13.884,16.167,5.3142,4.1275,11.606,1.3559,6.6252,4.2275,18.681,3.7196,15.55,10.664,4.1806,12.767,4.6475,4.7365
1993-12-23,4.9956,5.6419,15.568,6.4586,251.21,5.0486,0.8723,8.5385,7.6719,5.58,8.5047,9.889,1.5213,8.4959,5.1107,7.0191,6.2873,3.03,9.4073,9.4857,6.6937,1.4188,62.476,8.8775,8.3729,7.7657,4.9512,9.727,9.615,19.188,14.541,4.6878,9.588,16.641,4.7085,9.2525,14.726,22.262,12.766,7.5225,15.139,3.6542,7.0661,3.1033,8.1798,24.657,7.8465,9.1044,10.509,4.343,11.464,14.191,16.513,3.0616,3.1734,8.9855,11.817,9.701,11.373,4.2494,4.62,1.8942,14.037,37.946,1.1921,6.1063,11.276,9.2248,4.5261,1.392,3.5142,8.2316,6.7526,17.211,6.1338,3.8788,9.718,13.428,16.462,6.6072,14.119,16.124,5.2654,4.0376,11.635,1.3328,6.6042,4.2994,18.82,3.7089,15.514,10.512,4.1806,12.841,4.6976,4.765
1993-12-27,5.0561,5.669,15.874,6.5581,253.06,5.2398,0.9117,8.5891,7.6719,5.51,8.5997,10.023,1.5589,8.6463,5.1937,7.0719,6.3266,3.06,9.4641,9.4857,6.7437,1.4105,63.057,9.0661,8.2579,7.8707,4.937,9.821,9.558,19.39,14.898,4.6235,9.648,16.852,4.7662,9.2729,14.774,21.97,12.634,7.4713,15.275,3.6658,7.2618,3.1354,8.0864,24.881,8.0081,9.2789,10.455,4.2783,11.536,14.27,16.31,3.1327,3.2679,9.1049,11.894,9.789,11.292,4.2836,4.61,1.8857,13.948,37.946,1.1853,6.3348,11.429,9.2566,4.5575,1.3549,3.4905,8.2316,6.7526,17.431,6.1765,3.9161,9.718,13.518,16.914,6.7032,14.089,16.079,5.2493,4.0459,11.506,1.3148,6.7167,4.2814,18.552,3.7408,15.707,10.409,4.1892,12.731,4.7474,4.7865
1993-12-28,5.0157,5.7974,15.867,6.4315,253.06,5.405,0.9321,8.4459,7.7775,5.58,8.5776,10.105,1.5659,8.5805,5.2503,7.0719,6.2873,3.16,9.4979,9.528,6.7337,1.4352,62.281,9.0885,8.3401,7.6692,4.8999,9.85,9.578,19.278,14.818,4.6235,9.709,16.852,4.733,9.2303,14.881,22.209,12.766,7.5655,15.275,3.6734,7.3556,3.1916,8.1458,24.937,8.0484,9.1609,10.527,4.2783,11.585,14.191,16.481,3.2301,3.194,9.1652,11.973,9.701,11.42,4.3096,4.64,1.9356,13.906,37.946,1.1762,6.1482,11.507,9.3537,4.5261,1.3094,3.4747,8.2316,6.7049,17.431,6.2277,3.8603,9.735,13.428,17.136,6.8853,14.207,16.124,5.1602,4.1275,11.526,1.365,6.8111,4.2275,18.596,3.7408,15.514,10.561,4.2151,12.622,4.7893,4.8581
