Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-09-07,0.08704,0.09544,0.08704,0.08704,71812
1984-09-10,0.09544,0.09544,0.09544,0.09544,198859
1984-09-11,0.09544,0.09544,0.08704,0.08704,204380
1984-09-12,0.08704,0.09544,0.08704,0.08704,160194
1984-09-13,0.08704,0.09544,0.08704,0.08704,955627
1984-09-14,0.08704,0.09544,0.08704,0.08704,585530
1984-09-17,0.09544,0.09544,0.09544,0.09544,5800050
1984-09-18,0.09544,0.09544,0.09544,0.09544,3341935
1984-09-19,0.09544,0.09544,0.08704,0.08704,585530
1984-09-20,0.08704,0.09544,0.08704,0.08704,220952
1984-09-21,0.08704,0.08704,0.08704,0.08704,375624
1984-09-24,0.08704,0.08704,0.08704,0.08704,121527
1984-09-25,0.08704,0.08704,0.08704,0.08704,1773158
1984-09-26,0.08704,0.08704,0.08704,0.08704,812010
1984-09-27,0.08704,0.08704,0.08704,0.08704,176764
1984-09-28,0.08704,0.08704,0.08704,0.08704,49716
1984-10-01,0.08704,0.08704,0.08704,0.08704,2618310
1984-10-02,0.08704,0.08704,0.08704,0.08704,138097
1984-10-03,0.08704,0.08704,0.08704,0.08704,1392015
1984-10-04,0.08704,0.08704,0.08704,0.08704,916960
1984-10-05,0.08704,0.08704,0.07808,0.07808,690484
1984-10-08,0.08704,0.08704,0.08704,0.08704,160194
1984-10-09,0.07808,0.07808,0.07808,0.07808,1612971
1984-10-10,0.07808,0.07808,0.07808,0.07808,1723444
1984-10-11,0.07808,0.08704,0.07808,0.07808,1353343
1984-10-12,0.07808,0.08704,0.07808,0.08704,519245
1984-10-15,0.08704,0.08704,0.08704,0.08704,3120981
1984-10-16,0.08704,0.08704,0.08704,0.08704,115999
1984-10-17,0.08704,0.08704,0.08704,0.08704,160194
1984-10-18,0.08704,0.08704,0.08704,0.08704,596576
1984-10-19,0.08704,0.08704,0.08704,0.08704,353526
1984-10-22,0.08704,0.08704,0.08704,0.08704,132571
1984-10-23,0.08704,0.08704,0.08704,0.08704,49716
1984-10-24,0.08704,0.08704,0.08704,0.08704,972195
1984-10-25,0.08704,0.08704,0.08704,0.08704,441909
1984-10-26,0.08704,0.08704,0.08704,0.08704,1491441
1984-10-29,0.08704,0.08704,0.08704,0.08704,331432
1984-10-30,0.08704,0.08704,0.08704,0.08704,287241
1984-10-31,0.08704,0.09544,0.07808,0.07808,800961
1984-11-01,0.08704,0.08704,0.08704,0.08704,513720
1984-11-02,0.08704,0.08704,0.07808,0.07808,392191
1984-11-05,0.07808,0.08704,0.07808,0.07808,381149
1984-11-06,0.07808,0.08704,0.07808,0.07808,314860
1984-11-07,0.07808,0.07808,0.07808,0.07808,640767
1984-11-08,0.07808,0.07808,0.07808,0.07808,1027436
1984-11-09,0.07808,0.07808,0.07808,0.07808,121527
1984-11-12,0.07808,0.07808,0.07808,0.07808,226479
1984-11-13,0.07808,0.07808,0.07808,0.07808,370099
1984-11-14,0.07808,0.07808,0.07808,0.07808,1303632
1984-11-15,0.07808,0.07808,0.07808,0.07808,1298104
1984-11-16,0.07808,0.07808,0.06967,0.06967,386670
1984-11-19,0.06967,0.07808,0.06967,0.06967,867245
1984-11-20,0.06967,0.07808,0.06967,0.06967,1629537
1984-11-21,0.07808,0.07808,0.07808,0.07808,1104772
1984-11-23,0.07808,0.07808,0.06967,0.07808,2253733
1984-11-26,0.07808,0.07808,0.07808,0.07808,436384
1984-11-27,0.07808,0.07808,0.07808,0.07808,497146
1984-11-28,0.07808,0.07808,0.07808,0.07808,1154488
1984-11-29,0.07808,0.07808,0.07808,0.07808,2828215
1984-11-30,0.07808,0.07808,0.07808,0.07808,1154488
1984-12-03,0.07808,0.07808,0.07808,0.07808,535813
1984-12-04,0.08704,0.08704,0.08704,0.08704,2253733
1984-12-05,0.08704,0.08704,0.07808,0.07808,2054879
1984-12-06,0.07808,0.07808,0.07808,0.07808,933532
1984-12-07,0.07808,0.07808,0.07808,0.07808,1038483
1984-12-10,0.07808,0.07808,0.07808,0.07808,1972018
1984-12-11,0.07808,0.07808,0.07808,0.07808,3596031
1984-12-12,0.07808,0.08704,0.07808,0.07808,1309153
1984-12-13,0.08704,0.08704,0.08704,0.08704,928010
1984-12-14,0.08704,0.08704,0.07808,0.08704,392191
1984-12-17,0.08704,0.08704,0.07808,0.07808,607627
1984-12-18,0.07808,0.08704,0.07808,0.07808,557911
1984-12-19,0.07808,0.08704,0.07808,0.07808,1977542
1984-12-20,0.07808,0.08704,0.07808,0.07808,817531
1984-12-21,0.07808,0.08704,0.07808,0.07808,546860
1984-12-24,0.08704,0.08704,0.08704,0.08704,1215249
1984-12-26,0.08704,0.08704,0.08704,0.08704,916960
1984-12-27,0.08704,0.08704,0.08704,0.08704,287241
1984-12-28,0.08704,0.08704,0.08704,0.08704,502668
1984-12-31,0.08704,0.08704,0.08704,0.08704,883817
1985-01-02,0.08704,0.08704,0.08704,0.08704,110476
1985-01-03,0.08704,0.08704,0.08704,0.08704,745721
1985-01-04,0.08704,0.08704,0.08704,0.08704,2187447
1985-01-07,0.08704,0.08704,0.08704,0.08704,259622
