Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-04-06,2.6828,2.6914,2.6087,2.6167,1386336
1983-04-07,2.6087,2.6248,2.5836,2.5918,935173
1983-04-08,2.5918,2.6416,2.5836,2.6333,2110902
1983-04-11,2.7658,2.7658,2.6416,2.7658,1707074
1983-04-12,2.7824,2.799,2.7577,2.7577,199015
1983-04-13,2.7577,2.7658,2.6996,2.7493,2798759
1983-04-14,2.7742,2.7742,2.6996,2.716,379671
1983-04-15,2.7078,2.7493,2.6747,2.7493,642448
1983-04-18,2.8404,2.9396,2.7658,2.9147,774803
1983-04-19,2.9147,2.9645,2.8981,2.9068,1125493
1983-04-20,2.8981,2.9481,2.8981,2.9314,1182492
1983-04-21,2.9645,2.9814,2.9235,2.9235,1247222
1983-04-22,2.9068,2.9481,2.8735,2.8902,1736062
1983-04-25,2.8487,2.8981,2.7824,2.799,238625
1983-04-26,2.799,2.8319,2.7577,2.8319,301416
1983-04-27,2.8319,2.8568,2.8071,2.8156,822139
1983-04-28,2.8735,2.9314,2.8071,2.8902,422180
1983-04-29,2.8816,2.9235,2.8404,2.8981,659839
1983-05-02,2.8568,2.8981,2.8071,2.8071,436669
1983-05-03,2.8071,2.8071,2.7742,2.7824,284031
1983-05-04,2.7824,2.8071,2.7658,2.7742,440534
1983-05-05,2.7824,2.8071,2.7577,2.7577,2195918
1983-05-06,2.7658,2.8404,2.7658,2.7742,2867350
1983-05-09,2.7658,2.7742,2.7412,2.7742,792197
1983-05-10,2.7742,2.8816,2.7742,2.8816,1884838
1983-05-11,2.8816,2.8816,2.8071,2.8237,419279
1983-05-12,2.8237,2.8237,2.799,2.799,607670
1983-05-13,2.799,2.8237,2.799,2.8156,365183
1983-05-16,2.8156,2.8319,2.7824,2.8071,372910
1983-05-17,2.8156,2.8319,2.799,2.8156,1775667
1983-05-18,2.8319,2.9481,2.8237,2.9235,1726399
1983-05-19,2.9068,2.9396,2.9068,2.9147,281132
1983-05-20,2.8902,2.8981,2.8735,2.8902,247317
1983-05-23,2.8816,2.8816,2.8568,2.8735,775767
1983-05-24,2.8816,2.9562,2.8816,2.9562,1836534
1983-05-25,2.9727,3.0722,2.9727,3.0722,854021
1983-05-26,3.0722,3.1635,3.0722,3.1054,1806587
1983-05-27,3.1054,3.1301,3.097,3.1054,1372811
1983-05-31,3.1054,3.1301,3.0722,3.0722,2549506
1983-06-01,3.0722,3.0888,3.0058,3.0058,3384205
1983-06-02,3.0556,3.0637,2.9893,3.0142,999901
1983-06-03,3.0058,3.0224,2.9893,2.9978,1066562
1983-06-06,2.9978,2.9978,2.9727,2.9727,612501
1983-06-07,2.9727,2.9727,2.9396,2.9481,884936
1983-06-08,2.9314,2.9396,2.8902,2.9314,2210408
1983-06-09,2.9314,2.9814,2.9147,2.9814,1417250
1983-06-10,3.0309,3.0389,3.0058,3.0224,547769
1983-06-13,3.0389,3.1054,3.0389,3.0888,605737
1983-06-14,3.0888,3.155,3.0888,3.1136,509130
1983-06-15,3.097,3.3123,3.097,3.2958,2001733
1983-06-16,3.2874,3.337,3.2792,3.3123,835667
1983-06-17,3.3123,3.4366,3.3123,3.3618,1888699
1983-06-20,3.3618,3.4115,3.3618,3.3953,650176
1983-06-21,3.3953,3.4282,3.3705,3.4036,1441400
1983-06-22,3.3867,3.4115,3.3535,3.4036,1028881
1983-06-23,3.3953,3.4366,3.3535,3.3535,897496
1983-06-24,3.3618,3.3618,3.337,3.3535,358415
1983-06-27,3.3204,3.3204,3.2461,3.2708,556466
1983-06-28,3.2461,3.2625,3.1383,3.1383,829872
1983-06-29,3.1383,3.1965,3.1383,3.1881,324604
1983-06-30,3.1713,3.2874,3.1713,3.2461,569992
1983-07-01,3.2293,3.2625,3.2293,3.2625,397059
1983-07-05,3.2293,3.2293,3.1881,3.1881,134288
1983-07-06,3.1881,3.2625,3.1881,3.2625,281132
1983-07-07,3.2625,3.2874,3.2461,3.2625,1253016
1983-07-08,3.2544,3.2792,3.2381,3.2625,230893
1983-07-11,3.2293,3.2461,3.1798,3.213,555500
1983-07-12,3.1467,3.155,3.1054,3.122,338128
1983-07-13,3.1383,3.155,3.1301,3.155,60864
1983-07-14,3.155,3.1965,3.1383,3.1881,1411454
1983-07-15,3.213,3.213,3.1301,3.1467,207710
1983-07-18,3.155,3.2213,3.155,3.2213,122691
1983-07-19,3.213,3.3123,3.213,3.3042,495605
1983-07-20,3.2874,3.3953,3.2874,3.3867,412522
1983-07-21,3.3867,3.3867,3.2958,3.2958,205778
1983-07-22,3.2792,3.3123,3.2544,3.2544,288860
1983-07-25,3.2544,3.2625,3.2213,3.2213,630858
