Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-09-07,4.2968,4.3132,4.2387,4.3132,347493
1984-09-10,4.3132,4.3883,4.2551,4.3883,216583
1984-09-11,4.3883,4.4547,4.3467,4.3467,300808
1984-09-12,4.3299,4.3299,4.2968,4.2968,251237
1984-09-13,4.2968,4.3132,4.222,4.3132,888949
1984-09-14,4.3883,4.4379,4.3883,4.4379,351825
1984-09-17,4.4379,4.4547,4.4048,4.4379,569849
1984-09-18,4.4379,4.4713,4.4213,4.4547,133800
1984-09-19,4.4547,4.4547,4.3883,4.3883,252675
1984-09-20,4.3883,4.4213,4.3132,4.3299,1016489
1984-09-21,4.3299,4.3467,4.3132,4.3299,31765
1984-09-24,4.3132,4.3132,4.2804,4.2968,321985
1984-09-25,4.2968,4.3132,4.2804,4.2804,162676
1984-09-26,4.2804,4.3883,4.2804,4.3299,513057
1984-09-27,4.3467,4.4213,4.3467,4.4213,645414
1984-09-28,4.4213,4.4379,4.3716,4.3716,147276
1984-10-01,4.3716,4.3883,4.3299,4.3467,117435
1984-10-02,4.3467,4.3883,4.3132,4.3716,1082911
1984-10-03,4.3716,4.4048,4.3716,4.3883,2036348
1984-10-04,4.4048,4.5127,4.4048,4.4547,434607
1984-10-05,4.4547,4.4547,4.4213,4.4379,167010
1984-10-08,4.3883,4.3883,4.3716,4.3716,51018
1984-10-09,4.3716,4.4379,4.3716,4.3716,120323
1984-10-10,4.3716,4.3716,4.3299,4.3299,94816
1984-10-11,4.3716,4.4547,4.3716,4.4547,533754
1984-10-12,4.4547,4.4547,4.4048,4.4213,154977
1984-10-15,4.4213,4.4713,4.3716,4.4213,169895
1984-10-16,4.4213,4.4213,4.3716,4.4048,73640
1984-10-17,4.4048,4.4547,4.3716,4.4547,343160
1984-10-18,4.4547,4.496,4.4213,4.496,1350505
1984-10-19,4.496,4.5127,4.4547,4.5127,858625
1984-10-22,4.496,4.496,4.4547,4.4547,533754
1984-10-23,4.4713,4.5127,4.4713,4.5127,97702
1984-10-24,4.5127,4.5127,4.4547,4.4713,29840
1984-10-25,4.4379,4.4379,4.4048,4.4048,103959
1984-10-26,4.3467,4.3467,4.3299,4.3299,67866
1984-10-29,4.3299,4.3716,4.3132,4.3716,70748
1984-10-30,4.3299,4.3299,4.2804,4.3132,114549
1984-10-31,4.3132,4.3132,4.2551,4.2551,99149
1984-11-01,4.2551,4.3467,4.2387,4.3467,111180
1984-11-02,4.3467,4.4213,4.3299,4.4048,112623
1984-11-05,4.4048,4.4048,4.3716,4.3883,58717
1984-11-06,4.3883,4.4547,4.3716,4.4547,153532
1984-11-07,4.4547,4.4547,4.3299,4.3299,415356
1984-11-08,4.3299,4.3883,4.3132,4.3132,153532
1984-11-09,4.3132,4.3716,4.3132,4.3467,97702
1984-11-12,4.3299,4.3299,4.2551,4.2551,109735
1984-11-13,4.2551,4.2804,4.1887,4.1887,157863
1984-11-14,4.1887,4.3299,4.1553,4.3132,302256
1984-11-15,4.3132,4.3883,4.2551,4.3716,181929
1984-11-16,4.3716,4.3716,4.3132,4.3132,61608
1984-11-19,4.3132,4.3716,4.3132,4.3132,89999
1984-11-20,4.3132,4.3716,4.2804,4.3467,276745
1984-11-21,4.3467,4.3883,4.3299,4.3467,111180
1984-11-23,4.3467,4.3883,4.3132,4.3132,105403
1984-11-26,4.3299,4.3716,4.3299,4.3467,308507
1984-11-27,4.3467,4.3716,4.3132,4.3716,60162
1984-11-28,4.3716,4.4048,4.3467,4.4048,89999
1984-11-29,4.3883,4.3883,4.3299,4.3467,91926
1984-11-30,4.3467,4.3467,4.3132,4.3467,97702
1984-12-03,4.3467,4.3883,4.3467,4.3716,257008
1984-12-04,4.3716,4.3716,4.2551,4.2551,230057
1984-12-05,4.2551,4.2551,4.1722,4.2054,463483
1984-12-06,4.1887,4.1887,4.1553,4.1553,300808
1984-12-07,4.1388,4.1388,4.0806,4.1139,351825
1984-12-10,4.1139,4.1388,4.0641,4.0972,181929
1984-12-11,4.1388,4.1887,4.1388,4.1887,140054
1984-12-12,4.1887,4.222,4.1722,4.222,70748
1984-12-13,4.222,4.222,4.1553,4.1722,267601
1984-12-14,4.1722,4.2387,4.1722,4.222,70748
1984-12-17,4.2387,4.3467,4.2387,4.2804,302256
1984-12-18,4.2804,4.3132,4.2551,4.3132,1084353
1984-12-19,4.3132,4.3716,4.222,4.2387,540008
1984-12-20,4.2387,4.2804,4.2054,4.2387,821085
1984-12-21,4.2804,4.3132,4.2804,4.2804,334017
1984-12-24,4.2804,4.3132,4.2804,4.2968,22622
1984-12-26,4.2968,4.3883,4.2968,4.3883,79894
1984-12-27,4.3883,4.4213,4.3883,4.3883,28395
1984-12-28,4.4048,4.4713,4.4048,4.4713,60162
1984-12-31,4.4713,4.6043,4.4547,4.6043,167010
1985-01-02,4.6043,4.6043,4.5296,4.5463,392732
1985-01-03,4.5463,4.6043,4.5463,4.5876,833120
1985-01-04,4.5627,4.5627,4.4547,4.4547,181929
1985-01-07,4.4379,4.4379,4.3132,4.4379,309953
1985-01-08,4.4379,4.4547,4.4048,4.4379,49572
1985-01-09,4.4048,4.4048,4.3716,4.4048,281074
1985-01-10,4.4048,4.496,4.3716,4.496,424021
1985-01-11,4.5627,4.6208,4.5627,4.6208,169895
1985-01-14,4.6208,4.6208,4.5627,4.6043,697870
1985-01-15,4.6208,4.7624,4.6208,4.7624,738302
1985-01-16,4.8202,4.8868,4.8202,4.8536,207438
1985-01-17,4.8703,4.9203,4.8703,4.9035,291665
1985-01-18,4.9203,5.0115,4.9203,4.9203,617978
1985-01-21,4.9203,5.028,4.8703,4.945,303695
1985-01-22,4.945,5.0115,4.945,4.9948,288775
1985-01-23,4.9948,5.028,4.9948,5.028,242090
