Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1972-01-07,1.2376,1.2465,1.2376,1.2376,570263
1972-01-14,1.2285,1.2285,1.219,1.219,837000
1972-01-21,1.219,1.2285,1.219,1.219,547268
1972-01-24,1.219,1.219,1.2108,1.2108,1513034
1972-01-25,1.1923,1.1923,1.1833,1.1833,974962
1972-01-26,1.1923,1.1923,1.1923,1.1923,1370470
1972-01-27,1.2014,1.2108,1.2014,1.2014,1605011
1972-01-28,1.2376,1.2465,1.2376,1.2376,2382225
1972-01-31,1.2646,1.2736,1.2646,1.2646,1517635
1972-02-01,1.2829,1.2915,1.2829,1.2829,685235
1972-02-02,1.2829,1.2915,1.2829,1.2829,625449
1972-02-03,1.2829,1.2915,1.2829,1.2829,639243
1972-02-04,1.2829,1.2829,1.2736,1.2736,1531430
1972-02-07,1.2736,1.2736,1.2646,1.2646,1278492
1972-02-08,1.2646,1.2736,1.2646,1.2646,1742978
1972-02-09,1.2829,1.2915,1.2829,1.2829,593253
1972-02-10,1.2829,1.2915,1.2829,1.2829,814002
1972-02-11,1.2829,1.2915,1.2829,1.2829,616252
1972-02-14,1.2829,1.2915,1.2829,1.2829,855394
1972-02-15,1.2915,1.3008,1.2915,1.2915,887587
1972-02-16,1.3279,1.3279,1.3279,1.3279,984162
1972-02-17,1.3459,1.355,1.3459,1.3459,1020949
1972-02-18,1.3459,1.3459,1.3368,1.3368,630048
1972-02-22,1.3459,1.3459,1.3459,1.3459,395503
1972-02-23,1.3639,1.373,1.3639,1.3639,584058
1972-02-24,1.373,1.382,1.373,1.373,358711
1972-02-25,1.3912,1.3912,1.3912,1.3912,1264698
1972-02-28,1.3912,1.3912,1.382,1.382,901380
1972-02-29,1.3912,1.4,1.3912,1.3912,588659
1972-03-01,1.3912,1.4,1.3912,1.3912,781813
1972-03-02,1.3912,1.3912,1.382,1.382,970368
1972-03-03,1.382,1.3912,1.382,1.382,298926
1972-03-06,1.382,1.3912,1.382,1.382,1586615
1972-03-07,1.382,1.382,1.373,1.373,570263
1972-03-08,1.355,1.355,1.3459,1.3459,1237099
1972-03-09,1.3368,1.3368,1.3279,1.3279,837000
1972-03-10,1.3187,1.3187,1.3099,1.3099,1678597
1972-03-13,1.2915,1.2915,1.2829,1.2829,1076142
1972-03-14,1.3008,1.3008,1.3008,1.3008,850795
1972-03-15,1.3368,1.3459,1.3368,1.3368,1977521
1972-03-16,1.3368,1.3368,1.3368,1.3368,1379670
1972-03-17,1.3368,1.3459,1.3368,1.3368,993362
1972-03-20,1.3368,1.3459,1.3368,1.3368,1347476
1972-03-21,1.3187,1.3187,1.3099,1.3099,979563
