Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1986-05-29,3.5954,3.6235,3.5954,3.6141,16762493
1986-05-30,3.5954,3.6423,3.5954,3.6423,6924859
1986-06-02,3.6423,3.6612,3.6141,3.633,334908
1986-06-03,3.6235,3.6612,3.6141,3.6612,164474
1986-06-04,3.633,3.6612,3.605,3.605,204522
1986-06-05,3.5954,3.633,3.5769,3.633,89483
1986-06-06,3.6423,3.6612,3.6141,3.633,391151
1986-06-09,3.6423,3.6423,3.5486,3.5577,530056
1986-06-10,3.5769,3.5769,3.5393,3.5577,150838
1986-06-11,3.5577,3.5577,3.5201,3.5393,339168
1986-06-12,3.5393,3.5393,3.4172,3.4642,371552
1986-06-13,3.483,3.5769,3.483,3.5577,641697
1986-06-16,3.5577,3.5769,3.5393,3.5673,628914
1986-06-17,3.5486,3.605,3.5486,3.5954,313605
1986-06-18,3.6141,3.6141,3.5673,3.6141,110784
1986-06-19,3.5954,3.605,3.5673,3.5954,411605
1986-06-20,3.5769,3.6141,3.5486,3.6141,575225
1986-06-23,3.5954,3.5954,3.5393,3.5393,155950
1986-06-24,3.5393,3.5393,3.5014,3.5201,260770
1986-06-25,3.5014,3.5954,3.5014,3.5769,713282
1986-06-26,3.5954,3.605,3.5201,3.5673,151689
1986-06-27,3.5769,3.5769,3.5014,3.5673,541990
1986-06-30,3.5769,3.5769,3.5673,3.5673,97148
1986-07-01,3.5769,3.6141,3.5673,3.6141,603345
1986-07-02,3.5954,3.5954,3.5201,3.5393,1124032
1986-07-03,3.5201,3.5201,3.4919,3.5201,363885
1986-07-07,3.5201,3.5201,3.3982,3.4262,357917
1986-07-08,3.4172,3.4172,3.3043,3.3606,1220332
1986-07-09,3.3796,3.3796,3.3234,3.3606,490006
1986-07-10,3.3796,3.4079,3.3043,3.3982,275257
1986-07-11,3.4172,3.4262,3.3982,3.4262,224125
1986-07-14,3.4172,3.4172,3.3325,3.3418,230942
1986-07-15,3.3606,3.3606,3.1919,3.2105,857298
1986-07-16,3.22,3.2482,3.2013,3.2482,403084
1986-07-17,3.2668,3.2952,3.2482,3.2482,168730
1986-07-18,3.2292,3.2292,3.1731,3.22,368999
1986-07-21,3.2013,3.2013,3.1636,3.1731,333209
1986-07-22,3.1919,3.2292,3.1731,3.2292,738845
1986-07-23,3.2105,3.2482,3.1919,3.1919,541990
1986-07-24,3.1731,3.1731,3.0885,3.1261,1861173
1986-07-25,3.0885,3.1354,3.0885,3.1261,2405720
1986-07-28,3.1261,3.1354,3.0606,3.0885,797648
1986-07-29,3.0695,3.0885,3.023,3.0885,1045633
1986-07-30,3.1073,3.1919,3.0695,3.1919,281219
1986-07-31,3.1731,3.1731,3.1261,3.1448,1448714
1986-08-01,3.1354,3.1542,3.0885,3.1073,2746594
1986-08-04,3.1073,3.1919,3.0793,3.1731,578633
1986-08-05,3.2105,3.2292,3.1919,3.2292,555626
1986-08-06,3.2482,3.2668,3.2292,3.2668,1092503
1986-08-07,3.2482,3.2668,3.2292,3.2292,1894410
1986-08-08,3.2292,3.2668,3.2292,3.2482,1648126
1986-08-11,3.2292,3.2858,3.2292,3.2762,486599
1986-08-12,3.2858,3.2858,3.2668,3.2762,670669
1986-08-13,3.2668,3.3234,3.2668,3.3234,1418036
1986-08-14,3.3043,3.3418,3.3043,3.3234,1989001
1986-08-15,3.3234,3.3606,3.3234,3.3325,1839018
1986-08-18,3.3234,3.3325,3.3043,3.3234,178958
1986-08-19,3.3043,3.3325,3.3043,3.3325,201971
1986-08-20,3.3234,3.3325,3.3043,3.3234,183220
1986-08-21,3.3043,3.3325,3.2952,3.2952,490856
1986-08-22,3.2762,3.3234,3.2668,3.3234,383486
1986-08-25,3.3234,3.3234,3.2952,3.2952,98003
1986-08-26,3.3043,3.3418,3.3043,3.3418,425239
1986-08-27,3.3325,3.3606,3.3234,3.3515,12868001
1986-08-28,3.3606,3.3796,3.3325,3.3796,10907976
1986-08-29,3.3982,3.4079,3.3606,3.3982,213899
1986-09-02,3.3796,3.3796,3.3234,3.3325,622098
1986-09-03,3.3234,3.3515,3.3234,3.3515,579489
1986-09-04,3.3515,3.3982,3.3234,3.3982,773786
1986-09-05,3.3606,3.3606,3.3234,3.3325,559035
1986-09-08,3.3234,3.3325,3.3043,3.3234,853038
1986-09-09,3.3043,3.3234,3.2762,3.2858,439728
1986-09-10,3.2762,3.2762,3.2292,3.2573,1167494
1986-09-11,3.2482,3.2482,3.0606,3.0695,909284
1986-09-12,3.0695,3.0695,2.8916,2.8916,916099
1986-09-15,2.929,2.929,2.7977,2.8916,679193
1986-09-16,2.8916,2.8916,2.7977,2.8725,818946
1986-09-17,2.8916,2.9102,2.8537,2.8916,627208
1986-09-18,2.9102,2.9102,2.816,2.8445,632320
1986-09-19,2.8537,2.8725,2.8258,2.8725,564999
1986-09-22,2.8916,2.9102,2.8725,2.9102,263325
1986-09-23,2.929,2.929,2.8537,2.929,1088245
1986-09-24,2.9571,3.0885,2.929,3.0885,717539
1986-09-25,3.0885,3.1073,2.9947,3.0606,837696
1986-09-26,3.0415,3.0695,3.0134,3.0415,870083
1986-09-29,2.9947,3.0041,2.929,3.0041,337465
1986-09-30,2.9664,3.0134,2.9102,3.0134,573522
1986-10-01,3.0134,3.0695,3.0134,3.0322,230942
1986-10-02,3.0322,3.0322,2.929,2.9571,262474
1986-10-03,2.9571,3.0415,2.9571,3.0322,835992
1986-10-06,3.0322,3.0606,3.0322,3.0509,188334
1986-10-07,3.0509,3.0606,3.0322,3.0606,306789
1986-10-08,3.0606,3.0606,3.0322,3.0509,104820
1986-10-09,3.0509,3.0695,3.0415,3.0695,192595
1986-10-10,3.0606,3.0695,3.0606,3.0695,89483
1986-10-13,3.0695,3.0885,3.0606,3.0695,38348
1986-10-14,3.0885,3.0885,3.0134,3.0134,157653
1986-10-15,3.0322,3.0509,2.9664,3.0509,430353
1986-10-16,3.0606,3.0695,3.0415,3.0695,187480
1986-10-17,3.0509,3.0509,3.0134,3.0322,109082
1986-10-20,3.0322,3.0322,2.9385,2.9664,92890
1986-10-21,2.9854,3.0134,2.9571,2.976,163617
1986-10-22,2.9571,2.9947,2.929,2.9385,256507
1986-10-23,2.9571,2.9947,2.929,2.9854,432056
