Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,3.6983,3.7215,3.6797,3.7215,205762
1982-01-04,3.7913,3.833,3.7355,3.8052,957361
1982-01-05,3.7215,3.7774,3.6656,3.6656,1054650
1982-01-06,3.596,3.6377,3.5404,3.5822,925510
1982-01-07,3.6377,3.7078,3.5682,3.7078,792921
1982-01-08,3.7494,3.8052,3.6797,3.6937,1547972
1982-01-11,3.624,3.7215,3.5264,3.5404,560471
1982-01-12,3.596,3.6377,3.5404,3.6377,599210
1982-01-13,3.6377,3.6937,3.5682,3.5682,861797
1982-01-14,3.624,3.7078,3.5404,3.6518,1282798
1982-01-15,3.7078,3.7494,3.6518,3.7078,722323
1982-01-18,3.7215,3.7913,3.6518,3.7913,422729
1982-01-19,3.7631,3.819,3.6937,3.6937,829088
1982-01-20,3.6797,3.7215,3.624,3.7078,1459295
1982-01-21,3.7215,3.7631,3.6797,3.7078,535505
1982-01-22,3.7215,3.7494,3.6937,3.7355,671528
1982-01-25,3.6937,3.7355,3.6518,3.7355,1222533
1982-01-26,3.7494,3.7913,3.7078,3.7215,2045594
1982-01-27,3.7774,3.819,3.7355,3.7494,1356840
1982-01-28,3.847,3.9446,3.7494,3.8888,3749392
1982-01-29,3.9584,4.0141,3.9028,4.0003,3460118
1982-02-01,3.9168,3.9584,3.8749,3.8888,954792
1982-02-02,3.847,3.8749,3.819,3.847,1490285
1982-02-03,3.7774,3.847,3.6937,3.6937,1412800
1982-02-04,3.7494,3.7774,3.7215,3.7774,1291406
1982-02-05,3.8749,3.9724,3.7774,3.9305,1856187
1982-02-08,3.8605,3.9168,3.8052,3.833,1430026
1982-02-09,3.7631,3.8052,3.7078,3.7215,1869095
1982-02-10,3.7631,3.819,3.7078,3.819,1263002
1982-02-11,3.8052,3.847,3.7631,3.8052,1188958
1982-02-12,3.8605,3.8749,3.833,3.8749,3194085
1982-02-16,3.8749,3.9305,3.8052,3.9168,2481231
1982-02-17,3.9865,4.0561,3.9168,4.0003,2456258
1982-02-18,4.0422,4.084,4.0003,4.0282,1444657
1982-02-19,3.9584,4.0141,3.9028,3.9446,2631029
1982-02-22,3.9305,4.0141,3.847,3.8605,1540222
1982-02-23,3.833,3.8605,3.8052,3.833,3068393
1982-02-24,3.819,3.8605,3.7631,3.8605,936702
1982-02-25,3.9028,3.9446,3.8605,3.8888,3291370
1982-02-26,3.9028,3.9305,3.8749,3.8888,369349
1982-03-01,3.8749,3.9028,3.833,3.8605,396028
1982-03-02,3.8749,3.9028,3.847,3.847,872993
1982-03-03,3.8749,3.9168,3.819,3.8605,1082201
1982-03-04,3.8052,3.8605,3.7494,3.819,3143288
1982-03-05,3.7494,3.7774,3.7078,3.7215,2001682
1982-03-08,3.7913,3.819,3.7494,3.7494,889348
1982-03-09,3.6656,3.7215,3.596,3.6797,3333554
1982-03-10,3.6518,3.7078,3.596,3.6099,2569042
1982-03-11,3.5822,3.6518,3.5125,3.5404,1185514
