Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-04-06,1.8467,1.8467,1.8207,1.8291,215719
1983-04-07,1.838,1.8467,1.8291,1.8291,232174
1983-04-08,1.8291,1.8817,1.8207,1.873,548439
1983-04-11,1.873,1.8817,1.838,1.8467,433266
1983-04-12,1.8467,1.8557,1.8291,1.8467,1160859
1983-04-13,1.8467,1.873,1.838,1.873,431436
1983-04-14,1.8644,1.8903,1.8644,1.8903,650813
1983-04-15,1.8817,1.969,1.8817,1.9605,1180968
1983-04-18,1.9605,1.969,1.9344,1.9605,1074940
1983-04-19,1.9605,1.9605,1.9081,1.9344,989015
1983-04-20,1.9254,1.9344,1.9081,1.9081,497252
1983-04-21,1.9081,1.9254,1.9081,1.9166,340032
1983-04-22,1.9344,1.969,1.9344,1.9518,574031
1983-04-25,1.9428,1.9518,1.9344,1.9344,709311
1983-04-26,1.9428,1.9605,1.9254,1.9605,926857
1983-04-27,1.9518,1.9868,1.9166,1.9605,1040201
1983-04-28,1.9428,1.9605,1.9254,1.9344,471658
1983-04-29,1.9518,1.969,1.9344,1.969,380247
1983-05-02,1.9605,1.9781,1.9518,1.9518,888469
1983-05-03,1.9344,1.9428,1.9254,1.9344,398529
1983-05-04,1.9518,1.9605,1.9344,1.9344,621561
1983-05-05,1.9605,1.9781,1.9518,1.969,325406
1983-05-06,1.9868,1.9868,1.9344,1.9605,550266
1983-05-09,1.9518,1.9518,1.9254,1.9344,257765
1983-05-10,1.9518,1.969,1.9254,1.9605,798891
1983-05-11,1.9518,1.9605,1.9344,1.9518,967079
1983-05-12,1.9605,1.9605,1.9254,1.9344,499078
1983-05-13,1.9344,1.969,1.9254,1.9605,208407
1983-05-16,1.9518,1.9518,1.9081,1.9254,223032
1983-05-17,1.9166,1.9344,1.8903,1.9081,109688
1983-05-18,1.9081,1.9254,1.8992,1.8992,999984
1983-05-19,1.9081,1.9081,1.8903,1.9081,617906
1983-05-20,1.9081,1.9254,1.9081,1.9254,230342
1983-05-23,1.9166,1.9344,1.8903,1.9254,820827
1983-05-24,1.9344,1.9344,1.9254,1.9254,221204
1983-05-25,1.9254,1.9254,1.9166,1.9254,265079
1983-05-26,1.9254,1.9254,1.9081,1.9166,235830
1983-05-27,1.8992,1.9166,1.8992,1.9166,283357
1983-05-31,1.9081,1.9081,1.8903,1.9081,215719
1983-06-01,1.8992,1.9081,1.873,1.8903,414984
1983-06-02,1.8817,1.8903,1.838,1.873,1098704
1983-06-03,1.8557,1.8817,1.8467,1.873,312611
1983-06-06,1.8817,1.8903,1.8644,1.8903,579513
1983-06-07,1.8817,1.9081,1.873,1.8817,1817155
1983-06-08,1.8817,1.9081,1.8817,1.8992,1279689
1983-06-09,1.8903,1.8992,1.873,1.8817,965252
1983-06-10,1.8992,1.9166,1.8992,1.9166,126142
1983-06-13,1.9254,1.9344,1.9166,1.9344,996327
1983-06-14,1.9428,1.9781,1.9428,1.969,1034717
1983-06-15,1.9868,1.9868,1.9605,1.9868,771467
1983-06-16,1.9868,2.0219,1.969,1.9781,2628845
1983-06-17,1.969,1.9781,1.969,1.969,1254091
1983-06-20,1.969,1.9868,1.969,1.969,431436
1983-06-21,1.9605,2.0042,1.9518,1.9954,1096874
1983-06-22,2.0131,2.0395,1.9868,2.0303,1811672
1983-06-23,2.0219,2.0477,2.0131,2.0395,1731232
1983-06-24,2.0567,2.1446,2.0395,2.1446,1495406
1983-06-27,2.1181,2.1446,2.0831,2.0831,2632502
1983-06-28,2.0659,2.0741,1.8903,1.9428,2893923
