Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-09-07,0.6021,0.6068,0.6021,0.6021,96966
1984-09-10,0.6021,0.6021,0.5973,0.6021,45925
1984-09-11,0.6021,0.6068,0.6021,0.6021,68046
1984-09-12,0.6021,0.6068,0.5973,0.6021,71442
1984-09-13,0.6021,0.6044,0.5973,0.6044,30616
1984-09-14,0.6068,0.6159,0.6068,0.6114,130994
1984-09-17,0.6159,0.635,0.6159,0.6279,151406
1984-09-18,0.6326,0.6466,0.6326,0.6326,165007
1984-09-19,0.6279,0.6279,0.6159,0.6159,110569
1984-09-20,0.6114,0.6114,0.5973,0.6068,115682
1984-09-21,0.6114,0.6442,0.6114,0.6372,256875
1984-09-24,0.635,0.635,0.6279,0.6326,66345
1984-09-25,0.6326,0.6372,0.6326,0.6326,113976
1984-09-26,0.6326,0.6372,0.6326,0.6372,95261
1984-09-27,0.6372,0.6372,0.6326,0.6326,173516
1984-09-28,0.6326,0.6372,0.6279,0.6279,88462
1984-10-01,0.6279,0.6279,0.6207,0.6207,57837
1984-10-02,0.6207,0.6207,0.6159,0.6159,69743
1984-10-03,0.6159,0.6207,0.6044,0.6044,136093
1984-10-04,0.6114,0.6326,0.6114,0.6279,615818
1984-10-05,0.6279,0.6326,0.6279,0.6326,64644
1984-10-08,0.6326,0.635,0.6279,0.635,35726
1984-10-09,0.635,0.635,0.6326,0.6326,49334
1984-10-10,0.6326,0.635,0.6326,0.635,323216
1984-10-11,0.635,0.6442,0.6326,0.6442,331721
1984-10-12,0.6417,0.6417,0.6372,0.6417,68046
1984-10-15,0.6417,0.6442,0.6396,0.6396,73147
1984-10-16,0.6396,0.6442,0.6396,0.6442,226249
1984-10-17,0.6442,0.6442,0.6396,0.6417,132690
1984-10-18,0.6417,0.6514,0.6417,0.6514,319811
1984-10-19,0.656,0.6655,0.656,0.656,263685
1984-10-22,0.656,0.656,0.6514,0.6514,365753
1984-10-23,0.6514,0.6609,0.6514,0.6584,28918
1984-10-24,0.6609,0.6866,0.6609,0.682,571589
1984-10-25,0.6772,0.6772,0.6701,0.6725,102071
1984-10-26,0.6725,0.6725,0.6701,0.6701,141195
1984-10-29,0.6701,0.6748,0.6701,0.6701,163311
1984-10-30,0.6701,0.6866,0.6701,0.6866,216046
1984-10-31,0.6936,0.71,0.6936,0.6983,267080
1984-11-01,0.7007,0.7148,0.7007,0.7148,173516
1984-11-02,0.71,0.71,0.6959,0.6959,71442
1984-11-05,0.6959,0.7055,0.6912,0.7055,268782
1984-11-06,0.7055,0.7195,0.7055,0.7195,59543
1984-11-07,0.7195,0.7241,0.71,0.7195,187127
1984-11-08,0.7195,0.7241,0.7148,0.7241,136093
1984-11-09,0.7241,0.7241,0.7148,0.7173,182024
1984-11-12,0.7173,0.7241,0.7148,0.7148,78253
1984-11-13,0.7148,0.7195,0.7148,0.7195,39129
1984-11-14,0.7195,0.7241,0.7195,0.7241,238160
1984-11-15,0.7289,0.7406,0.7289,0.7382,267080
1984-11-16,0.7406,0.75,0.7406,0.7456,787632
1984-11-19,0.7456,0.7477,0.7241,0.7289,287490
1984-11-20,0.7289,0.736,0.7241,0.7289,401474
1984-11-21,0.7289,0.7289,0.7148,0.7241,263685
1984-11-23,0.7241,0.7289,0.7241,0.7289,139502
1984-11-26,0.7241,0.7241,0.7125,0.7173,102071
1984-11-27,0.7173,0.7173,0.7055,0.7055,221153
1984-11-28,0.7055,0.7125,0.6983,0.7055,739998
1984-11-29,0.7055,0.71,0.7007,0.71,93563
1984-11-30,0.7148,0.7312,0.7148,0.7312,195639
1984-12-03,0.7312,0.7336,0.7241,0.7241,117386
1984-12-04,0.7241,0.7406,0.7241,0.7406,154803
1984-12-05,0.7406,0.7523,0.736,0.736,445703
1984-12-06,0.736,0.7523,0.7195,0.7406,825060
1984-12-07,0.7406,0.7456,0.736,0.736,100365
1984-12-10,0.736,0.736,0.7289,0.7289,158205
1984-12-11,0.7336,0.7406,0.7336,0.7406,37425
1984-12-12,0.7406,0.7406,0.7312,0.7312,96966
1984-12-13,0.7312,0.7406,0.7289,0.7336,95261
1984-12-14,0.7336,0.7456,0.7312,0.7382,190529
1984-12-17,0.7382,0.75,0.736,0.75,100365
1984-12-18,0.75,0.7523,0.7456,0.7456,483128
1984-12-19,0.7456,0.75,0.7312,0.7312,107177
1984-12-20,0.7312,0.736,0.7289,0.7289,261976
1984-12-21,0.7289,0.7312,0.7125,0.7125,90156
1984-12-24,0.7125,0.7173,0.7125,0.7173,40829
1984-12-26,0.7195,0.7289,0.7195,0.7289,64644
1984-12-27,0.7241,0.7241,0.7195,0.7195,27215
1984-12-28,0.7195,0.7406,0.7195,0.7406,362349
1984-12-31,0.7477,0.7594,0.7477,0.7523,335118
1985-01-02,0.7523,0.7547,0.7336,0.7336,185422
1985-01-03,0.7336,0.7382,0.7289,0.7289,37425
1985-01-04,0.7289,0.7406,0.7289,0.736,275583
1985-01-07,0.736,0.7406,0.7289,0.7406,309613
1985-01-08,0.7406,0.7406,0.7382,0.7382,62940
1985-01-09,0.7406,0.7456,0.7406,0.7406,28918
1985-01-10,0.7456,0.7477,0.7456,0.7456,224554
1985-01-11,0.7456,0.7523,0.7456,0.7456,95261
1985-01-14,0.7456,0.7643,0.7456,0.7643,183726
1985-01-15,0.769,0.8065,0.769,0.7948,791040
1985-01-16,0.7948,0.8136,0.7948,0.7993,335118
1985-01-17,0.7993,0.8088,0.7948,0.8065,224554
1985-01-18,0.8112,0.8253,0.8112,0.8253,971359
1985-01-21,0.8253,0.8253,0.8184,0.823,313015
1985-01-22,0.823,0.837,0.823,0.823,340235
1985-01-23,0.823,0.823,0.8136,0.823,472923
1985-01-24,0.823,0.8253,0.8184,0.8184,176918
1985-01-25,0.8184,0.823,0.8136,0.8184,127587
1985-01-28,0.8184,0.8184,0.8112,0.8184,178623
1985-01-29,0.8184,0.8184,0.8112,0.8184,158205
1985-01-30,0.8184,0.8323,0.8136,0.8136,229651
1985-01-31,0.8136,0.8278,0.8112,0.823,108869
1985-02-01,0.8184,0.8184,0.8136,0.8184,134386
1985-02-04,0.8184,0.83,0.8184,0.8278,348742
1985-02-05,0.8278,0.8323,0.823,0.823,296000
1985-02-06,0.823,0.8253,0.8184,0.8253,175220
1985-02-07,0.8253,0.8278,0.8136,0.8136,261976
1985-02-08,0.8136,0.8184,0.8041,0.8041,120782
1985-02-11,0.7993,0.7993,0.7854,0.7948,411677
1985-02-12,0.7948,0.8041,0.7948,0.8041,273881
1985-02-13,0.8041,0.8041,0.7948,0.8041,292596
1985-02-14,0.8041,0.8041,0.7948,0.7993,199034
