Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-09-07,0.524,0.5484,0.524,0.5402,783682
1984-09-10,0.5402,0.5402,0.524,0.524,743492
1984-09-11,0.5402,0.5402,0.5402,0.5402,2699352
1984-09-12,0.5402,0.5402,0.5158,0.5158,1704680
1984-09-13,0.5402,0.5402,0.5402,0.5402,827220
1984-09-14,0.5402,0.5561,0.5402,0.5484,6038372
1984-09-17,0.5484,0.5561,0.5484,0.5484,365047
1984-09-18,0.5561,0.5561,0.5561,0.5561,1969254
1984-09-19,0.5561,0.5561,0.5484,0.5484,807125
1984-09-20,0.5484,0.5484,0.5079,0.5079,6728282
1984-09-21,0.5079,0.524,0.5079,0.5079,1078401
1984-09-24,0.524,0.5484,0.524,0.524,3044306
1984-09-25,0.524,0.5402,0.49154,0.49154,3077796
1984-09-26,0.49154,0.49154,0.49154,0.49154,1821895
1984-09-27,0.49999,0.49999,0.49999,0.49999,723400
1984-09-28,0.49999,0.5079,0.46768,0.47552,1466890
1984-10-01,0.48354,0.48354,0.48354,0.48354,817172
1984-10-02,0.49154,0.49154,0.49154,0.49154,2555340
1984-10-03,0.49154,0.49154,0.48354,0.48354,1497035
1984-10-04,0.48354,0.5079,0.48354,0.48354,1895574
1984-10-05,0.49154,0.5158,0.49154,0.49154,1580759
1984-10-08,0.5079,0.5158,0.5079,0.5079,941088
1984-10-09,0.5079,0.5079,0.49154,0.49154,974580
1984-10-10,0.49154,0.49154,0.47552,0.47552,1403264
1984-10-11,0.49154,0.49154,0.49154,0.49154,1945813
1984-10-12,0.49154,0.49999,0.47552,0.49999,8707586
1984-10-15,0.49999,0.5158,0.49999,0.49999,2722793
1984-10-16,0.5158,0.5158,0.5158,0.5158,2836663
1984-10-17,0.5158,0.5158,0.5158,0.5158,5358513
1984-10-18,0.5402,0.5402,0.5402,0.5402,3787798
1984-10-19,0.5561,0.5804,0.5561,0.5561,9451076
1984-10-22,0.5561,0.5643,0.5402,0.5402,334906
1984-10-23,0.5402,0.5484,0.5402,0.5402,1172176
1984-10-24,0.5402,0.5402,0.5321,0.5321,3014160
1984-10-25,0.5321,0.5321,0.5321,0.5321,167455
1984-10-26,0.524,0.524,0.49999,0.5079,2407982
1984-10-29,0.5079,0.5158,0.49999,0.49999,837267
1984-10-30,0.5158,0.5158,0.5158,0.5158,103820
1984-10-31,0.5158,0.5158,0.5079,0.5079,1339628
1984-11-01,0.5158,0.5158,0.5158,0.5158,408588
1984-11-02,0.5158,0.524,0.5079,0.524,1476940
1984-11-05,0.524,0.524,0.524,0.524,113868
1984-11-06,0.5321,0.5321,0.5321,0.5321,1570714
1984-11-07,0.5321,0.5402,0.524,0.524,2438126
1984-11-08,0.5321,0.5321,0.5321,0.5321,3821289
1984-11-09,0.5321,0.5321,0.5158,0.524,1098494
1984-11-12,0.5321,0.5321,0.5321,0.5321,472221
1984-11-13,0.5321,0.5402,0.524,0.524,2471617
1984-11-14,0.524,0.5321,0.524,0.524,1108542
1984-11-15,0.524,0.524,0.524,0.524,113868
1984-11-16,0.524,0.524,0.5079,0.5158,1674532
1984-11-19,0.5158,0.5158,0.49999,0.49999,408588
1984-11-20,0.49999,0.5158,0.49999,0.49999,1286045
1984-11-21,0.49999,0.5079,0.49999,0.49999,123914
1984-11-23,0.49999,0.5158,0.49999,0.5079,2471617
1984-11-26,0.5079,0.524,0.5079,0.5079,334906
1984-11-27,0.524,0.524,0.524,0.524,177502
1984-11-28,0.5079,0.5079,0.5079,0.5079,147361
1984-11-29,0.5079,0.524,0.5079,0.5079,334906
1984-11-30,0.5079,0.5158,0.49154,0.49154,1098494
1984-12-03,0.49154,0.5079,0.49154,0.49154,398537
1984-12-04,0.49154,0.5079,0.49154,0.49154,408588
1984-12-05,0.49999,0.5079,0.49999,0.49999,1058308
1984-12-06,0.49999,0.49999,0.49154,0.49154,7756448
1984-12-07,0.49154,0.49999,0.49154,0.49999,355000
1984-12-10,0.49999,0.49999,0.49154,0.49154,1821895
1984-12-11,0.49154,0.5079,0.49154,0.49154,1443448
1984-12-12,0.49154,0.49154,0.49154,0.49154,103820
1984-12-13,0.49154,0.5079,0.49154,0.49154,2176900
1984-12-14,0.49154,0.5079,0.49154,0.49154,187547
1984-12-17,0.49154,0.5079,0.49154,0.49154,3620346
1984-12-18,0.49999,0.49999,0.49999,0.49999,6363235
1984-12-19,0.524,0.5402,0.524,0.524,7190452
1984-12-20,0.5484,0.5484,0.5484,0.5484,2742891
1984-12-21,0.5484,0.5484,0.5321,0.5321,83726
1984-12-24,0.5484,0.5643,0.5484,0.5484,2083122
1984-12-26,0.5561,0.5561,0.5561,0.5561,1131984
1984-12-27,0.5643,0.5724,0.5643,0.5643,1131984
1984-12-28,0.5643,0.5804,0.5484,0.5643,9481222
1984-12-31,0.5804,0.5804,0.5804,0.5804,837267
1985-01-02,0.5804,0.5804,0.5724,0.5724,365047
1985-01-03,0.5724,0.5804,0.5724,0.5724,689909
1985-01-04,0.5724,0.5804,0.5561,0.5561,5840783
1985-01-07,0.5561,0.5643,0.5484,0.5484,1162128
