Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-09-07,1.5039,1.5202,1.4789,1.5039,269452
1984-09-10,1.5039,1.5202,1.4789,1.4955,231661
1984-09-11,1.5039,1.5283,1.5039,1.5283,785353
1984-09-12,1.5283,1.5283,1.5118,1.5283,1284825
1984-09-13,1.5283,1.5283,1.5039,1.5118,377887
1984-09-14,1.5118,1.5283,1.5039,1.5118,542192
1984-09-17,1.5118,1.5118,1.4708,1.4789,407465
1984-09-18,1.4789,1.4789,1.4625,1.4625,226736
1984-09-19,1.4625,1.4708,1.4544,1.4625,407465
1984-09-20,1.4625,1.4625,1.4544,1.4544,144586
1984-09-21,1.4544,1.4955,1.4544,1.4955,1097523
1984-09-24,1.4955,1.5039,1.4955,1.4955,322030
1984-09-25,1.4955,1.5039,1.4955,1.5039,44362
1984-09-26,1.5039,1.5118,1.4873,1.4873,285883
1984-09-27,1.4955,1.5118,1.4955,1.5039,169231
1984-09-28,1.5202,1.5283,1.5202,1.5202,323677
1984-10-01,1.5202,1.5283,1.5039,1.5039,315455
1984-10-02,1.5039,1.5202,1.4955,1.4955,476469
1984-10-03,1.4955,1.5039,1.4873,1.4955,690060
1984-10-04,1.4955,1.5039,1.4789,1.4955,673629
1984-10-05,1.4955,1.4955,1.4789,1.4955,27932
1984-10-08,1.4789,1.4789,1.4463,1.4463,757421
1984-10-09,1.4463,1.4463,1.4463,1.4463,223449
1984-10-10,1.4463,1.4708,1.4463,1.4708,170873
1984-10-11,1.4789,1.5039,1.4789,1.5039,479756
1984-10-12,1.5202,1.5614,1.5202,1.5448,948012
1984-10-15,1.5448,1.553,1.5283,1.5365,443612
1984-10-16,1.5365,1.5448,1.5283,1.5448,106796
1984-10-17,1.5448,1.5448,1.5283,1.5365,101867
1984-10-18,1.5448,1.5614,1.5448,1.5614,463328
1984-10-19,1.5694,1.5939,1.5694,1.5777,473181
1984-10-22,1.5694,1.5694,1.553,1.5614,152800
1984-10-23,1.5614,1.5857,1.553,1.553,116652
1984-10-24,1.553,1.5614,1.5448,1.553,198802
1984-10-25,1.553,1.5857,1.553,1.5857,123225
1984-10-26,1.5614,1.5614,1.5448,1.553,446897
1984-10-29,1.553,1.5614,1.553,1.553,169231
1984-10-30,1.553,1.553,1.5283,1.5283,249737
1984-10-31,1.5283,1.5448,1.5283,1.5448,207018
1984-11-01,1.5448,1.5939,1.5448,1.5939,343389
1984-11-02,1.5939,1.5939,1.5777,1.5777,151158
1984-11-05,1.5777,1.5939,1.5694,1.5694,80509
1984-11-06,1.5694,1.5939,1.5694,1.5857,142942
1984-11-07,1.5857,1.6104,1.5614,1.6104,262879
1984-11-08,1.6104,1.6104,1.5857,1.6023,188945
1984-11-09,1.6023,1.6023,1.5777,1.5777,116652
1984-11-12,1.5777,1.5939,1.5694,1.5694,118294
1984-11-13,1.5694,1.5694,1.5614,1.5614,55862
1984-11-14,1.5614,1.5614,1.553,1.553,82151
1984-11-15,1.553,1.553,1.5365,1.5448,80509
1984-11-16,1.5448,1.5448,1.5283,1.5448,124866
