Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,23.503,24.112,23.485,23.972,4815324
2005-02-28,23.911,24.094,23.621,23.743,5354883
2005-03-01,23.56,23.883,23.56,23.826,3999756
2005-03-02,23.798,24.224,23.771,23.98,3378969
2005-03-03,24.018,24.084,23.902,23.972,3045370
2005-03-04,24.112,24.156,23.892,23.918,4848027
2005-03-07,23.892,24.304,23.743,23.944,2545724
2005-03-08,23.855,23.918,23.612,23.63,3359068
2005-03-09,23.612,23.659,23.154,23.299,5098012
2005-03-10,23.273,23.355,23.022,23.127,4303102
2005-03-11,23.099,23.208,22.941,23.127,3304896
2005-03-14,23.127,23.403,23.06,23.282,2734432
2005-03-15,23.422,23.56,22.976,23.041,3393124
2005-03-16,23.041,24.6,23.022,24.489,8801853
2005-03-17,26.186,26.29,24.923,24.978,12667184
2005-03-18,24.933,25.033,24.703,24.96,6630236
2005-03-21,24.859,24.95,24.572,24.645,2900961
2005-03-22,24.655,24.693,24.084,24.148,3789738
2005-03-23,24.148,24.37,23.883,23.918,3968795
2005-03-24,23.944,24.148,23.743,23.763,3047701
2005-03-28,23.972,23.99,23.734,23.753,2132083
2005-03-29,23.612,23.743,23.245,23.327,4015918
2005-03-30,23.43,23.743,23.412,23.716,3278110
2005-03-31,23.826,23.873,23.586,23.696,3025738
2005-04-01,23.696,23.972,23.668,23.716,3258263
2005-04-04,23.845,24.057,23.542,23.928,3913375
2005-04-05,23.892,24.166,23.771,24.084,2841423
2005-04-06,24.242,24.26,23.836,23.883,2607812
2005-04-07,23.928,24.112,23.716,23.972,2597457
2005-04-08,23.928,24,23.763,23.892,2852592
2005-04-11,23.972,24,23.603,23.603,3008871
2005-04-12,23.513,23.771,23.365,23.668,2851452
2005-04-13,23.55,23.836,23.365,23.456,2810998
2005-04-14,23.456,23.763,23.43,23.586,3285538
2005-04-15,23.466,23.485,23.154,23.208,4409496
2005-04-18,23.127,23.273,22.958,23.099,3312544
2005-04-19,23.621,23.873,23.375,23.494,4762130
2005-04-20,23.327,23.696,23.227,23.355,3197908
2005-04-21,23.798,24.37,23.696,24.242,4395777
2005-04-22,24.103,24.287,23.603,23.873,2942556
2005-04-25,23.918,24.214,23.855,24.057,2387167
2005-04-26,23.936,24.084,23.621,23.659,2567089
2005-04-27,23.668,24.065,23.612,24,2307452
2005-04-28,23.743,23.954,23.542,23.639,2695878
2005-04-29,23.716,23.873,23.336,23.55,3678736
2005-05-02,23.594,23.936,23.485,23.771,2360431
2005-05-03,23.612,24.037,23.594,23.892,2428326
2005-05-04,23.98,24.655,23.836,24.592,4103710
2005-05-05,24.443,24.526,24.037,24.176,1939634
2005-05-06,24.252,24.333,24.084,24.112,2018428
2005-05-09,24.084,24.156,24.018,24.112,2498545
2005-05-10,24,24.057,23.696,23.798,2015064
2005-05-11,23.817,23.817,23.485,23.542,2079972
2005-05-12,23.542,23.688,23.412,23.532,2215758
