Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-12-18,5.3942,5.5141,5.3942,5.4967,392429
1984-12-19,5.4795,5.5822,5.4795,5.574,313009
1984-12-20,5.574,5.6252,5.574,5.6252,179396
1984-12-21,5.6252,5.6252,5.5224,5.5567,108383
1984-12-24,5.5482,5.5912,5.5482,5.5912,52323
1984-12-26,5.574,5.6851,5.574,5.6766,122398
1984-12-27,5.6938,5.6938,5.6252,5.6252,42983
1984-12-28,5.6425,5.6679,5.6425,5.6425,232654
1984-12-31,5.6679,5.6679,5.6252,5.6338,64472
1985-01-02,5.6425,5.6425,5.5397,5.5653,100911
1985-01-03,5.5822,5.6252,5.5822,5.5912,113055
1985-01-04,5.5996,5.6083,5.574,5.574,149497
1985-01-07,5.5912,5.6083,5.574,5.6083,157903
1985-01-08,5.6252,5.6252,5.6083,5.6083,113055
1985-01-09,5.6338,5.6938,5.6338,5.6766,472779
1985-01-10,5.6597,5.7708,5.6597,5.7708,396166
1985-01-11,5.8137,5.9166,5.8137,5.8564,864275
1985-01-14,5.8824,6.0963,5.8824,6.0532,715714
1985-01-15,6.0963,6.2072,6.079,6.1388,1844407
1985-01-16,6.1733,6.1991,6.1562,6.1902,618542
1985-01-17,6.2163,6.2417,6.1902,6.1902,142954
1985-01-18,6.1733,6.1818,6.079,6.1562,374676
1985-01-21,6.1562,6.1733,6.1388,6.1733,295256
1985-01-22,6.1733,6.1902,6.1388,6.1647,443818
1985-01-23,6.1647,6.2246,6.122,6.2246,1304356
1985-01-24,6.2677,6.2848,6.062,6.062,835310
1985-01-25,6.079,6.1902,6.079,6.1733,202754
1985-01-28,6.1733,6.3702,6.1733,6.3275,835310
1985-01-29,6.3103,6.3188,6.2505,6.3188,639096
1985-01-30,6.336,6.4304,6.336,6.3533,212100
1985-01-31,6.3533,6.3533,6.2848,6.3019,88765
1985-02-01,6.3019,6.3875,6.3019,6.3875,378418
1985-02-04,6.3875,6.3875,6.3702,6.3875,266292
1985-02-05,6.4129,6.4129,6.0278,6.079,1478148
1985-02-06,6.0278,6.079,5.8483,6.0105,1629512
1985-02-07,5.9766,6.062,5.9166,6.062,1008167
1985-02-08,6.079,6.1733,6.0278,6.0362,455966
1985-02-11,6.0449,6.0449,5.9677,5.9766,249472
1985-02-12,5.9766,5.9934,5.9336,5.9766,240130
1985-02-13,5.9766,6.002,5.959,6.002,317683
1985-02-14,6.0105,6.0105,5.9336,5.959,313009
1985-02-15,5.959,5.959,5.831,5.865,493338
1985-02-19,5.865,5.959,5.865,5.959,394296
1985-02-20,5.9766,6.0278,5.9507,5.9849,255080
1985-02-21,5.9934,6.0105,5.9166,5.9166,260686
1985-02-22,5.8993,5.8993,5.7624,5.8392,440079
1985-02-25,5.831,5.865,5.7879,5.831,259750
1985-02-26,5.8564,5.9078,5.8483,5.8907,294324
1985-02-27,5.9078,5.9766,5.8907,5.8993,305536
1985-02-28,5.8824,5.8907,5.7793,5.7793,529778
1985-03-01,5.7966,5.8483,5.7793,5.8137,951172
