Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,0.8429,0.8506,0.8353,0.8506,27500
1970-01-05,0.8506,0.8658,0.8506,0.8658,15544
1970-01-06,0.8583,0.8583,0.8429,0.8506,17139
1970-01-07,0.8429,0.8429,0.813,0.8353,11959
1970-01-08,0.8353,0.8353,0.828,0.8353,20326
1970-01-09,0.8353,0.8353,0.828,0.828,7970
1970-01-12,0.8429,0.8506,0.8429,0.8506,14747
1970-01-13,0.8506,0.8506,0.8429,0.8429,20326
1970-01-14,0.8429,0.8429,0.8353,0.8353,27500
1970-01-15,0.8353,0.8429,0.8205,0.8205,12353
1970-01-16,0.8205,0.8353,0.8205,0.8353,28296
1970-01-19,0.8353,0.8353,0.8205,0.8205,22318
1970-01-20,0.8205,0.8353,0.8205,0.8205,9965
1970-01-21,0.8205,0.8205,0.813,0.8205,19925
1970-01-22,0.8205,0.8205,0.813,0.813,12752
1970-01-23,0.813,0.8205,0.7979,0.8055,36666
1970-01-26,0.8055,0.8055,0.7979,0.7979,11160
1970-01-27,0.7979,0.7979,0.7906,0.7979,3583
1970-01-28,0.7979,0.7979,0.7906,0.7906,25507
1970-01-29,0.7979,0.8055,0.7979,0.7979,16339
1970-01-30,0.7979,0.813,0.7979,0.7979,23112
1970-02-02,0.7979,0.7979,0.7828,0.7979,13951
1970-02-03,0.7979,0.813,0.7979,0.8055,15544
1970-02-04,0.8055,0.8205,0.8055,0.813,32679
1970-02-05,0.813,0.813,0.7828,0.7979,33078
1970-02-06,0.7979,0.7979,0.7906,0.7906,38259
1970-02-09,0.7906,0.8205,0.7906,0.7979,18732
1970-02-10,0.7979,0.7979,0.7906,0.7906,23112
1970-02-11,0.7906,0.7979,0.7828,0.7979,24710
1970-02-12,0.7979,0.7979,0.7906,0.7906,4384
1970-02-13,0.7979,0.8055,0.7979,0.7979,10359
1970-02-16,0.7979,0.8205,0.7906,0.8205,99633
1970-02-17,0.8205,0.828,0.8205,0.828,13153
1970-02-18,0.828,0.8429,0.8205,0.8429,110794
1970-02-19,0.8429,0.8429,0.828,0.8429,48622
1970-02-20,0.8429,0.8583,0.8429,0.8583,15146
1970-02-24,0.8583,0.8959,0.8506,0.8658,42245
1970-02-25,0.8733,0.9034,0.8733,0.8882,61772
1970-02-26,0.8882,0.9034,0.8733,0.8959,70541
