Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1986-07-09,8.6302,8.9295,8.5247,8.8798,352297
1986-07-10,8.9295,8.9769,8.6302,8.8316,190643
1986-07-11,8.7826,8.8316,8.5247,8.5247,247993
1986-07-14,8.5726,8.5726,8.1697,8.2747,231644
1986-07-15,8.226,8.226,7.5157,8.0244,641052
1986-07-16,8.0244,8.4762,8.0244,8.1697,359484
1986-07-17,8.1697,8.2747,8.0726,8.226,324923
1986-07-18,8.226,8.3552,8.0726,8.2747,443224
1986-07-21,8.2747,8.3228,8.226,8.2747,100464
1986-07-22,8.2747,8.2989,8.226,8.226,126354
1986-07-23,8.2747,8.2747,8.0726,8.1212,311668
1986-07-24,8.1212,8.1697,7.9195,8.0244,337311
1986-07-25,8.0244,8.1697,7.9757,8.1212,214676
1986-07-28,8.1212,8.2747,8.0483,8.1697,131057
1986-07-29,8.0726,8.226,8.0726,8.226,92905
1986-07-30,8.1212,8.1697,7.9757,8.1697,145551
1986-07-31,8.1697,8.2747,8.0726,8.1212,378189
1986-08-01,8.0726,8.1697,7.8707,7.8707,352792
1986-08-04,7.9195,7.9195,7.6933,7.8707,278471
1986-08-05,7.8707,7.8707,7.6692,7.7176,274007
1986-08-06,7.7176,7.7657,7.3625,7.3625,175778
1986-08-07,7.2654,7.3138,6.5549,6.7646,2341219
1986-08-08,6.8135,7.2173,6.7646,7.1685,868109
1986-08-11,7.2654,7.3625,7.1685,7.3625,447062
1986-08-12,7.3625,7.6204,7.3625,7.5721,363815
1986-08-13,7.6204,8.1533,7.5721,7.8222,272524
1986-08-14,7.8707,7.9195,7.5721,7.6692,236356
1986-08-15,7.6692,7.6692,7.4187,7.5721,205134
1986-08-18,7.6204,7.9757,7.4672,7.8222,189154
1986-08-19,7.8707,7.8707,7.6692,7.7176,853988
1986-08-20,7.7176,7.7176,7.5721,7.6692,158311
1986-08-21,7.6692,7.7176,7.6204,7.6204,115204
1986-08-22,7.6692,7.7176,7.5721,7.5721,89561
1986-08-25,7.6692,7.6692,7.3625,7.4672,238458
1986-08-26,7.4187,7.5721,7.4187,7.5721,128085
1986-08-27,7.5721,7.5721,7.4187,7.5157,213681
1986-08-28,7.5157,7.5157,7.3625,7.4187,89561
1986-08-29,7.3625,7.4672,7.3138,7.3625,351058
1986-09-02,7.4187,7.4187,7.0151,7.0636,290360
1986-09-03,7.0636,7.2173,7.0151,7.2173,212691
