Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1980-11-03,0.47738,0.47738,0.46587,0.47738,1733602
1980-11-05,0.48314,0.5116,0.48314,0.48314,3190165
1980-11-06,0.48314,0.48314,0.46587,0.47157,1015814
1980-11-07,0.47157,0.47157,0.46326,0.46877,772352
1980-11-10,0.46877,0.47458,0.46877,0.47157,1267672
1980-11-11,0.47458,0.49463,0.47458,0.48594,2589911
1980-11-12,0.48906,0.5089,0.48906,0.5031,3345474
1980-11-13,0.5061,0.5146,0.5061,0.5146,2363242
1980-11-14,0.5146,0.5201,0.5089,0.5146,2434595
1980-11-17,0.5089,0.5089,0.5061,0.5089,3030652
1980-11-18,0.5089,0.5232,0.5089,0.5175,3383256
1980-11-19,0.5175,0.5261,0.5175,0.5175,6779097
1980-11-20,0.5175,0.5201,0.5089,0.5089,1721016
1980-11-21,0.5089,0.5146,0.5089,0.5146,5859824
1980-11-24,0.5146,0.5146,0.5061,0.5116,4004494
1980-11-25,0.5116,0.5146,0.5089,0.5146,2770406
1980-11-26,0.5146,0.5146,0.5089,0.5116,3425229
1980-11-28,0.5116,0.5146,0.5116,0.5146,1800761
1980-12-01,0.5146,0.5146,0.5061,0.5089,4894383
1980-12-02,0.5089,0.5089,0.5004,0.5031,2539538
1980-12-03,0.5031,0.5089,0.49735,0.5061,2396820
1980-12-04,0.5061,0.5146,0.5061,0.5116,3164978
1980-12-05,0.5089,0.5089,0.5004,0.5031,3034855
1980-12-08,0.5004,0.5004,0.48314,0.49463,3400039
1980-12-09,0.49463,0.49735,0.48594,0.49735,2862750
1980-12-10,0.49735,0.5061,0.49735,0.49735,3857583
1980-12-11,0.48906,0.48906,0.47157,0.47738,3798811
1980-12-12,0.47738,0.48906,0.47458,0.48594,2245709
1980-12-15,0.49181,0.49735,0.49181,0.49735,4424254
1980-12-16,0.49735,0.49735,0.48594,0.49181,23993390
1980-12-17,0.49181,0.49735,0.48906,0.49735,2304472
1980-12-18,0.49735,0.5116,0.49735,0.5061,3483996
1980-12-19,0.5061,0.5116,0.5031,0.5061,801737
1980-12-22,0.5116,0.5201,0.5116,0.5175,1956075
1980-12-23,0.5201,0.5317,0.5201,0.5289,2976086
1980-12-24,0.5289,0.5487,0.5289,0.5459,3034855
1980-12-26,0.5459,0.5574,0.5405,0.5487,1397796
1980-12-29,0.5487,0.5547,0.5374,0.5374,2199533
1980-12-30,0.5374,0.5374,0.5261,0.5374,1036800
1980-12-31,0.5374,0.5405,0.5317,0.5405,1846936
1981-01-02,0.5405,0.5459,0.5405,0.5405,1267672
1981-01-05,0.5405,0.5519,0.5374,0.5519,2610898
1981-01-06,0.5519,0.5632,0.5519,0.5547,4814626
1981-01-07,0.5547,0.5547,0.5089,0.5433,9364812
1981-01-08,0.5433,0.5519,0.5374,0.5374,5989952
1981-01-09,0.5374,0.5433,0.5261,0.5289,6716131
1981-01-12,0.5289,0.5405,0.5289,0.5317,7710962
1981-01-13,0.5317,0.5317,0.5232,0.5289,5536610
1981-01-14,0.5289,0.5317,0.5261,0.5261,3223747
1981-01-15,0.5289,0.5345,0.5289,0.5345,1905702
1981-01-16,0.5405,0.5487,0.5405,0.5459,3492391
1981-01-19,0.5547,0.5632,0.5547,0.5632,4222768
