Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,2.4719,2.5148,2.4719,2.4861,87348
1985-07-02,2.4861,2.529,2.4645,2.529,558799
1985-07-03,2.529,2.5434,2.5148,2.5434,412104
1985-07-05,2.5504,2.5933,2.5504,2.5647,147822
1985-07-08,2.5647,2.579,2.5647,2.579,440092
1985-07-09,2.579,2.6076,2.5717,2.5933,424418
1985-07-10,2.5933,2.6076,2.5504,2.5504,505041
1985-07-11,2.5647,2.6432,2.5647,2.6219,515125
1985-07-12,2.6219,2.6503,2.5717,2.579,1033604
1985-07-15,2.5933,2.6147,2.5933,2.6147,849954
1985-07-16,2.6147,2.6291,2.6005,2.6219,938421
1985-07-17,2.6219,2.6503,2.6147,2.6219,753649
1985-07-18,2.6219,2.6291,2.579,2.5933,412104
1985-07-19,2.5933,2.6076,2.5717,2.579,210528
1985-07-22,2.5717,2.5717,2.5217,2.5504,1000010
1985-07-23,2.5504,2.5647,2.5434,2.5434,490489
1985-07-24,2.5434,2.5575,2.5004,2.529,509520
1985-07-25,2.5504,2.579,2.5504,2.5717,267643
1985-07-26,2.5717,2.6005,2.5504,2.5504,152298
1985-07-29,2.5504,2.5647,2.5148,2.5148,264281
1985-07-30,2.5148,2.529,2.5004,2.5004,725651
1985-07-31,2.5004,2.5148,2.4933,2.5148,1385234
1985-08-01,2.5148,2.5148,2.5004,2.5074,369540
1985-08-02,2.5074,2.5148,2.4933,2.5148,193728
1985-08-05,2.5074,2.5074,2.4933,2.5074,172452
1985-08-06,2.5074,2.5074,2.4861,2.4861,501689
1985-08-07,2.4861,2.5004,2.4645,2.4719,218363
1985-08-08,2.4719,2.5074,2.4645,2.5074,415457
1985-08-09,2.5074,2.5504,2.4933,2.4933,321392
1985-08-12,2.4933,2.4933,2.4575,2.4575,647263
1985-08-13,2.4575,2.4719,2.4575,2.4645,67191
1985-08-14,2.4645,2.4861,2.4504,2.4504,197093
1985-08-15,2.4504,2.4575,2.4362,2.4431,1092958
1985-08-16,2.4431,2.4719,2.4431,2.4431,191489
1985-08-19,2.4431,2.4719,2.4431,2.4719,208289
1985-08-20,2.4719,2.4861,2.4504,2.4575,159018
1985-08-21,2.4645,2.4861,2.4645,2.4861,118701
1985-08-22,2.5004,2.5074,2.4719,2.4719,342670
1985-08-23,2.4719,2.5004,2.4575,2.4719,266520
1985-08-26,2.4719,2.5074,2.4504,2.4645,127664
1985-08-27,2.4645,2.5074,2.4645,2.5004,387462
1985-08-28,2.5004,2.5004,2.4789,2.5004,430015
1985-08-29,2.5004,2.5004,2.4861,2.4861,447935
1985-08-30,2.4861,2.5074,2.4861,2.5004,442334
1985-09-03,2.5004,2.5004,2.4719,2.4861,125423
1985-09-04,2.4861,2.5004,2.4789,2.4861,194854
1985-09-05,2.4861,2.4861,2.4645,2.4645,82870
1985-09-06,2.4645,2.4789,2.4575,2.4645,207171
1985-09-09,2.4645,2.4645,2.4504,2.4575,244126
1985-09-10,2.4575,2.4575,2.3789,2.3789,1883561
1985-09-11,2.3789,2.4003,2.3649,2.4003,111980
1985-09-12,2.3718,2.3718,2.329,2.329,1382995
1985-09-13,2.329,2.3503,2.3215,2.3503,389701
1985-09-16,2.3503,2.3649,2.3147,2.3147,272124
1985-09-17,2.3147,2.3147,2.2504,2.2504,1489377
1985-09-18,2.2504,2.2646,2.2,2.2074,1586805
1985-09-19,2.2074,2.2361,2.2074,2.2361,514005
1985-09-20,2.2361,2.2504,2.2289,2.2361,445693
1985-09-23,2.2361,2.2361,2.2074,2.2361,370662
1985-09-24,2.2361,2.2576,2.2289,2.2504,480410
1985-09-25,2.2361,2.2361,2.2146,2.2289,555438
1985-09-26,2.2289,2.2289,2.1358,2.1502,283316
1985-09-30,2.1502,2.2,2.1502,2.2,927222
1985-10-01,2.2,2.2,2.1716,2.2,332590
1985-10-02,2.2,2.2074,2.1647,2.1647,892507
1985-10-03,2.1716,2.2361,2.1716,2.2361,1357240
1985-10-04,2.2361,2.2361,2.2146,2.2217,243005
1985-10-07,2.2217,2.2217,2.2,2.2217,156777
1985-10-08,2.2217,2.2504,2.2146,2.2504,474807
1985-10-09,2.2504,2.3005,2.2361,2.3005,94070
1985-10-10,2.3005,2.3649,2.3005,2.3649,78388
1985-10-11,2.3649,2.4003,2.3649,2.3649,294514
1985-10-14,2.3789,2.4147,2.3789,2.4003,134379
1985-10-15,2.4003,2.4003,2.2718,2.2718,680860
1985-10-16,2.2576,2.2576,2.2,2.2074,1418826
1985-10-17,2.2074,2.2361,2.186,2.2,861156
1985-10-18,2.2146,2.2504,2.2146,2.2504,216127
1985-10-21,2.2504,2.3005,2.2504,2.2504,718934
1985-10-22,2.2504,2.3503,2.2289,2.329,362828
1985-10-23,2.329,2.3649,2.3147,2.329,812994
1985-10-24,2.3574,2.4147,2.3574,2.3649,2979876
1985-10-25,2.3718,2.386,2.3718,2.3718,1629356
1985-10-28,2.3718,2.3789,2.3718,2.3718,264281
1985-10-29,2.3718,2.3789,2.3503,2.3574,936181
1985-10-30,2.3574,2.3649,2.3073,2.329,4782806
1985-10-31,2.3503,2.4217,2.3503,2.4217,1656232
1985-11-01,2.4217,2.4362,2.4003,2.4076,142216
1985-11-04,2.4076,2.4076,2.3649,2.3789,83984
1985-11-05,2.3789,2.386,2.3649,2.3718,340430
1985-11-06,2.3718,2.3718,2.3215,2.336,1201580
1985-11-07,2.336,2.3649,2.336,2.3574,814119
1985-11-08,2.3649,2.4217,2.3649,2.4147,1319162
1985-11-11,2.4289,2.4645,2.4289,2.4645,1863401
1985-11-12,2.4645,2.5004,2.4645,2.4789,755888
1985-11-13,2.4789,2.5004,2.4719,2.4789,690937
1985-11-14,2.4789,2.529,2.4789,2.5074,875708
1985-11-15,2.5074,2.529,2.4861,2.5074,1079522
1985-11-18,2.5074,2.5148,2.4861,2.5148,321392
1985-11-19,2.5148,2.529,2.5004,2.5074,737975
1985-11-20,2.5074,2.5217,2.5074,2.5074,161257
