Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-04-06,2.8684,2.8684,2.8684,2.8684,209871
1983-04-07,2.8901,2.8901,2.8459,2.8684,564080
1983-04-08,2.8684,2.8901,2.8684,2.8684,267668
1983-04-11,2.8684,2.935,2.8684,2.8901,472284
1983-04-12,2.935,2.935,2.8901,2.935,323918
1983-04-13,2.8901,2.935,2.8901,2.935,1261381
1983-04-14,2.8901,2.935,2.8684,2.935,161032
1983-04-15,2.935,2.935,2.8901,2.935,569647
1983-04-18,2.935,2.935,2.8901,2.935,394083
1983-04-19,2.935,2.935,2.8901,2.8901,241400
1983-04-20,2.935,2.9569,2.935,2.9569,820624
1983-04-21,2.9569,2.9569,2.8901,2.8901,521427
1983-04-22,2.8901,2.935,2.8684,2.935,1610957
1983-04-25,2.935,2.935,2.8901,2.935,177417
1983-04-26,2.935,2.935,2.8901,2.935,639189
1983-04-27,2.935,2.9569,2.8901,2.8901,982896
1983-04-28,2.8901,2.935,2.8684,2.8901,1932098
1983-04-29,2.8901,2.8901,2.8684,2.8684,1168039
1983-05-02,2.8684,2.8684,2.8459,2.8684,649701
1983-05-03,2.8684,2.8901,2.8684,2.8901,1399544
1983-05-04,2.8901,2.935,2.8901,2.935,234595
1983-05-05,2.935,2.935,2.8901,2.935,1233560
1983-05-06,2.9569,2.9569,2.935,2.9569,446936
1983-05-09,2.935,2.9569,2.7794,2.935,952602
1983-05-10,2.935,2.935,2.8901,2.935,1396452
1983-05-11,2.935,2.9569,2.935,2.935,2145365
1983-05-12,2.935,2.9569,2.8901,2.935,742733
1983-05-13,2.935,2.935,2.8901,2.8901,2931680
1983-05-16,2.8901,2.8901,2.8901,2.8901,2239639
1983-05-17,2.8901,2.8901,2.8684,2.8901,497010
1983-05-18,2.8901,2.8901,2.8901,2.8901,514938
1983-05-19,2.8901,2.8901,2.8901,2.8901,312792
1983-05-20,2.8901,2.8901,2.8901,2.8901,395015
1983-05-23,2.8901,2.8901,2.8684,2.8901,620027
1983-05-24,2.9126,2.9569,2.9126,2.9569,569026
1983-05-25,2.9569,2.9569,2.8901,2.8901,848751
1983-05-26,2.8901,2.9569,2.8901,2.9126,431485
1983-05-27,2.9126,2.935,2.9126,2.935,152378
1983-05-31,2.9126,2.935,2.8901,2.9126,1297852
1983-06-01,2.9126,2.9126,2.8901,2.8901,767152
1983-06-02,2.9126,2.9126,2.8901,2.9126,906859
1983-06-03,2.935,2.935,2.8901,2.9126,499174
1983-06-06,2.9126,2.9126,2.8901,2.8901,523898
1983-06-07,2.9126,2.9126,2.8901,2.8901,414176
1983-06-08,2.8901,2.8901,2.8684,2.8684,1050894
