Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1988-01-05,2.1502,2.2148,2.1502,2.1961,460253
1988-01-06,2.1961,2.1961,2.1502,2.1502,320949
1988-01-07,2.1591,2.1591,2.1133,2.1409,570092
1988-01-08,2.1502,2.1502,2.0947,2.0947,446483
1988-01-11,2.1133,2.1133,2.021,2.0579,145647
1988-01-12,2.0579,2.0579,1.9654,1.984,281759
1988-01-13,2.021,2.0579,1.993,2.0393,371055
1988-01-14,2.0393,2.0859,2.0393,2.0859,79584
1988-01-15,2.1133,2.1502,2.1037,2.1133,241885
1988-01-18,2.1409,2.1409,2.1037,2.1037,53750
1988-01-19,2.0859,2.1037,2.0579,2.0859,192039
1988-01-20,2.1037,2.1133,2.021,2.021,165210
1988-01-21,2.021,2.021,1.9562,1.9562,228335
1988-01-22,1.9654,1.9747,1.9654,1.9654,307045
1988-01-25,1.9747,2.0117,1.9654,1.993,328574
1988-01-26,1.993,2.0117,1.9747,1.9747,135794
1988-01-27,1.993,2.021,1.984,1.993,56353
1988-01-28,1.993,2.0486,1.993,2.03,211057
1988-01-29,2.0393,2.0947,2.03,2.0762,392720
1988-02-01,2.0579,2.0859,2.0393,2.0393,145647
1988-02-02,2.0393,2.0947,2.021,2.0947,156917
1988-02-03,2.0859,2.1037,2.0859,2.0859,42384
1988-02-04,2.0859,2.0947,2.0762,2.0762,166950
1988-02-05,2.0947,2.0947,2.0579,2.0579,142183
1988-02-08,2.0486,2.0486,1.9747,1.993,392728
1988-02-09,2.021,2.0579,2.021,2.0486,161252
1988-02-10,2.0579,2.0762,2.0393,2.0393,41614
1988-02-11,2.0393,2.0762,2.0393,2.0762,217123
1988-02-12,2.0486,2.0859,2.0486,2.0486,214138
1988-02-16,2.0393,2.0393,1.9654,1.9747,2013552
1988-02-17,1.9747,2.0486,1.9747,2.0393,604270
1988-02-18,2.0393,2.0947,2.021,2.0579,286096
1988-02-19,2.0579,2.0947,2.0579,2.0947,113571
1988-02-22,2.0859,2.1037,2.0762,2.1037,319040
1988-02-23,2.1313,2.1961,2.1313,2.1502,610759
1988-02-24,2.1409,2.1502,2.1037,2.1409,975815
1988-02-25,2.1133,2.1961,2.1133,2.1685,1035143
1988-02-26,2.1685,2.2237,2.1685,2.1961,955970
1988-02-29,2.1961,2.2516,2.1961,2.2516,564958
1988-03-01,2.2333,2.3347,2.2333,2.325,296777
1988-03-02,2.3069,2.3347,2.3069,2.3069,728517
1988-03-03,2.325,2.3714,2.325,2.3714,3521640
1988-03-04,2.3714,2.3714,2.3347,2.3714,268235
1988-03-07,2.3714,2.3901,2.3437,2.3808,252655
1988-03-08,2.3991,2.436,2.3901,2.4083,195065
1988-03-09,2.4266,2.436,2.3901,2.3991,289562
1988-03-10,2.4083,2.4266,2.3714,2.3901,592131
1988-03-11,2.3901,2.3901,2.3437,2.3531,601667
1988-03-14,2.3347,2.3808,2.3347,2.3714,443019
1988-03-15,2.3531,2.3901,2.3437,2.3901,1063749
1988-03-16,2.3808,2.4083,2.3623,2.3714,317555
1988-03-17,2.3623,2.3714,2.3347,2.3623,250927
1988-03-18,2.3808,2.3808,2.3623,2.3714,163536
1988-03-21,2.3623,2.3623,2.3623,2.3623,26820
1988-03-22,2.3808,2.3901,2.3623,2.3714,147960
1988-03-23,2.3714,2.3808,2.3623,2.3623,1351534
