Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1993-12-14,13.556,14.345,13.517,14.268,1249745
1993-12-15,14.189,14.189,13.715,13.954,1041415
1993-12-16,13.991,13.991,13.875,13.954,662570
1993-12-17,13.954,13.954,13.639,13.639,1221440
1993-12-20,13.639,14.07,13.639,14.07,1490324
1993-12-21,14.03,14.428,14.03,14.268,1024013
1993-12-22,14.307,14.307,14.152,14.268,232689
1993-12-23,14.307,14.583,14.307,14.541,227120
1993-12-27,14.622,14.977,14.622,14.898,79343
1993-12-28,14.857,14.857,14.743,14.818,317368
1993-12-29,14.898,15.018,14.898,15.018,306696
1993-12-30,15.018,15.173,15.018,15.097,181189
1993-12-31,15.018,15.057,14.898,14.977,154278
1994-01-03,15.018,15.018,14.583,14.781,542631
1994-01-04,14.781,14.781,14.07,14.231,2610151
1994-01-05,13.875,13.991,13.715,13.991,3402638
1994-01-06,13.875,13.991,13.556,13.715,3193613
1994-01-07,13.678,13.678,13.085,13.164,3976821
1994-01-10,13.204,13.556,13.164,13.517,1636711
1994-01-11,13.556,13.556,13.363,13.48,1375023
1994-01-12,13.439,13.439,13.164,13.241,2562590
1994-01-13,13.204,13.241,13.125,13.164,1198704
1994-01-14,13.204,13.281,13.125,13.204,1584508
1994-01-17,13.164,13.241,13.085,13.204,1342542
1994-01-18,13.204,13.204,13.085,13.125,1297306
1994-01-19,13.085,13.4,13.085,13.324,1540202
1994-01-20,13.324,13.363,13.125,13.241,1300785
1994-01-21,13.281,13.281,13.164,13.241,1694471
1994-01-24,13.241,13.241,13.085,13.125,2437548
1994-01-25,13.085,13.204,13.006,13.125,1705611
1994-01-26,13.085,13.164,13.085,13.125,839354
1994-01-27,13.125,13.204,13.085,13.125,1868238
1994-01-28,13.204,13.598,13.164,13.556,1490783
1994-01-31,13.556,13.991,13.556,13.795,1526517
1994-02-01,13.324,13.4,13.241,13.324,3527916
1994-02-02,13.281,13.281,13.125,13.241,3888198
1994-02-03,13.281,13.517,13.241,13.48,2477218
1994-02-04,13.439,13.639,13.4,13.439,1457610
1994-02-07,13.439,13.755,13.439,13.715,927273
1994-02-08,13.556,13.639,13.48,13.517,1063224
1994-02-09,13.439,13.598,13.439,13.598,892938
1994-02-10,13.556,13.678,13.48,13.48,1133981
1994-02-11,13.48,13.517,13.4,13.48,801302
1994-02-14,13.517,13.598,13.48,13.556,715465
1994-02-15,13.517,13.715,13.517,13.598,813368
1994-02-16,13.598,13.755,13.556,13.678,775786
1994-02-17,13.755,13.875,13.678,13.678,1154165
1994-02-18,13.678,13.715,13.556,13.598,503420
1994-02-22,13.4,13.517,13.281,13.4,1336049
1994-02-23,13.4,13.517,13.4,13.517,1178524
1994-02-24,13.48,13.48,13.324,13.363,623831
1994-02-25,13.281,13.324,13.204,13.204,755369
1994-02-28,13.281,13.281,13.125,13.164,603644
1994-03-01,13.125,13.164,13.085,13.164,872057
1994-03-02,13.085,13.125,12.966,12.966,1258331
1994-03-03,12.966,12.966,12.773,12.773,848630
1994-03-04,12.773,12.813,12.613,12.689,1169707
1994-03-07,12.689,12.689,12.652,12.652,695979
1994-03-08,12.652,12.689,12.613,12.652,1256939
1994-03-09,12.622,12.783,12.622,12.783,311332
1994-03-10,12.737,12.821,12.622,12.66,1244875
1994-03-11,12.66,12.979,12.66,12.94,344973
1994-03-14,13.018,13.018,12.895,12.979,398331
1994-03-15,12.979,13.099,12.94,13.056,731473
1994-03-16,13.056,13.099,12.856,12.895,549824
1994-03-17,12.856,13.056,12.856,12.979,780195
1994-03-18,12.979,12.979,12.737,12.783,1149985
1994-03-21,12.783,12.856,12.737,12.783,489501
1994-03-22,12.783,12.821,12.66,12.821,638209
1994-03-23,12.856,13.018,12.821,13.018,593901
1994-03-24,12.94,13.139,12.94,13.056,486726
1994-03-25,13.139,13.139,13.056,13.056,268649
1994-03-28,13.099,13.178,12.94,13.178,562120
1994-03-29,13.139,13.258,13.139,13.178,363298
1994-03-30,13.099,13.178,12.94,12.979,690178
1994-03-31,12.94,12.979,12.783,12.821,782047
1994-04-04,12.622,12.737,12.582,12.66,1095239
1994-04-05,12.737,12.895,12.737,12.856,1194762
1994-04-06,13.217,13.375,13.139,13.298,967411
1994-04-07,13.298,13.337,13.178,13.337,1572215
1994-04-08,13.298,13.733,13.298,13.657,1040954
1994-04-11,13.617,13.657,13.458,13.572,544257
1994-04-12,13.617,13.617,13.258,13.258,507600
1994-04-13,13.375,13.572,13.337,13.572,1288719
1994-04-14,13.498,13.535,13.458,13.498,815453
1994-04-15,13.617,13.776,13.535,13.572,685070
1994-04-18,13.572,13.657,13.458,13.498,579056
1994-04-19,13.572,13.572,13.375,13.498,728920
1994-04-20,13.498,13.535,13.056,13.139,875776
1994-04-21,13.178,13.535,13.139,13.375,778802
1994-04-22,13.413,13.498,13.375,13.413,325022
1994-04-25,13.498,13.733,13.458,13.733,1000121
1994-04-26,14.331,14.409,14.212,14.25,1955469
1994-04-28,14.25,14.25,13.938,14.133,1269929
1994-04-29,14.094,14.25,14.051,14.172,1130038
1994-05-02,14.172,14.331,14.094,14.294,573717
1994-05-03,14.331,14.372,14.172,14.331,827055
1994-05-04,14.294,14.409,14.294,14.372,687396
1994-05-05,14.409,14.409,14.294,14.294,398098
1994-05-06,14.25,14.294,14.012,14.051,426865
1994-05-09,14.051,14.051,13.973,14.012,280477
1994-05-10,14.051,14.569,14.051,14.331,947691
1994-05-11,14.569,14.652,14.372,14.372,960683
1994-05-12,14.409,14.491,14.372,14.372,415732
1994-05-13,14.53,14.688,14.53,14.614,1033527
1994-05-16,14.53,14.652,14.491,14.652,702010
1994-05-17,14.569,14.729,14.53,14.652,442177
1994-05-18,14.614,14.614,14.53,14.569,398563
1994-05-19,14.53,14.729,14.53,14.652,1078535
1994-05-20,14.614,14.614,14.331,14.331,461433
1994-05-23,14.491,14.652,14.491,14.491,582302
1994-05-24,14.811,15.048,14.811,14.889,1078305
1994-05-25,14.811,15.208,14.811,15.17,783673
1994-05-26,15.208,15.406,15.208,15.367,1526280
1994-05-27,15.287,15.565,15.287,15.526,735882
1994-05-31,15.443,15.565,15.329,15.329,621742
1994-06-01,15.287,15.367,15.009,15.087,405754
1994-06-02,15.009,15.247,14.928,15.208,629165
1994-06-03,15.17,15.287,15.17,15.208,589025
1994-06-06,15.247,15.329,15.208,15.329,347757
1994-06-07,15.287,15.287,15.087,15.128,623130
1994-06-08,15.128,15.17,14.889,15.009,288135
1994-06-09,15.057,15.097,14.973,15.057,314348
1994-06-10,15.138,15.138,15.018,15.018,165180
1994-06-13,15.018,15.297,14.937,15.217,815685
1994-06-14,15.217,15.258,15.057,15.057,586476
1994-06-15,15.097,15.138,15.018,15.018,549128
1994-06-16,15.018,15.258,15.018,15.138,634731
1994-06-17,15.138,15.178,15.018,15.018,1438817
1994-06-20,14.937,14.973,14.777,14.816,466769
1994-06-21,14.853,14.898,14.618,14.738,389053
1994-06-22,14.816,15.178,14.816,15.018,1093612
1994-06-23,15.057,15.337,15.018,15.217,390444
1994-06-24,15.297,15.297,15.057,15.057,537992
1994-06-27,15.057,15.178,15.018,15.097,232223
1994-06-28,15.097,15.138,15.018,15.057,175153
1994-06-29,15.018,15.337,15.018,15.297,237563
1994-06-30,15.297,15.38,15.138,15.337,280015
1994-07-01,15.217,15.297,14.937,15.097,584155
1994-07-05,15.178,15.258,15.097,15.097,387428
1994-07-06,15.138,15.217,15.138,15.178,649813
1994-07-07,15.217,15.418,15.178,15.337,395314
1994-07-08,15.38,15.38,15.258,15.38,579286
1994-07-11,15.418,15.418,15.258,15.258,290920
1994-07-12,15.178,15.178,14.898,14.973,941889
1994-07-13,15.018,15.217,14.973,15.178,270042
1994-07-14,15.217,15.54,15.217,15.501,916835
1994-07-15,15.501,15.857,15.501,15.821,1343937
1994-07-18,15.418,15.94,15.418,15.94,976919
1994-07-19,15.979,16.501,15.979,16.422,2598553
1994-07-20,16.422,16.546,16.381,16.422,1400771
1994-07-21,16.422,16.501,16.381,16.422,599700
1994-07-22,16.461,16.501,16.422,16.422,472104
1994-07-25,16.422,16.501,16.341,16.501,945374
1994-07-26,16.546,16.666,16.381,16.581,742839
1994-07-27,16.501,16.546,16.221,16.461,709668
1994-07-28,16.422,16.704,16.381,16.666,458652
1994-07-29,16.62,16.704,16.501,16.581,387198
1994-08-01,16.546,16.62,16.501,16.546,714768
1994-08-02,16.666,16.704,16.546,16.546,680663
1994-08-03,16.461,16.666,16.461,16.581,683682
1994-08-04,16.62,16.827,16.581,16.786,543791
1994-08-05,16.704,16.862,16.666,16.786,542164
1994-08-08,16.74,17.104,16.74,16.74,667213
1994-08-09,16.546,16.862,16.546,16.862,697369
1994-08-10,16.945,17.187,16.945,17.023,836332
1994-08-11,16.945,17.104,16.786,16.827,448213
1994-08-12,16.74,16.786,16.666,16.704,467000
1994-08-15,16.62,16.862,16.62,16.74,510153
1994-08-16,16.786,16.786,16.704,16.786,791560
1994-08-17,16.74,16.74,16.666,16.704,633339
