Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1982-01-04,1.6166,1.6407,1.5922,1.5922,537442
1982-01-05,1.5761,1.5922,1.5602,1.5602,394916
1982-01-06,1.5438,1.5517,1.5358,1.5438,641366
1982-01-07,1.5517,1.568,1.5358,1.5602,390463
1982-01-08,1.5843,1.6005,1.5602,1.5922,400853
1982-01-11,1.5843,1.6005,1.568,1.568,191522
1982-01-12,1.5602,1.5761,1.5438,1.5517,436484
1982-01-13,1.5358,1.5517,1.5194,1.5194,531500
1982-01-14,1.5035,1.5438,1.4629,1.5278,672543
1982-01-15,1.5438,1.5602,1.5278,1.5602,320681
1982-01-18,1.5438,1.5517,1.5358,1.5438,194490
1982-01-19,1.5602,1.568,1.5517,1.568,616126
1982-01-20,1.5602,1.568,1.5517,1.5602,1073396
1982-01-21,1.5517,1.5602,1.5438,1.5438,749746
1982-01-22,1.5438,1.5517,1.5278,1.5438,720054
1982-01-25,1.5517,1.5602,1.5438,1.5517,479540
1982-01-26,1.5517,1.5602,1.5358,1.5438,565651
1982-01-27,1.5358,1.5438,1.5194,1.5438,524075
1982-01-28,1.5517,1.5602,1.5358,1.5517,1362904
1982-01-29,1.5602,1.568,1.5517,1.568,1548486
1982-02-01,1.5602,1.568,1.5517,1.5602,339986
1982-02-02,1.5602,1.568,1.5438,1.5517,1077851
1982-02-03,1.5602,1.568,1.5438,1.5517,335530
1982-02-04,1.5602,1.568,1.5517,1.5602,439456
1982-02-05,1.568,1.5843,1.5517,1.5761,1060036
1982-02-08,1.5922,1.5922,1.5843,1.5922,555257
1982-02-09,1.5761,1.5843,1.5602,1.568,342955
1982-02-10,1.5761,1.5843,1.568,1.5761,437971
1982-02-11,1.5602,1.5761,1.5358,1.5358,402341
1982-02-12,1.5517,1.5602,1.5278,1.5358,371161
1982-02-16,1.5278,1.5358,1.5035,1.5113,440942
1982-02-17,1.5113,1.5194,1.5035,1.5113,1058550
1982-02-18,1.5113,1.5278,1.4953,1.4953,1143175
1982-02-19,1.5035,1.5113,1.4953,1.4953,440942
1982-02-22,1.4873,1.5113,1.4709,1.4709,923452
1982-02-23,1.4709,1.4792,1.455,1.4629,929387
1982-02-24,1.4873,1.4953,1.4629,1.4953,960565
1982-02-25,1.5358,1.568,1.5113,1.5602,902665
1982-02-26,1.568,1.5843,1.5438,1.568,1036281
1982-03-01,1.6005,1.6166,1.5761,1.6166,2370979
1982-03-02,1.6247,1.6326,1.6166,1.6326,1619748
1982-03-03,1.6166,1.6166,1.6005,1.6005,1891437
1982-03-04,1.6005,1.6085,1.5843,1.5843,1346571
1982-03-05,1.5843,1.5922,1.5761,1.5922,534475
1982-03-08,1.568,1.5922,1.5438,1.5517,607219
1982-03-09,1.5358,1.5517,1.5278,1.5358,743808
1982-03-10,1.5438,1.5517,1.5358,1.5358,2517956
1982-03-11,1.5517,1.5602,1.5438,1.5438,439456
1982-03-12,1.5438,1.5517,1.5278,1.5358,571590
1982-03-15,1.5438,1.5517,1.5358,1.5358,371161
1982-03-16,1.5517,1.5602,1.5358,1.5517,1215925
1982-03-17,1.5602,1.568,1.5517,1.5602,1129816
1982-03-18,1.568,1.5761,1.5602,1.5761,763107
1982-03-19,1.6005,1.6166,1.5843,1.6005,1184750
1982-03-22,1.6166,1.6326,1.6005,1.6085,1719220
1982-03-23,1.6326,1.649,1.6166,1.6326,2375431
1982-03-24,1.657,1.6732,1.6326,1.649,2014663
1982-03-25,1.649,1.657,1.6326,1.6407,1339151
1982-03-26,1.649,1.6649,1.6407,1.649,1878077
1982-03-29,1.649,1.6649,1.6326,1.657,645820
1982-03-30,1.6407,1.657,1.6326,1.6407,1471279
1982-03-31,1.6407,1.649,1.6326,1.6326,650272
1982-04-01,1.6166,1.6326,1.6085,1.6247,688876
1982-04-02,1.6326,1.6407,1.6166,1.6326,1763762
1982-04-05,1.6326,1.649,1.6166,1.6407,1122391
1982-04-06,1.6326,1.6407,1.6326,1.6326,396401
1982-04-07,1.649,1.649,1.6326,1.6407,1431197
1982-04-08,1.649,1.657,1.6326,1.649,1762274
1982-04-12,1.6649,1.6649,1.649,1.657,4367827
1982-04-13,1.6649,1.6812,1.657,1.6649,1538093
1982-04-14,1.657,1.6649,1.6326,1.649,3860078
1982-04-15,1.6407,1.649,1.6326,1.649,417184
1982-04-16,1.6649,1.6974,1.649,1.6812,2281898
1982-04-19,1.6974,1.7138,1.6812,1.7138,1241162
1982-04-20,1.7053,1.7138,1.6974,1.7053,4057535
1982-04-21,1.6974,1.7138,1.6812,1.6894,929387
1982-04-22,1.6974,1.6974,1.6812,1.6974,1097154
1982-04-23,1.6974,1.7053,1.6812,1.6974,2344257
1982-04-26,1.7218,1.7377,1.6974,1.7377,1082306
1982-04-27,1.754,1.7701,1.7377,1.754,1242649
1982-04-28,1.7377,1.754,1.7138,1.7218,1088245
1982-04-29,1.7218,1.7295,1.7138,1.7138,1168415
1982-04-30,1.7295,1.7377,1.7138,1.7218,302872
1982-05-03,1.7377,1.754,1.7218,1.7377,864064
1982-05-04,1.7377,1.754,1.7295,1.7377,1150600
1982-05-05,1.7377,1.754,1.7218,1.754,666603
