Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1980-01-02,2.6354,2.7687,2.6354,2.6735,415571
1980-01-03,2.6735,2.731,2.5971,2.731,1080826
1980-01-04,2.7408,2.9314,2.7408,2.9025,1010446
1980-01-07,2.9124,2.9597,2.9124,2.9314,450764
1980-01-08,2.9314,3.0364,2.9124,3.0364,614980
1980-01-09,3.0649,3.2654,3.0649,3.1703,1037260
1980-01-10,3.1703,3.2558,3.1511,3.1986,390438
1980-01-11,3.1986,3.2369,3.122,3.122,330113
1980-01-14,3.122,3.3322,3.0748,3.3037,335141
1980-01-15,3.3037,3.3418,3.2274,3.2274,236274
1980-01-16,3.2083,3.2083,3.0937,3.0937,254707
1980-01-17,3.0937,3.1413,3.0457,3.1127,529523
1980-01-18,3.1127,3.2558,3.1031,3.2274,554657
1980-01-21,3.2369,3.2941,3.2369,3.2654,289896
1980-01-22,3.2654,3.2654,3.2274,3.2369,201089
1980-01-23,3.2369,3.3896,3.2369,3.3896,893149
1980-01-24,3.4374,3.5519,3.4374,3.5043,795956
1980-01-25,3.5043,3.5329,3.4753,3.5329,289896
1980-01-28,3.5329,3.5805,3.5043,3.5329,2736416
1980-01-29,3.5329,3.5329,3.4946,3.5043,372006
1980-01-30,3.5043,3.5137,3.5043,3.5137,2215276
1980-01-31,3.5234,3.571,3.5234,3.5425,2429767
1980-02-01,3.5425,3.6092,3.4946,3.6092,976932
1980-02-04,3.6092,3.7237,3.5519,3.6857,1214884
1980-02-05,3.6857,3.8954,3.6666,3.8384,901527
1980-02-06,3.8384,3.8954,3.6377,3.6666,1194772
1980-02-07,3.6666,3.7141,3.6569,3.6569,1637158
1980-02-08,3.6666,3.7046,3.6666,3.6857,536224
1980-02-11,3.6857,3.6857,3.4851,3.5519,1154555
1980-02-12,3.5519,3.5805,3.4946,3.5043,511088
1980-02-13,3.5043,3.5329,3.4851,3.4946,521141
1980-02-14,3.4946,3.5043,3.3037,3.3037,1008770
1980-02-15,3.3037,3.3322,3.1986,3.3322,1410939
1980-02-19,3.3322,3.361,3.2083,3.2369,777527
1980-02-20,3.2654,3.3896,3.2654,3.3896,712173
1980-02-21,3.3896,3.4374,3.2846,3.3037,335141
1980-02-22,3.3037,3.3037,3.2274,3.2558,754068
1980-02-25,3.2558,3.2654,3.1511,3.1703,502710
1980-02-26,3.1703,3.1986,3.1607,3.1792,524493
1980-02-27,3.1792,3.2369,3.1792,3.2274,717200
1980-02-28,3.2274,3.4374,3.2274,3.4277,558007
1980-02-29,3.4469,3.571,3.4469,3.4946,1084180
1980-03-03,3.4946,3.5329,3.3991,3.4181,246327
1980-03-04,3.3896,3.3896,3.2751,3.3322,497682
1980-03-05,3.3135,3.3135,3.2083,3.2083,237949
1980-03-06,3.2083,3.2369,3.1031,3.1703,744011
1980-03-07,3.1703,3.2654,3.0649,3.1703,819418
1980-03-10,3.1888,3.2654,3.1888,3.2083,363627
1980-03-11,3.2558,3.3322,3.2558,3.2846,655199
1980-03-12,3.2846,3.2941,3.1317,3.1703,829473
