Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-12-22,12.924,14.536,12.924,14.317,641666
2000-12-26,14.265,14.401,14.07,14.154,305485
2000-12-27,14.211,14.483,14.211,14.483,461625
2000-12-28,14.317,14.565,14.291,14.536,346711
2000-12-29,14.483,14.592,13.907,14.483,591887
2001-01-02,14.457,15.166,14.457,15.003,625438
2001-01-03,15.275,15.385,15.029,15.221,903729
2001-01-04,15.166,15.221,15.003,15.166,575878
2001-01-05,15.087,15.194,14.674,14.73,1488597
2001-01-08,14.893,14.919,14.674,14.755,2021491
2001-01-09,14.648,14.73,14.592,14.702,462938
2001-01-10,14.592,14.73,14.565,14.702,454167
2001-01-11,14.702,14.755,14.536,14.648,573906
2001-01-12,14.592,14.648,14.565,14.565,880043
2001-01-16,14.344,14.509,14.344,14.457,593202
2001-01-17,14.457,14.783,14.401,14.648,450219
2001-01-18,14.565,14.702,14.483,14.648,875220
2001-01-19,14.536,14.619,14.373,14.428,560528
2001-01-22,14.211,14.401,14.098,14.211,403948
2001-01-23,14.126,14.291,14.018,14.291,639255
2001-01-24,14.239,14.317,14.018,14.265,526100
2001-01-25,14.239,14.565,14.239,14.536,447586
2001-01-26,14.536,14.648,14.483,14.536,707675
2001-01-29,14.466,14.536,14.344,14.382,846932
2001-01-30,14.265,14.265,13.881,13.945,413596
2001-01-31,13.662,14.256,13.662,14.211,694300
2001-02-01,13.844,15.769,13.844,15.112,1571710
2001-02-02,15.068,15.44,14.937,14.947,1139913
2001-02-05,14.858,15.487,14.755,14.755,729167
2001-02-06,14.536,15.412,14.536,15.341,796707
2001-02-07,15.341,15.958,15.341,15.859,909868
2001-02-08,15.769,16.646,15.714,16.646,1314034
2001-02-09,16.479,16.873,16.335,16.873,827850
2001-02-12,16.873,17.282,16.761,17.263,857018
2001-02-13,16.91,17.473,16.845,17.165,1062283
2001-02-14,16.955,17.129,16.836,16.955,612939
2001-02-15,17.035,17.273,17.017,17.165,550659
2001-02-16,16.646,16.771,16.315,16.444,489035
2001-02-20,16.436,16.597,15.859,15.859,441447
2001-02-21,15.859,16.016,15.796,15.814,398683
2001-02-22,15.814,16.099,15.621,16.079,696932
2001-02-23,16.079,16.269,16.07,16.234,1001100
2001-02-26,16.426,17.52,16.426,17.302,2369298
2001-02-27,16.863,17.073,16.79,16.853,916447
2001-02-28,16.646,17.165,16.626,16.7,882454
2001-03-01,16.97,17.081,16.371,16.752,805703
2001-03-02,16.707,17.739,16.665,17.702,1208992
2001-03-05,17.957,20.585,17.6,20.302,3288161
2001-03-06,19.499,20.046,18.396,18.858,4228512
2001-03-07,18.614,19.837,18.614,19.624,2683332
2001-03-08,19.582,20.814,19.582,20.475,2846932
2001-03-09,20.144,20.585,20.065,20.52,2514910
2001-03-12,20.256,20.585,20.164,20.248,1497370
2001-03-13,20.329,20.419,19.379,19.782,1109870
2001-03-14,19.564,19.936,18.677,18.886,1778509
2001-03-15,18.989,19.809,18.94,19.764,1360308
2001-03-16,19.499,19.499,19.15,19.379,2182678
2001-03-19,19.424,19.709,19.115,19.178,851096
2001-03-20,19.207,19.379,19.098,19.107,584430
2001-03-21,19.235,19.235,18.532,18.631,654605
