Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-06-10,1.4912,1.5032,1.4912,1.4952,945947
1983-06-13,1.499,1.5194,1.4952,1.5153,1363041
1983-06-14,1.5073,1.5073,1.4872,1.4912,255448
1983-06-15,1.4711,1.4753,1.4672,1.4672,4234806
1983-06-16,1.4711,1.4952,1.4672,1.4912,4406436
1983-06-17,1.4912,1.5194,1.4912,1.5194,1788119
1983-06-20,1.5194,1.5434,1.5194,1.5394,1233321
1983-06-21,1.5394,1.5434,1.5194,1.5194,4386478
1983-06-22,1.5273,1.5353,1.5194,1.5313,2712114
1983-06-23,1.5353,1.5353,1.5073,1.5153,1634452
1983-06-24,1.499,1.5112,1.4912,1.5073,748378
1983-06-27,1.5073,1.5073,1.4872,1.4912,706467
1983-06-28,1.4872,1.4872,1.4272,1.4432,1881917
1983-06-29,1.4432,1.5032,1.4432,1.5032,955924
1983-06-30,1.4912,1.5153,1.4872,1.5153,4969211
1983-07-01,1.5194,1.5273,1.5194,1.5194,1217357
1983-07-05,1.5273,1.5273,1.5194,1.5234,1806078
1983-07-06,1.5313,1.5394,1.5073,1.5073,1684344
1983-07-07,1.5153,1.5234,1.5073,1.5194,606680
1983-07-08,1.5234,1.5313,1.5112,1.5273,1315144
1983-07-11,1.5194,1.5553,1.5194,1.5273,810239
1983-07-12,1.5153,1.5313,1.5073,1.5073,1798096
1983-07-13,1.499,1.5032,1.4872,1.4912,606680
1983-07-14,1.4912,1.4912,1.4672,1.4711,1111587
1983-07-15,1.4711,1.4711,1.4512,1.4672,1684344
1983-07-18,1.4589,1.4589,1.4471,1.4512,3161135
1983-07-19,1.4589,1.4635,1.4432,1.4432,1714278
1983-07-20,1.4432,1.4672,1.4432,1.4672,1339092
1983-07-21,1.4672,1.4672,1.4432,1.4512,2287034
1983-07-22,1.4432,1.4432,1.4392,1.4432,2462657
1983-07-25,1.4432,1.4432,1.4191,1.4191,1165471
1983-07-26,1.4191,1.4392,1.4191,1.4312,2724087
1983-07-27,1.4312,1.4352,1.4191,1.4352,1728245
1983-07-28,1.4352,1.4392,1.4312,1.4352,1199396
1983-07-29,1.4191,1.423,1.3832,1.4033,3199057
1983-08-01,1.3949,1.4191,1.3867,1.3987,3342746
1983-08-02,1.3987,1.423,1.3949,1.4191,1644430
1983-08-03,1.4191,1.4191,1.4108,1.4153,337266
1983-08-04,1.4153,1.4153,1.3912,1.3912,3083307
1983-08-05,1.3867,1.4191,1.3867,1.4033,898052
1983-08-08,1.4033,1.4108,1.3832,1.3867,1235320
1983-08-09,1.3912,1.3912,1.3669,1.3749,2117405
1983-08-10,1.3669,1.3832,1.3669,1.379,2742047
1983-08-11,1.3711,1.3949,1.3669,1.3912,1221348
1983-08-12,1.4071,1.4191,1.4033,1.4071,1658403
1983-08-15,1.4153,1.4191,1.3912,1.3912,2833846
1983-08-16,1.3912,1.3949,1.3629,1.3629,1289200
1983-08-17,1.3469,1.3669,1.3469,1.3629,3719925
1983-08-18,1.3549,1.3549,1.3268,1.3428,4097107
1983-08-19,1.3309,1.3428,1.3268,1.335,1402954
1983-08-22,1.335,1.3388,1.3192,1.335,2039571
1983-08-23,1.335,1.3388,1.3192,1.3388,3310809
1983-08-24,1.335,1.335,1.3228,1.3268,1887901
1983-08-25,1.3309,1.3428,1.3228,1.3428,554795
1983-08-26,1.3428,1.3428,1.3192,1.3228,1213368
1983-08-29,1.3228,1.3268,1.3192,1.3268,1083647
1983-08-30,1.3428,1.3867,1.3388,1.3832,1458833
1983-08-31,1.3749,1.3912,1.3749,1.3912,688509
1983-09-01,1.3912,1.4191,1.379,1.4191,3294847
1983-09-02,1.4191,1.4272,1.4108,1.4272,564774
1983-09-06,1.4352,1.4432,1.4312,1.4352,1045729
1983-09-07,1.4312,1.4312,1.4153,1.4153,852150
1983-09-08,1.4191,1.4392,1.4108,1.4272,1700308
1983-09-09,1.4272,1.4312,1.4191,1.4272,397138
1983-09-12,1.4352,1.4432,1.4191,1.4191,1167467
1983-09-13,1.4108,1.4392,1.4108,1.4392,654579
1983-09-14,1.4392,1.4432,1.4352,1.4432,213535
1983-09-15,1.4392,1.4635,1.4392,1.4589,1103604
1983-09-16,1.4512,1.5194,1.4512,1.5194,1935797
1983-09-19,1.5153,1.5234,1.5073,1.5194,3250943
1983-09-20,1.5194,1.5194,1.499,1.5032,3652073
1983-09-21,1.4952,1.4952,1.4471,1.4471,1939789
1983-09-22,1.4551,1.479,1.4551,1.4672,6360196
1983-09-23,1.4672,1.4672,1.4312,1.4312,2981529
1983-09-26,1.4392,1.4471,1.4312,1.4471,2368857
1983-09-27,1.4432,1.4471,1.423,1.4272,1790113
1983-09-28,1.4108,1.4108,1.3629,1.3669,6891038
1983-09-29,1.359,1.359,1.3148,1.3428,5188738
1983-09-30,1.3428,1.3428,1.3192,1.3388,3689987
1983-10-03,1.3069,1.3428,1.3069,1.3428,4518187
1983-10-04,1.351,1.379,1.3469,1.3711,3931464
1983-10-05,1.3987,1.4352,1.3912,1.4312,10459294
1983-10-06,1.4312,1.4589,1.4312,1.4551,3719925
1983-10-07,1.4551,1.479,1.4392,1.479,5220666
1983-10-10,1.4672,1.479,1.4551,1.479,1726252
1983-10-11,1.4872,1.4872,1.4589,1.4635,1853977
1983-10-12,1.4471,1.4471,1.423,1.4272,1504732
1983-10-13,1.4272,1.4272,1.4191,1.4272,1600525
1983-10-14,1.423,1.4272,1.4033,1.423,4384483
1983-10-17,1.423,1.4392,1.4033,1.4392,688509
1983-10-18,1.4312,1.4312,1.4191,1.4191,740392
1983-10-19,1.4033,1.423,1.4033,1.4191,4893376
1983-10-20,1.4312,1.4352,1.423,1.4272,2752026
1983-10-21,1.4312,1.4352,1.4071,1.4153,8980501
1983-10-24,1.4033,1.4153,1.4033,1.4108,4943267
1983-10-25,1.4108,1.4312,1.4033,1.4272,1881917
