Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-04-06,3.5734,3.5734,3.4673,3.4673,818478
1983-04-07,3.4673,3.4673,3.3614,3.3939,702441
1983-04-08,3.3939,3.3939,3.3368,3.3776,565303
1983-04-11,3.3776,3.3939,3.3449,3.3614,987262
1983-04-12,3.3449,3.3614,3.2552,3.3206,639145
1983-04-13,3.3368,3.4021,3.3368,3.4021,705541
1983-04-14,3.3939,3.4837,3.3939,3.4512,541723
1983-04-15,3.4512,3.5571,3.4512,3.5407,263107
1983-04-18,3.5407,3.5571,3.4837,3.549,212220
1983-04-19,3.549,3.5734,3.5163,3.5245,464776
1983-04-20,3.5245,3.5407,3.4755,3.5407,111077
1983-04-21,3.549,3.5899,3.4837,3.5163,381624
1983-04-22,3.5245,3.5245,3.4427,3.4755,184913
1983-04-25,3.4182,3.4755,3.3614,3.3939,366110
1983-04-26,3.4102,3.4427,3.3776,3.4348,510072
1983-04-27,3.4755,3.5082,3.4427,3.4512,593847
1983-04-28,3.4837,3.5163,3.4512,3.5082,374802
1983-04-29,3.5082,3.5245,3.4755,3.5082,551031
1983-05-02,3.4427,3.5163,3.3614,3.3614,1026976
1983-05-03,3.3614,3.4348,3.3449,3.4348,1160391
1983-05-04,3.4837,3.5163,3.4512,3.4755,1257193
1983-05-05,3.4348,3.4673,3.4021,3.4182,711747
1983-05-06,3.3939,3.4427,3.3939,3.4427,1239196
1983-05-09,3.4182,3.4673,3.4102,3.4673,267449
1983-05-10,3.4755,3.4755,3.4102,3.4182,480909
1983-05-11,3.4182,3.4673,3.3939,3.4021,808551
1983-05-12,3.3776,3.4102,3.3691,3.4102,871223
1983-05-13,3.4021,3.549,3.4021,3.5245,510696
1983-05-16,3.549,3.6142,3.5163,3.5899,634802
1983-05-17,3.5734,3.5899,3.549,3.5899,405205
1983-05-18,3.6142,3.6876,3.5899,3.5978,117278
1983-05-19,3.5978,3.6142,3.549,3.5571,417616
1983-05-20,3.6142,3.6142,3.5163,3.5899,676996
1983-05-23,3.5734,3.5978,3.5407,3.5814,264964
1983-05-24,3.5899,3.5978,3.549,3.549,495800
1983-05-25,3.549,3.5734,3.5407,3.5734,317090
1983-05-26,3.5571,3.5734,3.5082,3.5245,617430
1983-05-27,3.549,3.5899,3.5407,3.5734,263107
1983-05-31,3.549,3.5978,3.5163,3.549,258761
1983-06-01,3.549,3.549,3.4755,3.5163,425062
1983-06-02,3.5407,3.6468,3.5407,3.6468,168787
1983-06-03,3.6876,3.7041,3.6551,3.6632,334469
1983-06-06,3.6876,3.7611,3.6876,3.7445,758286
1983-06-07,3.7285,3.7445,3.7041,3.7041,271173
1983-06-08,3.712,3.7367,3.6713,3.6713,286067
1983-06-09,3.6632,3.7367,3.6632,3.7285,451745
1983-06-10,3.7367,3.7367,3.7041,3.7041,890461
