Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-07-23,1.9397,1.9397,1.8568,1.8651,3296370
1987-07-24,1.8651,1.8651,1.8319,1.8403,3091160
1987-07-27,1.8484,1.8651,1.8403,1.8484,1130273
1987-07-28,1.8651,1.8981,1.8651,1.8817,1967395
1987-07-29,1.89,1.948,1.8817,1.9316,1758928
1987-07-30,1.9316,1.9316,1.9147,1.9316,833862
1987-07-31,1.9316,1.9561,1.9232,1.9561,1752418
1987-08-03,1.948,1.9561,1.9316,1.9316,2019515
1987-08-04,1.9232,1.9316,1.8981,1.9147,1006500
1987-08-05,1.9147,1.948,1.9147,1.9232,999986
1987-08-06,1.9147,1.9895,1.9147,1.9812,2322439
1987-08-07,2.0058,2.0641,1.9977,2.0556,2892466
1987-08-10,2.0474,2.0556,2.039,2.0474,2390845
1987-08-11,2.0474,2.0474,2.0308,2.0474,2322439
1987-08-12,2.0474,2.0641,2.039,2.0474,2302895
1987-08-13,2.039,2.0474,1.9812,2.0058,5257252
1987-08-14,1.9977,2.0144,1.9895,1.9895,2341985
1987-08-17,2.0058,2.0144,1.9895,1.9977,2166091
1987-08-18,1.9977,2.0058,1.9147,1.9727,2856633
1987-08-19,1.9647,1.9812,1.9561,1.9561,1159591
1987-08-20,1.9561,2.0144,1.9561,2.0058,2335469
1987-08-21,2.0144,2.0474,2.0144,2.039,2452735
1987-08-24,2.0474,2.0474,1.9812,1.9895,1661211
1987-08-25,1.9895,1.9977,1.9647,1.9727,4670945
1987-08-26,1.9647,1.9647,1.9397,1.948,899010
1987-08-27,1.948,1.948,1.8568,1.8817,3683985
1987-08-28,1.8817,1.8817,1.8319,1.8484,2107458
1987-08-31,1.8568,1.8817,1.8484,1.8568,1941335
1987-09-01,1.8568,1.8568,1.7738,1.7821,8394013
1987-09-02,1.7738,1.8153,1.7738,1.8153,8188800
1987-09-03,1.8237,1.8237,1.7821,1.799,9198556
1987-09-04,1.7904,1.799,1.7324,1.7324,4254010
1987-09-08,1.7324,1.7324,1.6332,1.6495,9097581
1987-09-09,1.6579,1.6746,1.6081,1.6661,11986791
1987-09-10,1.6746,1.6827,1.5749,1.5999,8866314
1987-09-11,1.5917,1.6332,1.5917,1.6161,5788185
1987-09-14,1.6248,1.6332,1.5999,1.6161,4273551
1987-09-15,1.6081,1.6081,1.5503,1.5503,8791398
1987-09-16,1.5252,1.5252,1.4672,1.4753,16244059
1987-09-17,1.4921,1.4921,1.4672,1.4839,8081311
1987-09-18,1.4753,1.4753,1.2349,1.2598,67099967
1987-09-21,1.0113,1.0278,0.9369,0.9862,117587808
1987-09-22,0.9946,1.0113,0.9535,1.0032,63516957
1987-09-23,1.0032,1.0113,0.9615,0.9783,35667216
1987-09-24,0.9699,0.9946,0.9535,0.9783,30162413
1987-09-25,0.9783,0.9862,0.9783,0.9783,10807654
1987-09-28,0.9946,0.9946,0.9783,0.9862,16491608
1987-09-29,0.9862,1.0113,0.9699,1.0113,15133324
1987-09-30,1.0113,1.0362,1.0032,1.0197,17801037
1987-10-01,1.0197,1.0443,1.0113,1.0443,21309124
1987-10-02,1.0362,1.0362,1.0113,1.0362,8921690
1987-10-05,1.0362,1.0362,1.0032,1.0113,6283295
1987-10-06,1.0113,1.0113,0.9535,0.9615,8833747
1987-10-07,0.9535,0.9535,0.92,0.92,17452509
1987-10-08,0.9036,0.9036,0.8288,0.8539,51139297
1987-10-09,0.862,0.8784,0.8539,0.8539,16068160
1987-10-12,0.862,0.8707,0.8455,0.862,17478561
1987-10-13,0.8784,0.8784,0.8539,0.862,6449414
1987-10-14,0.8539,0.862,0.8455,0.8455,11810894
1987-10-15,0.8373,0.8373,0.7958,0.7958,14765251
1987-10-16,0.7876,0.7876,0.7461,0.7461,22227680
1987-10-19,0.7046,0.7292,0.6051,0.6051,21706511
1987-10-20,0.6134,0.655,0.46425,0.597,21752116
1987-10-21,0.5555,0.655,0.5555,0.622,20077874
1987-10-22,0.6051,0.6051,0.5222,0.5387,12713164
1987-10-23,0.5222,0.5636,0.514,0.5305,7468939
1987-10-26,0.48921,0.49712,0.42259,0.43937,10752280
1987-10-27,0.45596,0.49712,0.45596,0.47248,10615478
1987-10-28,0.42259,0.514,0.42259,0.49712,9012892
1987-10-29,0.48921,0.5305,0.48063,0.5222,7954277
1987-10-30,0.5471,0.5555,0.5222,0.5222,12149654
1987-11-02,0.514,0.514,0.49712,0.5056,5664408
1987-11-03,0.5056,0.5056,0.47248,0.48063,5716525
1987-11-04,0.46425,0.5222,0.46425,0.5056,6863088
1987-11-05,0.5056,0.5056,0.48921,0.49712,10771827
1987-11-06,0.49712,0.5387,0.48921,0.5056,12641505
1987-11-09,0.514,0.5555,0.5056,0.5471,11335331
1987-11-10,0.5305,0.597,0.5222,0.5305,20830307
1987-11-11,0.5387,0.5555,0.5305,0.5387,6615535
1987-11-12,0.5719,0.5884,0.5305,0.5884,16589325
1987-11-13,0.5555,0.5636,0.5222,0.5387,19976899
1987-11-16,0.5555,0.5555,0.5222,0.5222,5898933
1987-11-17,0.5222,0.5222,0.48063,0.5056,11123613
1987-11-18,0.49712,0.5222,0.49712,0.514,6068312
1987-11-19,0.514,0.5222,0.49712,0.49712,3537407
1987-11-20,0.48921,0.514,0.48921,0.514,6078085
1987-11-23,0.5305,0.5387,0.5222,0.5222,9032437
1987-11-24,0.5305,0.5305,0.514,0.514,5104158
1987-11-25,0.5056,0.5222,0.5056,0.5222,5302851
1987-11-27,0.5222,0.5305,0.514,0.5222,2348499
1987-11-30,0.48063,0.5056,0.47248,0.49712,8094341
1987-12-01,0.5056,0.514,0.48921,0.48921,4201892
1987-12-02,0.48921,0.5056,0.48921,0.48921,3804503
1987-12-03,0.49712,0.5056,0.46425,0.47248,9218101
1987-12-04,0.47248,0.47248,0.43937,0.44768,6341926
1987-12-07,0.44768,0.45596,0.44768,0.45596,3097673
1987-12-08,0.45596,0.45596,0.44768,0.45596,3710041
1987-12-09,0.45596,0.47248,0.44768,0.47248,4983639
1987-12-10,0.45596,0.46425,0.44768,0.44768,4719801
1987-12-11,0.43937,0.45596,0.43937,0.44768,9543831
1987-12-14,0.44768,0.47248,0.44768,0.47248,10924917
1987-12-15,0.47248,0.5056,0.47248,0.48063,12661046
1987-12-16,0.48063,0.48921,0.47248,0.48921,3697016
1987-12-17,0.49712,0.49712,0.48063,0.48921,5540633
1987-12-18,0.48921,0.5056,0.48921,0.48921,8227888
1987-12-21,0.5056,0.5305,0.49712,0.5305,8260460
1987-12-22,0.5305,0.5636,0.5056,0.5471,8592705
1987-12-23,0.5636,0.5804,0.5555,0.5804,10253917
1987-12-24,0.5636,0.5719,0.5555,0.5636,3697016
1987-12-28,0.5471,0.5471,0.5305,0.5387,5055297
1987-12-29,0.5305,0.5471,0.5305,0.5387,2185636
1987-12-30,0.5387,0.5555,0.5387,0.5555,7612262
1987-12-31,0.5471,0.5555,0.5387,0.5387,4341954
1988-01-04,0.5555,0.5719,0.5387,0.5471,5146503
1988-01-05,0.5636,0.5636,0.5555,0.5555,7814216
1988-01-06,0.5719,0.6134,0.5636,0.6134,10569874
1988-01-07,0.6051,0.622,0.5884,0.6134,12905343
1988-01-08,0.6134,0.6134,0.5056,0.5222,11123613
1988-01-11,0.5305,0.5555,0.5056,0.5471,10227857
1988-01-12,0.5471,0.5471,0.514,0.5222,4133489
1988-01-13,0.5222,0.5387,0.514,0.5387,2527651
1988-01-14,0.5305,0.5471,0.5305,0.5387,2485307
1988-01-15,0.5636,0.5719,0.5555,0.5555,3807761
1988-01-18,0.5555,0.5719,0.5471,0.5636,3263794
1988-01-19,0.5636,0.5719,0.5387,0.5471,2732858
1988-01-20,0.5471,0.5471,0.49712,0.5222,6081344
1988-01-21,0.5222,0.5222,0.49712,0.514,5280049
1988-01-22,0.5222,0.5305,0.5222,0.5222,2501592
1988-01-25,0.5471,0.5471,0.5387,0.5387,2947840
1988-01-26,0.5387,0.5387,0.5222,0.5305,1247536
1988-01-27,0.5387,0.5555,0.5222,0.5387,2781719
1988-01-28,0.5387,0.5387,0.5222,0.5305,1511378
1988-01-29,0.5305,0.5305,0.514,0.5222,2876178
1988-02-01,0.5222,0.5305,0.5056,0.514,3078130
1988-02-02,0.514,0.5222,0.514,0.5222,5696984
1988-02-03,0.5222,0.5305,0.5222,0.5305,5061808
1988-02-04,0.5222,0.5305,0.5222,0.5222,2400617
1988-02-05,0.5222,0.5222,0.514,0.5222,1511378
1988-02-08,0.5056,0.514,0.49712,0.5056,2166091
1988-02-09,0.5056,0.5222,0.5056,0.5222,1670987
1988-02-10,0.5222,0.5471,0.5222,0.5387,3247507
1988-02-11,0.5387,0.5471,0.5387,0.5387,2833835
1988-02-12,0.5387,0.5636,0.5387,0.5555,3846848
1988-02-16,0.5555,0.5555,0.5387,0.5555,3371284
1988-02-17,0.5555,0.5719,0.5471,0.5636,4693741
1988-02-18,0.5555,0.5719,0.5555,0.5719,3371284
1988-02-19,0.5636,0.6051,0.5636,0.597,4429902
1988-02-22,0.5884,0.6134,0.5804,0.6134,7276765
1988-02-23,0.597,0.6382,0.597,0.622,7123672
1988-02-24,0.622,0.6716,0.622,0.655,12433038
1988-02-25,0.6632,0.7046,0.6466,0.6795,25954007
1988-02-26,0.6962,0.7128,0.688,0.7128,15543738
1988-02-29,0.7128,0.7379,0.7128,0.7292,12449324
1988-03-01,0.7292,0.7379,0.688,0.6962,6267009
1988-03-02,0.6962,0.6962,0.6962,0.6962,2837090
1988-03-03,0.6962,0.6962,0.6632,0.6716,3817530
1988-03-04,0.6716,0.6795,0.6466,0.655,3931537
1988-03-07,0.6632,0.6632,0.6297,0.655,6149745
1988-03-08,0.655,0.6962,0.655,0.6962,9967277
1988-03-09,0.6962,0.6962,0.6716,0.6716,2345241
1988-03-10,0.6632,0.6716,0.6466,0.6466,2534160
1988-03-11,0.6466,0.6466,0.597,0.6382,10133399
1988-03-14,0.6297,0.655,0.6297,0.6466,3162818
1988-03-15,0.6466,0.655,0.6382,0.6382,1788247
1988-03-16,0.6382,0.655,0.622,0.655,2947840
1988-03-17,0.655,0.655,0.6382,0.6466,2472275
1988-03-18,0.6466,0.6466,0.6297,0.6297,5364740
1988-03-21,0.6297,0.6297,0.6134,0.622,4436413
1988-03-22,0.622,0.6297,0.6051,0.6134,3166075
1988-03-23,0.622,0.6466,0.622,0.6382,3843593
1988-03-24,0.6297,0.6297,0.6134,0.622,3055325
1988-03-25,0.6134,0.622,0.5884,0.5884,5283307
1988-03-28,0.5636,0.5804,0.5387,0.5719,7208362
1988-03-29,0.5719,0.5884,0.5719,0.5804,3442941
1988-03-30,0.5884,0.6051,0.5555,0.5555,5143244
1988-03-31,0.5636,0.5636,0.5471,0.5636,3755644
1988-04-04,0.5555,0.5555,0.5305,0.5471,3941309
1988-04-05,0.5555,0.5555,0.5471,0.5555,3911995
1988-04-06,0.5555,0.5636,0.5387,0.5636,3045559
1988-04-07,0.5555,0.5804,0.5555,0.5636,5286567
1988-04-08,0.5719,0.6051,0.5555,0.5884,5166047
1988-04-11,0.5884,0.597,0.5804,0.5884,2488562
1988-04-12,0.5884,0.5884,0.5719,0.5804,4156292
1988-04-13,0.5804,0.5804,0.5636,0.5636,3556947
1988-04-14,0.5471,0.5555,0.5387,0.5471,4817518
1988-04-15,0.5471,0.5636,0.5387,0.5555,2677484
1988-04-18,0.5555,0.5636,0.5471,0.5555,3107447
1988-04-19,0.5555,0.6134,0.5555,0.597,7693697
1988-04-20,0.5884,0.6051,0.5804,0.5804,4065084
1988-04-21,0.5719,0.622,0.5719,0.597,4371271
1988-04-22,0.6134,0.6297,0.6051,0.622,7589461
1988-04-25,0.622,0.6297,0.6134,0.6134,3775186
1988-04-26,0.622,0.6466,0.622,0.6466,7312593
1988-04-27,0.6382,0.655,0.6297,0.6297,4068343
1988-04-28,0.622,0.6297,0.622,0.6297,2003225
1988-04-29,0.6297,0.6297,0.6134,0.622,2462506
1988-05-02,0.6134,0.622,0.6051,0.6134,1475546
1988-05-03,0.6134,0.622,0.6051,0.6134,2113978
1988-05-04,0.6051,0.6134,0.597,0.6051,2703540
1988-05-05,0.6051,0.6134,0.597,0.6051,2175861
1988-05-06,0.6051,0.6297,0.6051,0.6134,2208437
1988-05-09,0.622,0.6297,0.6134,0.6297,2192150
1988-05-10,0.6297,0.6382,0.622,0.622,2312669
1988-05-11,0.622,0.622,0.6051,0.6134,2537424
1988-05-12,0.6051,0.6297,0.5884,0.6051,2641653
1988-05-13,0.6051,0.622,0.6051,0.6051,3309397
1988-05-16,0.6051,0.6382,0.6051,0.6297,3260534
1988-05-17,0.6382,0.655,0.6297,0.6297,5530863
1988-05-18,0.6297,0.6466,0.622,0.622,4986893
1988-05-19,0.622,0.6382,0.6051,0.6297,9006381
1988-05-20,0.6297,0.6382,0.622,0.622,2609083
1988-05-23,0.6134,0.6134,0.6051,0.6051,3762158
1988-05-24,0.6051,0.622,0.6051,0.622,4315895
1988-05-25,0.6297,0.6297,0.622,0.6297,3951080
1988-05-26,0.622,0.6382,0.622,0.6382,2941323
1988-05-27,0.6382,0.6466,0.6382,0.6382,1876193
1988-05-31,0.6382,0.6632,0.6297,0.655,3003214
1988-06-01,0.655,0.6962,0.6466,0.688,9524290
1988-06-02,0.6795,0.6962,0.6716,0.6795,5540633
1988-06-03,0.6795,0.6795,0.6716,0.6795,2563479
1988-06-06,0.6795,0.688,0.6632,0.688,3394088
1988-06-07,0.688,0.6962,0.6795,0.688,7074812
1988-06-08,0.6962,0.7292,0.6962,0.7292,9550346
1988-06-09,0.7212,0.7212,0.7046,0.7128,3267053
1988-06-10,0.7128,0.7292,0.7128,0.7212,4276807
1988-06-13,0.7292,0.7379,0.7128,0.7292,4934778
1988-06-14,0.7379,0.7461,0.7292,0.7379,7354938
1988-06-15,0.7379,0.7627,0.7212,0.7545,8752313
1988-06-16,0.7545,0.7958,0.7461,0.7792,18312426
1988-06-17,0.7876,0.8123,0.7292,0.7792,18605582
1988-06-20,0.7545,0.7792,0.7461,0.7708,3361508
1988-06-21,0.7792,0.8206,0.7792,0.8206,9061754
1988-06-22,0.8455,0.8784,0.8455,0.8539,18439463
1988-06-23,0.862,0.8784,0.8206,0.8539,14498154
1988-06-24,0.8455,0.862,0.8373,0.8455,4423387
1988-06-27,0.8455,0.8455,0.8288,0.8288,2068373
1988-06-28,0.8288,0.8288,0.804,0.8123,4286578
1988-06-29,0.8206,0.862,0.8206,0.8373,4234461
1988-06-30,0.8455,0.8455,0.8123,0.8373,3670955
1988-07-01,0.8455,0.8455,0.804,0.804,2716571
1988-07-05,0.8123,0.8373,0.8123,0.8373,3706783
1988-07-06,0.8455,0.8455,0.8123,0.8206,5468975
1988-07-07,0.8123,0.8206,0.804,0.8123,9918417
1988-07-08,0.804,0.8206,0.804,0.804,15465568
1988-07-11,0.8123,0.8123,0.7958,0.7958,3879417
1988-07-12,0.7958,0.8206,0.7958,0.8123,4951067
1988-07-13,0.8123,0.8206,0.804,0.8206,2368038
1988-07-14,0.8123,0.8288,0.8123,0.8206,3918509
1988-07-15,0.8123,0.862,0.8123,0.862,6374498
1988-07-18,0.862,0.862,0.8455,0.862,2618853
1988-07-19,0.862,0.8784,0.8455,0.8539,3455971
1988-07-20,0.862,0.862,0.8455,0.8455,1172620
1988-07-21,0.8373,0.8373,0.8123,0.8123,1758928
1988-07-22,0.8206,0.8206,0.8123,0.8123,1283369
1988-07-25,0.8123,0.8206,0.8123,0.8206,960900
1988-07-26,0.8123,0.8206,0.8123,0.8123,960900
1988-07-27,0.8206,0.8206,0.7876,0.7876,11012865
1988-07-28,0.7876,0.7876,0.7708,0.7792,5850073
1988-07-29,0.7876,0.8206,0.7876,0.8206,4742598
1988-08-01,0.8123,0.8206,0.804,0.8123,1700300
1988-08-02,0.8123,0.8288,0.8123,0.8288,2690514
1988-08-03,0.8206,0.8288,0.8123,0.8206,2315924
1988-08-04,0.8206,0.8206,0.8206,0.8206,1869680
1988-08-05,0.8123,0.8206,0.8123,0.8123,951125
1988-08-08,0.8123,0.8206,0.8123,0.8123,596083
1988-08-09,0.8123,0.8123,0.7876,0.7876,4071601
1988-08-10,0.7876,0.7876,0.7708,0.7708,8172513
1988-08-11,0.7708,0.7876,0.7708,0.7792,6898920
1988-08-12,0.7876,0.7876,0.7708,0.7792,1524408
1988-08-15,0.7708,0.7792,0.7708,0.7708,2970643
1988-08-16,0.7708,0.7792,0.7708,0.7708,1032560
1988-08-17,0.7708,0.7792,0.7708,0.7708,885979
1988-08-18,0.7792,0.7792,0.7708,0.7708,2970643
1988-08-19,0.7792,0.7792,0.7708,0.7792,1716590
1988-08-22,0.7792,0.7792,0.7708,0.7708,3254023
1988-08-23,0.7708,0.7876,0.7708,0.7876,4859859
1988-08-24,0.7958,0.8123,0.7958,0.804,6609020
1988-08-25,0.804,0.804,0.7876,0.804,3550433
1988-08-26,0.8123,0.8123,0.804,0.8123,1143306
1988-08-29,0.8206,0.8288,0.8206,0.8206,3218192
1988-08-30,0.8206,0.8288,0.8206,0.8206,2569994
1988-08-31,0.8288,0.8373,0.8123,0.8123,5426630
1988-09-01,0.804,0.8123,0.7958,0.804,5644864
1988-09-02,0.8123,0.8123,0.7792,0.7792,10410269
1988-09-06,0.7876,0.7876,0.7461,0.7461,6902176
1988-09-07,0.7461,0.7708,0.7461,0.7708,11573115
1988-09-08,0.7708,0.7958,0.7627,0.7876,7491744
1988-09-09,0.7958,0.7958,0.7876,0.7876,5325654
1988-09-12,0.7876,0.7876,0.7876,0.7876,980440
1988-09-13,0.7792,0.7958,0.7792,0.7876,2426675
1988-09-14,0.7876,0.8206,0.7876,0.8123,5250739
1988-09-15,0.8123,0.8123,0.804,0.804,1566753
1988-09-16,0.7958,0.804,0.7958,0.804,2674230
1988-09-19,0.804,0.804,0.7876,0.7958,1543949
1988-09-20,0.804,0.8288,0.804,0.8206,4410357
1988-09-21,0.8206,0.8373,0.8206,0.8288,4941291
1988-09-22,0.8288,0.8455,0.8288,0.8288,3361508
1988-09-23,0.8288,0.8288,0.8206,0.8288,3100930
1988-09-26,0.8288,0.8288,0.8123,0.8123,892494
1988-09-27,0.8206,0.8206,0.8123,0.8206,1201937
1988-09-28,0.8123,0.8206,0.8123,0.8206,2022769
1988-09-29,0.8123,0.8455,0.8123,0.8455,2550449
1988-09-30,0.8455,0.8539,0.8288,0.8288,2341985
1988-10-03,0.8288,0.8288,0.8123,0.8123,3664440
1988-10-04,0.8206,0.8288,0.8206,0.8206,2755657
1988-10-05,0.8288,0.8539,0.8288,0.8539,3055325
1988-10-06,0.8455,0.887,0.8455,0.887,4983639
1988-10-07,0.9036,0.9369,0.895,0.92,8820714
1988-10-10,0.9285,0.9369,0.92,0.92,4224690
1988-10-11,0.92,0.9285,0.92,0.92,5908706
1988-10-12,0.9118,0.9118,0.887,0.895,3648154
1988-10-13,0.887,0.92,0.887,0.92,4439674
1988-10-14,0.92,0.9369,0.92,0.9369,5654640
1988-10-17,0.9369,0.9783,0.9369,0.9783,4211662
1988-10-18,0.9783,0.9946,0.9783,0.9946,5126957
1988-10-19,0.9946,0.9946,0.9699,0.9783,6045510
1988-10-20,0.9699,1.0113,0.9699,1.0113,15133324
1988-10-21,1.0032,1.0197,0.9946,1.0113,4377784
1988-10-24,1.0113,1.0197,0.9946,0.9946,4928267
1988-10-25,0.9946,0.9946,0.9783,0.9783,1732875
1988-10-26,0.9699,0.9783,0.9535,0.9783,6247464
1988-10-27,0.9699,0.9699,0.92,0.9285,6944520
1988-10-28,0.9369,0.9535,0.9369,0.9535,3784961
1988-10-31,0.9449,0.9449,0.9369,0.9449,1361542
1988-11-01,0.9535,0.9946,0.9535,0.9783,3214937
1988-11-02,0.9783,0.9946,0.9699,0.9862,1921794
1988-11-03,0.9946,1.0197,0.9862,1.0113,8957522
1988-11-04,1.0032,1.0113,0.9946,0.9946,3296370
1988-11-07,0.9862,0.9862,0.9615,0.9615,1599324
1988-11-08,0.9783,0.9862,0.9699,0.9783,4459216
1988-11-09,0.9783,1.0362,0.9783,1.0278,7211621
1988-11-10,1.0278,1.0443,1.0197,1.0278,12530758
1988-11-11,1.0197,1.0197,0.9946,0.9946,4804489
1988-11-14,1.0032,1.0032,0.9699,0.9862,4280069
1988-11-15,0.9862,0.9946,0.9862,0.9946,4237722
1988-11-16,0.9862,0.9946,0.9783,0.9783,2566735
1988-11-17,0.9862,1.0032,0.9862,0.9946,3563465
1988-11-18,1.0032,1.0113,1.0032,1.0032,2576509
1988-11-21,1.0032,1.0278,1.0032,1.0278,3511346
1988-11-22,1.0278,1.0278,1.0113,1.0278,3674213
1988-11-23,1.0278,1.0443,1.0278,1.0362,1172620
1988-11-25,1.0362,1.0443,1.0278,1.0362,2156319
1988-11-28,1.0362,1.0776,1.0362,1.0526,4729573
1988-11-29,1.0526,1.0609,1.0443,1.0609,3811019
