Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-09-22,0.02572,0.03419,0.02572,0.02572,8802454
1981-09-23,0.02572,0.03419,0.02572,0.02572,8721698
1981-09-24,0.02572,0.03419,0.02572,0.02572,6056730
1981-09-25,0.02572,0.03419,0.02572,0.02572,8681315
1981-09-28,0.02572,0.03419,0.02572,0.02572,6864293
1981-09-29,0.02572,0.03419,0.02572,0.02572,4724252
1981-09-30,0.02572,0.03419,0.02572,0.02572,6218242
1981-10-01,0.03419,0.03419,0.03419,0.03419,5168409
1981-10-02,0.03419,0.03419,0.03419,0.03419,4158956
1981-10-05,0.03419,0.03419,0.03419,0.03419,2140050
1981-10-06,0.03419,0.03419,0.03419,0.03419,2987983
1981-10-07,0.03419,0.03419,0.03419,0.03419,4966519
1981-10-08,0.03419,0.03419,0.03419,0.03419,161512
1981-10-09,0.03419,0.03419,0.03419,0.03419,6702784
1981-10-12,0.03419,0.03419,0.03419,0.03419,444154
1981-10-13,0.03419,0.03419,0.03419,0.03419,1372854
1981-10-14,0.03419,0.03419,0.03419,0.03419,484539
1981-10-15,0.03419,0.03419,0.03419,0.03419,3674415
1981-10-16,0.03419,0.03419,0.03419,0.03419,363404
1981-10-19,0.03419,0.03419,0.03419,0.03419,1453616
1981-10-20,0.03419,0.03419,0.03419,0.03419,1817022
1981-10-21,0.03419,0.03419,0.03419,0.03419,8398671
1981-10-22,0.03419,0.03419,0.03419,0.03419,7591109
1981-10-23,0.03419,0.04272,0.03419,0.03419,4643492
1981-10-26,0.03419,0.04272,0.03419,0.03419,5128033
1981-10-27,0.03419,0.04272,0.03419,0.03419,1534368
1981-10-28,0.03419,0.04272,0.03419,0.03419,4118576
1981-10-29,0.03419,0.04272,0.03419,0.03419,726804
1981-10-30,0.03419,0.04272,0.03419,0.03419,565286
1981-11-02,0.04272,0.04272,0.04272,0.04272,1009457
1981-11-03,0.04272,0.04272,0.04272,0.04272,1292100
1981-11-04,0.04272,0.04272,0.04272,0.04272,1332476
1981-11-05,0.04272,0.04272,0.04272,0.04272,5087649
1981-11-06,0.04272,0.04272,0.04272,0.04272,161512
1981-11-09,0.04272,0.04272,0.03419,0.03419,5249170
1981-11-10,0.03419,0.04272,0.03419,0.03419,3311014
1981-11-11,0.03419,0.04272,0.03419,0.03419,484539
1981-11-12,0.03419,0.04272,0.03419,0.03419,807562
1981-11-13,0.03419,0.04272,0.03419,0.03419,363404
1981-11-16,0.03419,0.04272,0.03419,0.03419,3391769
1981-11-17,0.04272,0.04272,0.04272,0.04272,242261
1981-11-18,0.04272,0.04272,0.04272,0.04272,444154
1981-11-19,0.04272,0.04272,0.04272,0.04272,242261
1981-11-20,0.04272,0.04272,0.04272,0.04272,3189876
1981-11-23,0.04272,0.04272,0.04272,0.04272,1090207
1981-11-24,0.04272,0.04272,0.04272,0.04272,403776
1981-11-25,0.04272,0.04272,0.04272,0.04272,282641
1981-11-27,0.04272,0.04272,0.04272,0.04272,242261
1981-11-30,0.04272,0.04272,0.04272,0.04272,121134
1981-12-01,0.04272,0.04272,0.04272,0.04272,242261
1981-12-02,0.04272,0.04272,0.04272,0.04272,444154
1981-12-03,0.04272,0.04272,0.04272,0.04272,2018907
1981-12-04,0.04272,0.05128,0.04272,0.04272,5693332
1981-12-07,0.05128,0.05128,0.05128,0.05128,4724252
1981-12-08,0.05128,0.05128,0.05128,0.05128,3432152
1981-12-09,0.05128,0.05128,0.05128,0.05128,1493992
1981-12-10,0.05128,0.05128,0.05128,0.05128,928696
1981-12-11,0.05128,0.05128,0.05128,0.05128,323020
1981-12-14,0.05128,0.05128,0.04272,0.04272,1978532
1981-12-15,0.04272,0.04272,0.04272,0.04272,3432152
1981-12-16,0.04272,0.04272,0.04272,0.04272,242261
1981-12-17,0.04272,0.04272,0.04272,0.04272,2261177
1981-12-18,0.04272,0.04272,0.04272,0.04272,646047
1981-12-21,0.04272,0.04272,0.04272,0.04272,1009457
1981-12-22,0.04272,0.04272,0.04272,0.04272,1655502
1981-12-23,0.04272,0.04272,0.04272,0.04272,1372854
1981-12-24,0.04272,0.04272,0.04272,0.04272,2099665
1981-12-28,0.04272,0.04272,0.04272,0.04272,565286
1981-12-29,0.04272,0.04272,0.04272,0.04272,524917
1981-12-30,0.04272,0.05128,0.04272,0.04272,565286
1981-12-31,0.04272,0.05128,0.04272,0.04272,323020
1982-01-04,0.04272,0.05128,0.04272,0.04272,161512
1982-01-05,0.04272,0.05128,0.04272,0.04272,524917
1982-01-06,0.04272,0.05128,0.04272,0.04272,363404
1982-01-07,0.04272,0.05128,0.04272,0.04272,3634035
1982-01-08,0.05128,0.05128,0.05128,0.05128,524917
