Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,30.158,31.312,30.158,30.718,4740153
2005-02-28,30.946,31.276,29.561,30.553,5132864
2005-03-01,30.335,30.526,29.677,29.898,3746376
2005-03-02,29.898,30.271,29.457,30.226,5982043
2005-03-03,30.591,31.192,30.372,31.085,5027377
2005-03-04,30.946,31.632,30.793,31.596,5095077
2005-03-07,31.477,31.596,30.946,31.448,5271217
2005-03-08,31.296,31.458,31.019,31.148,6710288
2005-03-09,31.148,31.448,29.786,29.851,6771414
2005-03-10,29.77,30.045,29.066,29.613,7807253
2005-03-11,29.777,30.234,29.38,29.595,4506829
2005-03-14,29.595,29.605,28.912,29.421,7693221
2005-03-15,29.467,29.579,28.803,28.874,4827568
2005-03-16,28.874,29.352,28.701,28.92,5605108
2005-03-17,29.285,29.504,29.048,29.395,6087206
2005-03-18,29.439,29.504,28.81,29.057,8400428
2005-03-21,29.048,29.421,28.794,29.352,5122676
2005-03-22,29.403,30.15,29.057,29.075,6551230
2005-03-23,29.075,29.075,28.392,28.701,6488793
2005-03-24,28.701,29.057,28.254,28.756,4616259
2005-03-28,29.011,29.011,28.565,28.785,4043458
2005-03-29,28.912,29.094,28.383,28.435,5434875
2005-03-30,28.435,28.655,27.943,28.646,6430951
2005-03-31,29.21,29.395,29.057,29.275,4735554
2005-04-01,29.513,29.96,29.447,29.952,4718792
2005-04-04,30.197,30.718,29.504,29.888,10612434
2005-04-05,29.888,30.418,29.631,29.869,8323858
2005-04-06,29.869,30.343,29.484,30.062,5535767
2005-04-07,30.126,30.372,29.352,29.859,6558792
2005-04-08,29.869,30.299,29.605,29.641,5962983
2005-04-11,29.579,30.081,29.275,30.045,4381292
2005-04-12,30.045,30.135,29.403,29.523,6293587
2005-04-13,29.333,29.715,28.912,28.92,6488793
2005-04-14,29.131,29.314,28.527,28.655,5638296
2005-04-15,28.602,28.602,27.578,27.598,6468414
2005-04-18,27.569,28.336,27.295,28.29,4766446
2005-04-19,28.593,29.094,28.593,29.02,4890665
2005-04-20,29.094,29.533,28.346,28.373,4853201
2005-04-21,28.373,28.985,28.317,28.894,4357958
2005-04-22,29.028,29.561,28.794,29.094,3419391
2005-04-25,29.37,29.905,29.36,29.842,5229152
2005-04-26,29.842,29.842,29.057,29.057,3182121
2005-04-27,29.112,29.122,28.027,28.027,6031996
2005-04-28,28.007,28.419,27.862,28.228,4758557
2005-04-29,28.48,28.845,28.189,28.499,5255113
2005-05-02,28.273,28.902,28.106,28.874,4145006
2005-05-03,28.728,28.775,28.143,28.273,4512086
2005-05-04,28.409,28.912,28.098,28.737,5518681
2005-05-05,28.912,29.02,28.508,28.837,4417440
2005-05-06,29.002,29.21,28.902,28.912,3245545
2005-05-09,29.494,29.494,28.93,29.388,2439743
2005-05-10,29.184,29.484,28.691,28.709,4040829
2005-05-11,28.602,28.827,28.364,28.818,4585040
2005-05-12,28.681,28.691,27.395,27.441,6480246
2005-05-13,27.588,27.615,26.693,26.858,5181174
2005-05-16,26.775,26.885,26.245,26.795,6089507
2005-05-17,26.912,27.213,26.829,27.203,7065864
2005-05-18,27.304,27.686,26.939,27.104,4629732
2005-05-19,27.295,27.816,27.094,27.788,3668493
2005-05-20,27.788,27.908,27.241,27.403,4834140
2005-05-23,27.386,27.797,27.304,27.733,3434837
2005-05-24,27.797,27.933,27.569,27.933,4035900
2005-05-25,27.943,28.4,27.56,28.336,5544965
2005-05-26,28.189,28.346,28.089,28.218,2814057
2005-05-27,28.282,28.864,28.273,28.864,2445335
2005-05-31,28.663,28.663,28.246,28.254,3213013
2005-06-01,28.444,29.131,28.444,29.038,4541988
2005-06-02,28.737,29.561,28.737,29.475,7149994
2005-06-03,29.475,29.879,29.267,29.494,3112784
2005-06-06,29.613,29.786,29.388,29.777,2808470
2005-06-07,29.667,29.952,29.504,29.533,3342489
2005-06-08,29.513,30.226,29.513,29.777,5352715
2005-06-09,29.898,31.267,29.898,31.183,7468435
2005-06-10,31.122,31.376,30.982,31.329,5526565
2005-06-13,31.192,31.614,31.01,31.558,3927456
2005-06-14,31.649,32.717,31.649,32.663,6561094
2005-06-15,32.726,33.149,32.591,33.093,6166077
2005-06-16,33.093,33.649,32.497,33.649,4031956
2005-06-17,33.849,34.115,33.512,33.979,6195984
2005-06-20,34.023,34.134,33.568,33.76,5621540
2005-06-21,33.639,33.684,32.572,32.591,5442761
2005-06-22,32.863,33.074,32.263,32.663,5622199
2005-06-23,32.792,33.76,32.763,33.165,3597507
2005-06-24,33.321,33.41,32.881,33.064,2753587
2005-06-27,33.21,33.703,33.21,33.602,3596523
2005-06-28,33.255,33.341,32.271,32.333,5877212
2005-06-29,32.342,32.845,32.187,32.699,5225210
2005-06-30,32.891,33,32.324,32.408,4729639
2005-07-01,32.437,33.769,32.437,33.731,3660605
2005-07-05,34.049,34.526,33.988,34.461,4619217
2005-07-06,34.764,34.909,33.769,33.795,4851231
2005-07-07,33.595,34.809,33.348,34.772,5862094
2005-07-08,34.662,35.072,33.961,34.242,4420067
2005-07-11,34.049,34.297,33.657,34.223,4520300
2005-07-12,34.47,35.356,34.461,35.303,4873250
2005-07-13,35.303,35.448,34.8,35.138,5107232
2005-07-14,35.448,35.448,33.887,34.252,5653413
2005-07-15,34.608,34.764,33.857,34.023,4667855
2005-07-18,33.903,34.144,33.622,33.805,2610632
2005-07-19,33.867,34.745,33.622,34.398,3682953
2005-07-20,34.37,34.507,33.887,34.398,5742802
2005-07-21,34.413,34.89,34.325,34.544,6690897
2005-07-22,34.8,36.286,34.589,36.224,6065187
2005-07-25,36.195,36.578,35.676,35.849,4028343
2005-07-26,35.968,36.15,35.53,36.033,3059870
2005-07-27,36.033,36.123,35.029,35.978,4635318
2005-07-28,36.141,36.588,35.901,36.388,3233714
2005-07-29,36.817,36.817,35.868,35.868,3141371
2005-08-01,35.94,36.215,35.849,35.994,3375682
2005-08-02,36.043,36.542,36.024,36.378,3481174
2005-08-03,36.415,36.689,35.994,36.233,3677365
2005-08-04,36.251,36.899,36.069,36.388,2597164
2005-08-05,36.489,36.699,36.004,36.627,4023084
2005-08-08,37.273,38.36,37.118,37.958,6214716
2005-08-09,38.001,38.186,37.327,37.427,5339904
2005-08-10,37.819,38.067,37.382,37.867,5891672
2005-08-11,38.039,38.669,37.819,38.588,4285657
2005-08-12,39.392,39.463,38.679,39.402,5539051
2005-08-15,39.402,39.545,38.706,38.733,4842686
2005-08-16,39.034,39.235,38.252,38.261,4401335
2005-08-17,38.093,38.616,36.962,37.054,5156528
2005-08-18,36.516,37.575,36.516,37.118,5388538
2005-08-19,37.455,37.804,37.354,37.628,3844308
2005-08-22,37.794,38.261,37.263,37.593,4026043
2005-08-23,37.612,38.113,37.181,37.538,3469671
2005-08-24,37.858,37.995,37.309,37.619,4849587
2005-08-25,37.656,37.784,37.346,37.711,2546878
2005-08-26,37.804,37.958,37.099,37.155,3495636
2005-08-29,38.341,38.341,37.455,38.001,6655078
2005-08-30,38.223,38.879,38.067,38.341,6869015
2005-08-31,38.341,39.146,38.186,38.679,11311429
2005-09-01,38.982,40.97,38.954,40.861,9400449
2005-09-02,40.469,40.485,39.739,40.339,6971216
2005-09-06,40.897,41.162,39.601,40.503,6063216
2005-09-07,40.759,41.455,40.386,40.485,6769442
2005-09-08,40.625,41.327,40.158,40.312,5130563
2005-09-09,40.705,41.874,40.696,41.812,5292906
2005-09-12,41.281,41.508,40.266,40.541,5888712
2005-09-13,40.696,41.225,40.605,40.75,6684329
2005-09-14,40.87,41.744,40.723,41.656,5318544
2005-09-15,41.837,42.312,41.034,41.39,5279763
2005-09-16,41.299,41.299,40.549,40.634,7456276
2005-09-19,41.682,42.686,41.6,42.394,5729330
2005-09-20,42.119,42.457,41.744,42.239,3879146
2005-09-21,43.263,43.36,41.909,42.412,5661960
2005-09-22,42.614,42.987,40.924,41.63,7423739
2005-09-23,41.136,41.29,40.349,40.808,5443096
2005-09-26,40.549,41.918,40.349,41.793,4724050
2005-09-27,41.428,41.803,41.153,41.62,3832808
2005-09-28,42.495,42.495,41.198,42.066,4948835
2005-09-29,42.45,42.512,41.692,42.339,4232092
2005-09-30,42.284,42.549,41.6,41.837,3021421
2005-10-03,42.083,42.294,41.327,41.447,3735204
2005-10-04,41.08,41.098,40.047,40.104,4939300
2005-10-05,40.175,40.276,37.382,37.493,10415913
2005-10-06,37.336,37.336,34.844,35.739,18332602
2005-10-07,36.052,37.008,35.347,36.507,10100104
2005-10-10,36.37,36.497,35.666,35.94,4956724
2005-10-11,36.378,37.336,36.324,37.017,5151597
2005-10-12,36.942,37.128,35.721,36.052,5480557
2005-10-13,35.758,36.014,34.023,35.227,9381060
2005-10-14,34.764,36.033,34.144,35.91,9213790
2005-10-17,36.35,37.118,36.243,36.752,7186474
2005-10-18,36.452,37.209,35.347,35.347,8049782
2005-10-19,35.666,36.36,34.598,36.224,7210460
2005-10-20,35.901,36.06,33.75,34.307,9095809
2005-10-21,34.626,35.894,34.389,35.382,8346535
2005-10-24,35.19,36.559,34.99,36.532,5150281
2005-10-25,36.578,37.538,36.069,36.914,6130913
2005-10-26,35.901,37.53,33.476,37.181,11691986
2005-10-27,37.273,37.53,35.849,36.004,6579494
2005-10-28,35.901,37.575,35.246,37.401,6079320
2005-10-31,37.493,38.496,37.493,38.067,7978796
2005-11-01,38.067,38.542,37.637,38.039,6314946
2005-11-02,37.958,39.528,37.812,39.426,8550615
2005-11-03,39.508,39.993,39.281,39.919,5318868
2005-11-04,39.82,39.855,38.725,39.189,4918930
2005-11-07,39.109,39.18,38.103,38.232,5660319
2005-11-08,38.131,39.409,37.848,39.3,8452352
2005-11-09,39.006,40.037,38.478,38.954,7944622
2005-11-10,38.643,38.77,37.054,37.147,7755330
2005-11-11,37.548,38.113,37.2,38.001,4703347
2005-11-14,38.496,38.551,37.747,38.131,3974447
2005-11-15,38.039,39.217,37.612,38.02,5711256
