Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,1.0612,1.1041,1.0612,1.0869,63100
1970-01-05,1.0953,1.1212,1.0953,1.1212,129707
1970-01-06,1.1212,1.1465,1.1123,1.1212,103765
1970-01-07,1.1212,1.1383,1.1212,1.1212,75720
1970-01-08,1.1212,1.1465,1.1212,1.1465,65907
1970-01-09,1.1465,1.1465,1.1212,1.1296,88343
1970-01-12,1.1296,1.1296,1.1212,1.1296,66605
1970-01-13,1.1296,1.1296,1.0869,1.0869,122694
1970-01-14,1.0869,1.1212,1.0869,1.1212,52583
1970-01-15,1.1041,1.1041,1.0869,1.0869,77123
1970-01-16,1.0869,1.1041,1.0782,1.0869,51884
1970-01-19,1.0869,1.1041,1.0782,1.0953,50480
1970-01-20,1.0953,1.1041,1.0697,1.0869,57492
1970-01-21,1.1041,1.2068,1.1041,1.1724,164061
1970-01-22,1.1724,1.1896,1.1296,1.1383,180187
1970-01-23,1.1383,1.1465,1.1123,1.1212,71519
1970-01-26,1.1123,1.1123,1.0612,1.0782,109378
1970-01-27,1.0782,1.0782,1.0526,1.0782,63100
1970-01-28,1.0697,1.0697,1.0269,1.0269,124099
1970-01-29,1.0183,1.0183,0.9841,1.0099,257309
1970-01-30,1.0099,1.0183,0.9928,1.0183,190004
1970-02-02,1.0183,1.0269,1.0014,1.0269,154245
1970-02-03,1.0269,1.0354,1.0014,1.0354,162660
1970-02-04,1.0526,1.0526,1.0099,1.0183,172476
1970-02-05,1.0183,1.0183,1.0014,1.0099,89042
1970-02-06,1.0099,1.0099,0.9928,1.0099,128305
1970-02-09,1.0099,1.0099,0.9928,1.0099,139523
1970-02-10,1.0099,1.0099,0.9928,1.0099,72917
1970-02-11,1.0099,1.0183,1.0014,1.0183,87639
1970-02-12,1.0183,1.0183,1.0014,1.0099,78525
1970-02-13,1.0099,1.0183,1.0014,1.0099,56087
1970-02-16,1.0099,1.0099,0.9928,1.0099,79928
1970-02-17,1.0099,1.0099,0.9841,0.9841,96755
1970-02-18,0.9928,1.0099,0.9928,0.9928,93951
1970-02-19,0.9928,1.0183,0.9928,0.9928,119893
1970-02-20,0.9928,1.0269,0.9928,1.0014,210336
1970-02-24,1.0014,1.0099,1.0014,1.0099,186498
1970-02-25,1.0099,1.0183,0.9928,1.0099,225058
1970-02-26,1.0099,1.0099,0.9928,1.0014,214545
1970-02-27,1.0014,1.0526,0.9928,1.0269,248198
1970-03-02,1.0354,1.0782,1.0354,1.0526,235577
1970-03-03,1.0526,1.0782,1.0354,1.0782,138821
1970-03-04,1.0782,1.0953,1.0697,1.0782,183691
1970-03-05,1.0782,1.0953,1.0697,1.0782,120589
1970-03-06,1.0782,1.0782,1.0526,1.0526,90443
1970-03-09,1.0526,1.0612,1.0441,1.0526,75020
1970-03-10,1.0526,1.0697,1.0441,1.0612,44168
1970-03-11,1.0612,1.0697,1.0526,1.0526,65206
1970-03-12,1.0526,1.0526,1.0354,1.0441,61699
1970-03-13,1.0441,1.0526,1.0354,1.0526,65907
1970-03-16,1.0526,1.0612,1.0269,1.0441,57492
1970-03-17,1.0441,1.0526,1.0269,1.0441,65206
1970-03-18,1.0441,1.0697,1.0269,1.0354,224361
1970-03-19,1.0354,1.0354,1.0183,1.0269,65206
1970-03-20,1.0269,1.0354,1.0099,1.0269,204726
1970-03-23,1.0269,1.0354,1.0183,1.0183,56087
1970-03-24,1.0269,1.0441,1.0269,1.0441,55389
1970-03-25,1.0441,1.0697,1.0354,1.0612,194208
1970-03-26,1.0612,1.0697,1.0526,1.0612,101661
1970-03-30,1.0612,1.0697,1.0441,1.0526,96054
1970-03-31,1.0526,1.0526,1.0354,1.0354,77123
1970-04-01,1.0441,1.0612,1.0441,1.0526,84135
1970-04-02,1.0526,1.0612,1.0441,1.0441,125500
1970-04-03,1.0441,1.0526,1.0354,1.0526,214545
1970-04-06,1.0526,1.0612,1.0354,1.0354,138120
1970-04-07,1.0354,1.0526,1.0354,1.0526,86942
