Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1986-11-12,1.4895,1.4973,1.4816,1.4895,240827
1986-11-13,1.4816,1.4816,1.4347,1.4347,550022
1986-11-14,1.4267,1.4347,1.4109,1.4109,393895
1986-11-17,1.4033,1.419,1.4033,1.419,192861
1986-11-18,1.419,1.419,1.3407,1.3486,546962
1986-11-19,1.3407,1.4109,1.3407,1.4033,425527
1986-11-20,1.4109,1.4816,1.4109,1.4816,510228
1986-11-21,1.4895,1.4895,1.4581,1.4739,529614
1986-11-24,1.4816,1.4895,1.4739,1.4816,451042
1986-11-25,1.4895,1.4895,1.4739,1.4895,559208
1986-11-26,1.4816,1.4895,1.4663,1.4895,181642
1986-11-28,1.6072,1.6151,1.5521,1.5758,4544061
1986-12-01,1.5835,1.5835,1.5209,1.5366,4921627
1986-12-02,1.5366,1.5444,1.5209,1.5366,1204130
1986-12-03,1.5444,1.5521,1.5366,1.5444,1919467
1986-12-04,1.5444,1.5521,1.5366,1.5366,1366382
1986-12-05,1.5366,1.5444,1.5289,1.5366,2491939
1986-12-08,1.5366,1.5444,1.5056,1.5366,543899
1986-12-09,1.5289,1.5366,1.4895,1.4895,544921
1986-12-10,1.4973,1.5129,1.4816,1.5056,639823
1986-12-11,1.5056,1.5056,1.4663,1.4739,555125
1986-12-12,1.4663,1.4739,1.4347,1.4502,414301
1986-12-15,1.4267,1.4347,1.419,1.4267,649007
1986-12-16,1.4425,1.4425,1.4033,1.4267,532671
1986-12-17,1.419,1.419,1.4033,1.4109,612271
1986-12-18,1.4109,1.419,1.3564,1.3564,1471487
1986-12-19,1.364,1.419,1.364,1.419,1153109
1986-12-22,1.419,1.419,1.3953,1.419,549003
1986-12-23,1.419,1.4267,1.3878,1.3953,655131
1986-12-24,1.4033,1.4109,1.3953,1.4033,450017
1986-12-26,1.4033,1.4267,1.3953,1.4033,161230
1986-12-29,1.4109,1.4109,1.372,1.372,955141
1986-12-30,1.3796,1.3878,1.372,1.3796,543899
1986-12-31,1.3878,1.3953,1.372,1.3878,581660
1987-01-02,1.3878,1.4581,1.3878,1.4502,189803
1987-01-05,1.4895,1.568,1.4895,1.5444,855136
1987-01-06,1.5444,1.5444,1.5289,1.5444,851053
1987-01-07,1.5444,1.5444,1.5129,1.5209,816362
1987-01-08,1.5209,1.5289,1.5056,1.5289,561246
1987-01-09,1.5289,1.599,1.5129,1.5758,730642
1987-01-12,1.568,1.5835,1.5444,1.5758,410222
1987-01-13,1.568,1.568,1.5129,1.5289,454099
1987-01-14,1.5366,1.568,1.5289,1.5601,461242
1987-01-15,1.5521,1.568,1.5444,1.5601,428588
1987-01-16,1.5521,1.568,1.5366,1.5601,1470466
1987-01-19,1.5521,1.5835,1.5366,1.5758,538796
1987-01-20,1.5835,1.599,1.568,1.5758,1193927
1987-01-21,1.568,1.5835,1.5601,1.568,890851
1987-01-22,1.5521,1.662,1.5521,1.6464,1039839
1987-01-23,1.6464,1.7013,1.6307,1.662,1546999
1987-01-26,1.6464,1.6464,1.599,1.6307,660229
1987-01-27,1.6151,1.6464,1.6072,1.6307,1176580
1987-01-28,1.6307,1.6307,1.6072,1.6072,413285
1987-01-29,1.599,1.6307,1.5835,1.6151,484711
1987-01-30,1.6072,1.6307,1.599,1.6307,544921
1987-02-02,1.6307,1.6307,1.6072,1.6307,454099
1987-02-03,1.6307,1.6307,1.5601,1.5601,702067
1987-02-04,1.5601,1.599,1.5601,1.599,396955
1987-02-05,1.599,1.6307,1.599,1.6229,722478
1987-02-06,1.6307,1.6307,1.599,1.6307,414301
1987-02-09,1.6307,1.6384,1.6151,1.6307,248991
1987-02-10,1.6229,1.6307,1.5835,1.599,224496
1987-02-11,1.599,1.599,1.5758,1.5835,320422
1987-02-12,1.5835,1.599,1.5758,1.599,385730
1987-02-13,1.599,1.599,1.5835,1.599,603087
1987-02-17,1.599,1.6464,1.5835,1.6464,526552
1987-02-18,1.6464,1.662,1.6151,1.6229,744928
1987-02-19,1.6307,1.6464,1.599,1.6229,464306
1987-02-20,1.6151,1.6384,1.599,1.6229,283683
1987-02-23,1.6307,1.6464,1.5835,1.6464,365322
1987-02-24,1.6464,1.662,1.6307,1.6464,150004
1987-02-25,1.6464,1.6934,1.6307,1.662,333689
1987-02-26,1.662,1.662,1.6151,1.6464,170415
1987-02-27,1.6464,1.6464,1.6229,1.6307,190824
1987-03-02,1.6307,1.6307,1.6072,1.6151,282664
1987-03-03,1.6229,1.6384,1.6151,1.6151,694926
1987-03-04,1.6151,1.6151,1.5835,1.5835,280626
1987-03-05,1.6307,1.6464,1.5917,1.6307,1193927
1987-03-06,1.6151,1.6464,1.6072,1.6464,226542
1987-03-09,1.6384,1.662,1.6307,1.6464,253072
