Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,2.9226,2.9576,2.8787,2.8787,12226
1982-01-04,2.9226,2.9401,2.8787,2.9401,27199
1982-01-05,2.8611,2.9401,2.7914,2.7914,9031
1982-01-06,2.7739,2.8087,2.7387,2.7561,9602
1982-01-07,2.7739,2.7914,2.7561,2.7914,14972
1982-01-08,2.8087,2.8437,2.7739,2.8437,27886
1982-01-11,2.8437,2.8611,2.8261,2.8261,12801
1982-01-12,2.8261,2.8611,2.7914,2.8087,168005
1982-01-13,2.8261,2.8437,2.7914,2.8261,176917
1982-01-14,2.7739,2.7914,2.7561,2.7561,11315
1982-01-15,2.7914,2.8087,2.7561,2.8087,21941
1982-01-18,2.8087,2.8261,2.7914,2.8087,12685
1982-01-19,2.8261,2.8437,2.7914,2.8087,22746
1982-01-20,2.8261,2.8437,2.8087,2.8437,5030
1982-01-21,2.8261,2.8611,2.7914,2.7914,24000
1982-01-22,2.8087,2.8087,2.7914,2.7914,2398
1982-01-25,2.7914,2.8087,2.7739,2.7914,14511
1982-01-26,2.8087,2.8261,2.7914,2.7914,4802
1982-01-27,2.8261,2.8611,2.7739,2.8261,175316
1982-01-28,2.8611,2.9048,2.8087,2.9048,57144
1982-01-29,2.9048,2.9048,2.8787,2.8787,20226
1982-02-01,2.8611,2.8611,2.8437,2.8437,18971
1982-02-02,2.8787,2.9048,2.8437,2.8437,86861
1982-02-03,2.8437,2.8611,2.8087,2.8437,15430
1982-02-04,2.8437,2.8611,2.8087,2.8087,5141
1982-02-05,2.8261,2.8437,2.8087,2.8087,26516
1982-02-08,2.7914,2.8087,2.7739,2.7739,62860
1982-02-09,2.7739,2.7914,2.7387,2.7739,26285
1982-02-10,2.7739,2.7739,2.7561,2.7561,15201
1982-02-11,2.7561,2.7739,2.7387,2.7387,19200
1982-02-12,2.7387,2.7561,2.695,2.695,62403
1982-02-16,2.6776,2.6776,2.6776,2.6776,44459
1982-02-17,2.66,2.695,2.6249,2.6425,155886
1982-02-18,2.6425,2.66,2.6249,2.6425,7199
1982-02-19,2.6249,2.6249,2.6074,2.6074,21257
