Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-11-05,1.9176,2.0791,1.9176,2.0791,860199
1987-11-06,2.1213,2.1298,2.0791,2.0791,480480
1987-11-09,2.0703,2.0791,2.0366,2.0703,692613
1987-11-10,2.0537,2.0537,2.0024,2.0024,467750
1987-11-11,2.0024,2.1893,2.0024,2.1298,653368
1987-11-12,2.1977,2.2317,2.1469,2.1552,991722
1987-11-13,2.1638,2.1723,2.1638,2.1723,143189
1987-11-16,2.2487,2.2824,2.1893,2.2487,312895
1987-11-17,2.1893,2.2147,2.1469,2.2147,710644
1987-11-18,2.2147,2.2317,2.1469,2.1807,554726
1987-11-19,2.1213,2.1723,2.1213,2.1469,761557
1987-11-20,2.1381,2.1381,2.1298,2.1381,521848
1987-11-23,2.1298,2.1469,2.1298,2.1381,473054
1987-11-24,2.1552,2.2231,2.1552,2.1893,239708
1987-11-25,2.1638,2.2741,2.1552,2.2399,355321
1987-11-27,2.2399,2.2655,2.2399,2.2399,63640
1987-11-30,2.2231,2.2317,2.1469,2.1552,631093
1987-12-01,2.1469,2.1638,2.1381,2.1638,981117
1987-12-02,2.1893,2.2062,2.1381,2.1638,250318
1987-12-03,2.1469,2.1552,2.1213,2.1213,819893
1987-12-04,2.096,2.1552,2.0703,2.1552,2473465
1987-12-07,2.1213,2.1552,2.1213,2.1381,362749
1987-12-08,2.1638,2.2317,2.1469,2.2147,305469
1987-12-09,2.1977,2.2399,2.1893,2.2231,180314
1987-12-10,2.2062,2.2487,2.1469,2.1893,200463
1987-12-11,2.1893,2.1893,2.1469,2.1638,154858
1987-12-14,2.1807,2.1893,2.1552,2.1638,409415
1987-12-15,2.1893,2.2062,2.1298,2.1298,513361
1987-12-16,2.1893,2.1893,2.1469,2.1469,347897
1987-12-17,2.1298,2.1893,2.1298,2.1552,293802
1987-12-18,2.1213,2.1893,2.1213,2.1893,504877
1987-12-21,2.1807,2.2995,2.1807,2.2995,744586
1987-12-22,2.2995,2.3251,2.2824,2.3165,342595
1987-12-23,2.2995,2.4102,2.2995,2.3842,230163
1987-12-24,2.3842,2.393,2.3758,2.393,213193
1987-12-28,2.3842,2.3842,2.2995,2.3251,432749
1987-12-29,2.308,2.308,2.2062,2.2741,552607
1987-12-30,2.2487,2.3587,2.2487,2.3587,732916
1987-12-31,2.3165,2.393,2.2995,2.3758,195163
1988-01-04,2.3674,2.4267,2.3674,2.3842,440176
1988-01-05,2.393,2.401,2.3674,2.3674,225922
1988-01-06,2.3419,2.3587,2.3251,2.3587,353200
1988-01-07,2.3336,2.3758,2.2824,2.3758,156980
1988-01-08,2.3336,2.3587,2.2995,2.3165,181374
1988-01-11,2.2655,2.2824,2.2231,2.2655,362749
1988-01-12,2.2655,2.2824,2.2231,2.2231,319261
1988-01-13,2.2147,2.2655,2.2147,2.2655,317138
1988-01-14,2.2995,2.2995,2.1893,2.1893,499573
1988-01-15,2.2062,2.2655,2.2062,2.2655,83792
1988-01-18,2.2487,2.2741,2.2487,2.2655,169707
1988-01-19,2.2655,2.2741,2.2655,2.2655,158040
1988-01-20,2.2399,2.2399,2.2147,2.2317,1347043
1988-01-21,2.2995,2.2995,2.2399,2.2399,259863
1988-01-22,2.2231,2.2487,2.2062,2.2487,89096
1988-01-25,2.2741,2.2995,2.2399,2.2399,185615
1988-01-26,2.2399,2.2399,2.1638,2.1638,292742
1988-01-27,2.1893,2.2147,2.1807,2.1893,392446
1988-01-28,2.1807,2.1977,2.1638,2.1807,154858
1988-01-29,2.1807,2.2147,2.1807,2.1893,101824
1988-02-01,2.2062,2.2399,2.2062,2.2147,292742
1988-02-02,2.2147,2.2399,2.2147,2.2317,316078
1988-02-03,2.2231,2.2824,2.2231,2.2655,255621
1988-02-04,2.2824,2.2909,2.2741,2.2824,140008
1988-02-05,2.2741,2.2741,2.2231,2.2231,255621
1988-02-08,2.2231,2.2231,2.2062,2.2147,110308
1988-02-09,2.2147,2.2317,2.2062,2.2317,184557
1988-02-10,2.2147,2.2655,2.1977,2.2655,470936
1988-02-11,2.2824,2.2995,2.2655,2.2655,59398
1988-02-12,2.2824,2.3251,2.2655,2.2909,189861
1988-02-16,2.2741,2.3251,2.2655,2.2995,366989
1988-02-17,2.2824,2.3165,2.2824,2.2995,536697
1988-02-18,2.3165,2.3251,2.3165,2.3251,1012933
1988-02-19,2.3251,2.3419,2.3165,2.3251,315016
1988-02-22,2.3251,2.3674,2.3251,2.3674,408353
1988-02-23,2.3504,2.4607,2.3419,2.401,672459
1988-02-24,2.401,2.4267,2.393,2.401,351079
1988-02-25,2.393,2.4352,2.393,2.4267,1358709
1988-02-26,2.4352,2.4438,2.4181,2.4267,576998
1988-02-29,2.4181,2.4438,2.4181,2.4438,114552
1988-03-01,2.4438,2.4438,2.401,2.4267,210013
1988-03-02,2.401,2.4352,2.401,2.401,254560
1988-03-03,2.401,2.401,2.3758,2.3842,510180
1988-03-04,2.3842,2.401,2.3758,2.3758,324561
1988-03-07,2.3842,2.393,2.3504,2.3674,425325
1988-03-08,2.3419,2.401,2.3419,2.3842,613063
1988-03-09,2.401,2.5031,2.401,2.5031,809289
1988-03-10,2.5031,2.5455,2.5031,2.5031,257744
1988-03-11,2.5031,2.5116,2.4607,2.5031,318202
1988-03-14,2.5201,2.5371,2.5031,2.5371,430630
1988-03-15,2.5455,2.5965,2.5371,2.571,452903
1988-03-16,2.5626,2.6556,2.5626,2.6475,552607
1988-03-17,2.6475,2.7152,2.6475,2.7152,927018
1988-03-18,2.7152,2.7237,2.6897,2.6897,688372
1988-03-21,2.6645,2.6814,2.6386,2.6645,447599
1988-03-22,2.6475,2.6475,2.6219,2.6386,114552
1988-03-23,2.6219,2.6219,2.5881,2.5881,85917
1988-03-24,2.5965,2.5965,2.5371,2.5542,123037
1988-03-25,2.5626,2.5626,2.5371,2.5542,159099
1988-03-28,2.5371,2.5371,2.4777,2.4865,392446
1988-03-29,2.4865,2.5287,2.4865,2.5116,270467
1988-03-30,2.5201,2.5287,2.4777,2.4777,220617
1988-03-31,2.4693,2.5031,2.4438,2.4865,165463
1988-04-04,2.4777,2.4777,2.4607,2.4777,223799
1988-04-05,2.4777,2.4865,2.4607,2.4607,293802
1988-04-06,2.4607,2.4607,2.4181,2.4438,1610088
1988-04-07,2.4438,2.5031,2.4267,2.5031,1008692
1988-04-08,2.5031,2.5116,2.4865,2.5116,183492
1988-04-11,2.5116,2.5371,2.5031,2.5031,417902
1988-04-12,2.5031,2.5031,2.4777,2.5031,551545
1988-04-13,2.5116,2.5116,2.4865,2.5116,232285
1988-04-14,2.4865,2.5201,2.4777,2.5031,159099
1988-04-15,2.5031,2.5116,2.4777,2.4777,571696
1988-04-18,2.4777,2.4865,2.4607,2.4777,410478
1988-04-19,2.4693,2.4693,2.4181,2.4181,263046
1988-04-20,2.4181,2.4267,2.3842,2.393,544121
1988-04-21,2.3758,2.401,2.3758,2.3842,439114
1988-04-22,2.3758,2.3758,2.3504,2.3504,242891
1988-04-25,2.3504,2.3587,2.308,2.3336,176067
1988-04-26,2.3336,2.3504,2.3336,2.3419,249256
1988-04-27,2.3587,2.3587,2.3336,2.3336,322443
1988-04-28,2.3504,2.3587,2.3251,2.3587,753072
1988-04-29,2.3587,2.3674,2.3504,2.3674,377595
1988-05-02,2.3674,2.4181,2.3587,2.3842,364870
1988-05-03,2.4181,2.4267,2.3587,2.3674,245011
1988-05-04,2.393,2.4267,2.3674,2.4267,380779
1988-05-05,2.401,2.401,2.3674,2.3674,96520
1988-05-06,2.401,2.401,2.3674,2.3674,288504
1988-05-09,2.3504,2.3504,2.2909,2.3251,387140
1988-05-10,2.3504,2.3504,2.2909,2.2995,351079
1988-05-11,2.2824,2.3336,2.2572,2.308,905809
1988-05-12,2.3336,2.3758,2.3336,2.3587,206831
1988-05-13,2.3587,2.393,2.3587,2.3758,197285
1988-05-16,2.3842,2.4181,2.3674,2.3674,405174
1988-05-17,2.3758,2.3758,2.308,2.3419,407294
1988-05-18,2.3336,2.3419,2.2995,2.2995,317138
1988-05-19,2.308,2.3251,2.2572,2.2572,510180
1988-05-20,2.2824,2.308,2.2824,2.308,525029
1988-05-23,2.308,2.308,2.2824,2.2995,938685
1988-05-24,2.308,2.3587,2.2909,2.3336,404112
1988-05-25,2.3587,2.3842,2.3587,2.3674,63640
1988-05-26,2.3587,2.3842,2.3587,2.3587,97582
1988-05-27,2.3758,2.3842,2.3419,2.3419,149558
1988-05-31,2.3419,2.3758,2.3419,2.3758,149558
1988-06-01,2.3587,2.3674,2.3336,2.3419,457145
1988-06-02,2.3674,2.4181,2.3587,2.3587,475177
1988-06-03,2.3336,2.3419,2.3336,2.3336,393506
1988-06-06,2.3587,2.3587,2.3251,2.3336,169707
1988-06-07,2.3251,2.3587,2.3251,2.3336,329865
1988-06-08,2.3419,2.4181,2.3251,2.4102,439114
1988-06-09,2.401,2.4181,2.3758,2.3758,398807
1988-06-10,2.3842,2.401,2.3758,2.3842,366989
1988-06-13,2.3758,2.3758,2.3587,2.3587,153795
1988-06-14,2.3674,2.4438,2.3674,2.401,542001
1988-06-15,2.4181,2.4607,2.4181,2.4522,180314
1988-06-16,2.4522,2.4865,2.4181,2.4181,216377
1988-06-17,2.4438,2.4522,2.4181,2.4181,135761
1988-06-20,2.4438,2.4438,2.401,2.4181,108185
1988-06-21,2.4102,2.4267,2.3842,2.401,141068
1988-06-22,2.3842,2.4693,2.3842,2.4693,521848
1988-06-23,2.4607,2.4947,2.4522,2.4947,166525
1988-06-24,2.4947,2.5116,2.4693,2.4693,144250
1988-06-27,2.4522,2.4777,2.4181,2.4181,215313
1988-06-28,2.4438,2.4607,2.4267,2.4267,100760
1988-06-29,2.4267,2.5031,2.4267,2.4947,536697
1988-06-30,2.4947,2.5116,2.4693,2.4693,588667
1988-07-01,2.4693,2.4947,2.4693,2.4865,357443
1988-07-05,2.4947,2.4947,2.4693,2.4947,135761
1988-07-06,2.5116,2.5116,2.4607,2.4693,1094605
1988-07-07,2.4693,2.4865,2.4607,2.4607,84853
1988-07-08,2.4607,2.4777,2.4522,2.4777,274709
1988-07-11,2.4777,2.4777,2.4607,2.4693,282134
1988-07-12,2.4607,2.4693,2.4181,2.4438,458208
1988-07-13,2.4438,2.4438,2.393,2.393,615184
1988-07-14,2.4102,2.4181,2.3842,2.4181,778528
1988-07-15,2.4438,2.4522,2.4267,2.4522,92276
1988-07-18,2.4607,2.4865,2.4438,2.4607,81671
1988-07-19,2.4438,2.4522,2.4438,2.4438,284260
1988-07-20,2.4267,2.4607,2.4267,2.4607,200463
1988-07-21,2.4777,2.4947,2.4607,2.4947,207889
1988-07-22,2.4777,2.5116,2.4693,2.5031,595031
1988-07-25,2.5287,2.5542,2.4947,2.4947,863376
1988-07-26,2.4947,2.5287,2.4865,2.5116,215313
1988-07-27,2.4947,2.5116,2.4865,2.4947,164402
1988-07-28,2.4947,2.5371,2.4947,2.4947,292742
1988-07-29,2.4947,2.6135,2.4865,2.5881,338352
1988-08-01,2.5881,2.6306,2.5881,2.6135,523967
1988-08-02,2.6135,2.6556,2.6135,2.6475,679885
1988-08-03,2.6306,2.6306,2.571,2.571,692613
1988-08-04,2.5626,2.5626,2.5116,2.5287,562153
1988-08-05,2.5031,2.5287,2.4947,2.5287,149558
1988-08-08,2.5116,2.5371,2.4947,2.5371,309713
1988-08-09,2.5371,2.5371,2.5031,2.5287,459268
1988-08-10,2.5031,2.5371,2.4947,2.5031,218496
1988-08-11,2.5287,2.5287,2.5116,2.5116,195163
1988-08-12,2.5116,2.5371,2.5031,2.5116,260920
1988-08-15,2.5116,2.5542,2.5116,2.5371,233346
1988-08-16,2.5116,2.5371,2.5116,2.5287,305469
1988-08-17,2.5287,2.5371,2.5116,2.5116,398807
1988-08-18,2.5371,2.5542,2.5116,2.5116,121976
1988-08-19,2.5116,2.5287,2.5116,2.5116,403054
1988-08-22,2.5116,2.5116,2.4865,2.4865,363809
1988-08-23,2.4607,2.4865,2.4181,2.4352,207889
1988-08-24,2.4522,2.5287,2.4181,2.5201,292742
1988-08-25,2.5201,2.5201,2.4522,2.4947,426387
1988-08-26,2.4777,2.4947,2.4777,2.4865,24396
1988-08-29,2.4777,2.5031,2.4777,2.4947,40305
1988-08-30,2.4777,2.5116,2.4777,2.4947,186676
1988-08-31,2.5116,2.5116,2.4947,2.4947,212132
1988-09-01,2.4947,2.4947,2.4522,2.4865,319261
1988-09-02,2.4947,2.5116,2.4865,2.5116,188796
1988-09-06,2.5201,2.5542,2.5201,2.5371,141068
