Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-11-05,2.8518,2.8604,2.7159,2.75,648404
1987-11-06,2.7669,2.7669,2.6562,2.6562,582622
1987-11-09,2.6562,2.6562,2.5031,2.5368,1029930
1987-11-10,2.5031,2.52,2.3411,2.4264,878636
1987-11-11,2.4774,2.6735,2.4687,2.6735,582622
1987-11-12,2.7669,2.8946,2.6985,2.7411,1215992
1987-11-13,2.7159,2.7837,2.6304,2.6304,1090070
1987-11-16,2.6562,2.7073,2.6562,2.6985,630546
1987-11-17,2.6735,2.6735,2.605,2.6642,906827
1987-11-18,2.6735,2.7669,2.605,2.7669,548793
1987-11-19,2.7669,2.8263,2.6304,2.6735,393743
1987-11-20,2.6735,2.75,2.605,2.7159,1184980
1987-11-23,2.7411,2.7837,2.6735,2.7837,175728
1987-11-24,2.8009,2.835,2.7669,2.8178,662501
1987-11-25,2.7669,2.8518,2.7411,2.8263,338297
1987-11-27,2.8263,2.8263,2.7159,2.7411,816613
1987-11-30,2.588,2.6735,2.5368,2.605,1730956
1987-12-01,2.6304,2.7669,2.605,2.7159,701965
1987-12-02,2.6985,2.6985,2.6304,2.6735,572288
1987-12-03,2.6642,2.6642,2.4774,2.5031,942535
1987-12-04,2.4093,2.5031,2.3665,2.4774,924682
1987-12-07,2.4347,2.52,2.3925,2.5031,266880
1987-12-08,2.4774,2.7669,2.4774,2.7411,465160
1987-12-09,2.7159,2.8946,2.7073,2.8009,1227266
1987-12-10,2.6985,2.9117,2.6985,2.7669,672838
1987-12-11,2.7411,2.8518,2.7411,2.8263,185123
1987-12-14,2.8009,2.937,2.8009,2.937,977302
1987-12-15,2.9625,2.9793,2.8775,2.937,1165247
1987-12-16,2.937,2.937,2.8518,2.937,590138
1987-12-17,2.937,2.937,2.9117,2.9117,657801
1987-12-18,2.937,2.9793,2.9117,2.9793,2046701
1987-12-21,3.0478,3.0478,2.9793,2.9967,824131
1987-12-22,2.9967,2.9967,2.937,2.9793,481134
1987-12-23,2.9625,3.1073,2.8946,3.1073,2913115
1987-12-24,3.0902,3.2013,3.0902,3.1326,121223
1987-12-28,3.0647,3.0647,2.9625,3.0307,568531
1987-12-29,2.9967,2.9967,2.9029,2.937,816613
1987-12-30,2.9117,2.937,2.8946,2.937,452945
1987-12-31,2.937,2.937,2.8946,2.8946,342053
1988-01-04,2.9117,2.9712,2.8946,2.9712,2452658
1988-01-05,2.9967,3.1754,2.9967,3.1073,1658598
1988-01-06,3.1587,3.1754,3.1073,3.1587,466098
