Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,0.6067,0.6067,0.5905,0.5905,1477556
1970-01-05,0.5905,0.5905,0.5741,0.5741,1192721
1970-01-06,0.5741,0.5828,0.5741,0.5828,1281732
1970-01-07,0.5828,0.5905,0.5828,0.5828,409442
1970-01-08,0.5828,0.5905,0.5828,0.5905,569656
1970-01-09,0.5905,0.5988,0.5905,0.5905,925696
1970-01-12,0.5905,0.5905,0.5828,0.5828,1068113
1970-01-13,0.5828,0.5905,0.5828,0.5828,1050311
1970-01-14,0.5828,0.5988,0.5828,0.5905,765479
1970-01-15,0.5905,0.5988,0.5905,0.5988,1495352
1970-01-16,0.5988,0.5988,0.5905,0.5905,907896
1970-01-19,0.5905,0.5905,0.5828,0.5905,1459753
1970-01-20,0.5905,0.5905,0.5741,0.5905,943497
1970-01-21,0.5905,0.5905,0.5828,0.5905,1085912
1970-01-22,0.5905,0.5905,0.5828,0.5905,445048
1970-01-23,0.5905,0.5905,0.5905,0.5905,1210527
1970-01-26,0.5905,0.5905,0.5828,0.5905,1210527
1970-01-27,0.5828,0.5828,0.5828,0.5828,658668
1970-01-28,0.5741,0.5741,0.5499,0.5499,1851394
1970-01-29,0.5499,0.5499,0.5177,0.5339,4432660
1970-01-30,0.5339,0.5339,0.5177,0.5339,3471361
1970-02-02,0.5339,0.5582,0.5339,0.5582,1993808
1970-02-03,0.5582,0.5828,0.5499,0.5499,3328942
1970-02-04,0.5499,0.5499,0.5261,0.5261,3453560
1970-02-05,0.5261,0.5499,0.5261,0.5499,2332041
1970-02-06,0.5499,0.5499,0.5422,0.5499,872289
1970-02-09,0.5582,0.5741,0.5582,0.5741,2082817
1970-02-10,0.5828,0.5905,0.5828,0.5828,3097522
1970-02-11,0.5828,0.5828,0.5741,0.5741,2759287
1970-02-12,0.5741,0.5741,0.5499,0.5582,4165630
1970-02-13,0.5582,0.5582,0.5339,0.5422,1904798
1970-02-16,0.5422,0.5499,0.5422,0.5422,1014704
1970-02-17,0.5422,0.5422,0.5261,0.5339,2367645
1970-02-18,0.5339,0.5422,0.5339,0.5339,1085912
1970-02-19,0.5339,0.5339,0.5339,0.5339,712077
1970-02-20,0.5339,0.5339,0.5177,0.5261,1726780
1970-02-24,0.5261,0.5261,0.5097,0.5097,4628481
1970-02-25,0.5097,0.5339,0.5097,0.5339,3489161
1970-02-26,0.5261,0.5261,0.5177,0.5177,1673373
1970-02-27,0.5261,0.5339,0.5261,0.5339,2011608
1970-03-02,0.5339,0.5422,0.5339,0.5339,1299533
1970-03-03,0.5339,0.5339,0.5261,0.5339,1815787
1970-03-04,0.5339,0.5422,0.5339,0.5339,907896
1970-03-05,0.5339,0.5422,0.5339,0.5339,1103714
1970-03-06,0.5339,0.5339,0.5261,0.5261,1121516
1970-03-09,0.5261,0.5261,0.5261,0.5261,338235
1970-03-10,0.5261,0.5261,0.5177,0.5177,1673373
1970-03-11,0.5177,0.5261,0.5177,0.5261,534056
1970-03-12,0.5261,0.5261,0.5261,0.5261,480647
1970-03-13,0.5261,0.5261,0.5177,0.5177,1655572
1970-03-16,0.5177,0.5177,0.5097,0.5097,996901
1970-03-17,0.5097,0.5177,0.5097,0.5097,1566562
1970-03-18,0.5097,0.5177,0.5097,0.5177,925696
1970-03-19,0.5177,0.5177,0.5177,0.5177,1388543
1970-03-20,0.5177,0.5177,0.5097,0.5177,640869
1970-03-23,0.5177,0.5177,0.5097,0.5097,267026
1970-03-24,0.5097,0.5097,0.5013,0.5097,2065014
1970-03-25,0.5177,0.5339,0.5177,0.5261,2812690
1970-03-26,0.5261,0.5261,0.5261,0.5261,1157123
1970-03-30,0.5261,0.5261,0.5261,0.5261,1691173
1970-03-31,0.5177,0.5177,0.5177,0.5177,836690
1970-04-01,0.5177,0.5177,0.5177,0.5177,1014704
1970-04-02,0.5097,0.5097,0.5013,0.5097,979100
1970-04-03,0.5097,0.5097,0.5097,0.5097,1246131
1970-04-06,0.5097,0.5097,0.49341,0.49341,2812690
1970-04-07,0.49341,0.49341,0.47718,0.47718,1886994
1970-04-08,0.47718,0.48545,0.47718,0.47718,907896
1970-04-09,0.47718,0.49341,0.47718,0.49341,1014704
1970-04-10,0.49341,0.5013,0.48545,0.49341,4094425
1970-04-13,0.49341,0.49341,0.48545,0.48545,1085912
1970-04-14,0.48545,0.49341,0.47718,0.49341,1032505
1970-04-15,0.49341,0.5013,0.49341,0.49341,2741484
1970-04-16,0.49341,0.49341,0.49341,0.49341,1548762
1970-04-17,0.49341,0.49341,0.49341,0.49341,1174921
1970-04-20,0.49341,0.49341,0.48545,0.49341,1762383
1970-04-21,0.49341,0.49341,0.48545,0.48545,640869
1970-04-22,0.48545,0.48545,0.48545,0.48545,694273
1970-04-23,0.48545,0.48545,0.46926,0.46926,943497
1970-04-24,0.46926,0.46926,0.46926,0.46926,979100
1970-04-27,0.46926,0.46926,0.46103,0.46103,872289
1970-04-28,0.46103,0.46103,0.46103,0.46103,836690
1970-04-29,0.46103,0.47718,0.45293,0.47718,3133124
1970-04-30,0.47718,0.48545,0.47718,0.47718,658668
1970-05-01,0.47718,0.47718,0.47718,0.47718,391644
1970-05-04,0.46926,0.46926,0.46103,0.46103,712077
1970-05-05,0.46103,0.46103,0.46103,0.46103,1174921
1970-05-06,0.46103,0.46103,0.46103,0.46103,1441950
1970-05-07,0.46926,0.47718,0.46926,0.46926,1406346
1970-05-08,0.46926,0.47718,0.46103,0.46103,1139318
1970-05-11,0.46103,0.46103,0.45293,0.45293,872289
1970-05-12,0.45293,0.46103,0.45293,0.45293,943497
1970-05-13,0.45293,0.45293,0.45293,0.45293,445048
1970-05-14,0.45293,0.45293,0.44489,0.45293,1352943
1970-05-15,0.45293,0.46926,0.45293,0.46926,836690
1970-05-18,0.47718,0.48545,0.47718,0.47718,694273
1970-05-19,0.47718,0.47718,0.45293,0.45293,812951
1970-05-20,0.45293,0.45293,0.44489,0.44489,670534
1970-05-21,0.43686,0.43686,0.42062,0.42875,2326108
1970-05-22,0.42875,0.43686,0.41252,0.42875,925696
1970-05-25,0.42062,0.42062,0.39634,0.39634,2124356
1970-05-26,0.39634,0.39634,0.37216,0.38018,1898864
1970-05-27,0.38828,0.40444,0.38828,0.40444,2474458
1970-05-28,0.40444,0.41252,0.39634,0.41252,3916406
1970-05-29,0.41252,0.43686,0.40444,0.43686,2314240
1970-06-01,0.43686,0.45293,0.43686,0.45293,1881063
1970-06-02,0.45293,0.46103,0.43686,0.44489,1471619
1970-06-03,0.44489,0.46926,0.44489,0.46926,1465685
1970-06-04,0.46926,0.48545,0.46103,0.46103,2409179
1970-06-05,0.46103,0.46103,0.45293,0.45293,985036
1970-06-08,0.45293,0.45293,0.43686,0.45293,646801
1970-06-09,0.45293,0.45293,0.44489,0.45293,807018
1970-06-10,0.45293,0.46103,0.45293,0.45293,919761
1970-06-11,0.45293,0.46103,0.44489,0.46103,777348
