Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,3.1092,3.1092,3.076,3.1092,29601
1970-01-05,3.1092,3.1177,3.0843,3.1092,38647
1970-01-06,3.1092,3.1424,3.0926,3.1424,33715
1970-01-07,3.1507,3.2335,3.1507,3.2169,88810
1970-01-08,3.2087,3.2087,3.1673,3.2087,26313
1970-01-09,3.1838,3.1838,3.1341,3.1341,18912
1970-01-12,3.1424,3.1918,3.1424,3.1918,44407
1970-01-13,3.1918,3.242,3.1838,3.1838,33715
1970-01-14,3.1838,3.2087,3.1673,3.2087,32890
1970-01-15,3.2087,3.2169,3.2087,3.2087,17266
1970-01-16,3.2087,3.2255,3.1424,3.1424,21384
1970-01-19,3.1424,3.1507,3.1009,3.1507,112659
1970-01-20,3.1507,3.1673,3.1177,3.1673,41938
1970-01-21,3.1587,3.1587,3.1177,3.1257,58386
1970-01-22,3.1257,3.1424,3.1257,3.1257,27956
1970-01-23,3.1507,3.2006,3.1507,3.1507,48519
1970-01-26,3.1424,3.1424,3.1092,3.1092,76482
1970-01-27,3.1092,3.1092,3.076,3.0926,41938
1970-01-28,3.0926,3.1177,3.0512,3.0512,32066
1970-01-29,3.0261,3.0261,2.9185,2.9185,83879
1970-01-30,2.9185,2.9684,2.9185,2.9684,35359
1970-02-02,2.9434,2.9434,2.9434,2.9434,8225
1970-02-03,2.9434,3.0097,2.9351,3.0015,27135
1970-02-04,3.0015,3.076,3.0015,3.0015,50163
1970-02-05,3.0015,3.0261,2.9684,3.0097,32066
1970-02-06,3.0097,3.0097,2.9932,3.0097,20557
1970-02-09,3.0181,3.1177,3.0181,3.0926,92100
1970-02-10,3.0926,3.1177,3.0512,3.076,27956
1970-02-11,3.0843,3.1673,3.0843,3.1673,36184
1970-02-12,3.1673,3.1838,3.1507,3.1507,9868
1970-02-13,3.1507,3.2169,3.1507,3.2087,70719
1970-02-16,3.2087,3.2335,3.1838,3.2335,27956
1970-02-17,3.2335,3.275,3.2335,3.2668,51808
1970-02-18,3.275,3.3085,3.275,3.3085,27135
1970-02-19,3.3085,3.3498,3.3085,3.3328,62496
1970-02-20,3.3498,3.3912,3.3498,3.3662,149665
1970-02-24,3.3662,3.3746,3.3328,3.3498,41938
1970-02-25,3.3498,3.3994,3.3498,3.3994,66608
1970-02-26,3.3912,3.3912,3.3662,3.3662,109372
1970-02-27,3.3662,3.4161,3.3662,3.4075,46048
1970-03-02,3.4075,3.4242,3.3994,3.4161,136506
1970-03-03,3.4242,3.4574,3.4242,3.4574,54275
1970-03-04,3.4574,3.4743,3.4574,3.4743,68255
1970-03-05,3.4907,3.5155,3.4907,3.5155,43583
1970-03-06,3.5155,3.5155,3.4822,3.4907,31247
1970-03-09,3.4574,3.4574,3.3994,3.3994,31247
1970-03-10,3.3994,3.4242,3.3912,3.3912,36184
1970-03-11,3.3912,3.4075,3.3662,3.3994,46870
1970-03-12,3.3994,3.3994,3.3912,3.3994,32890
1970-03-13,3.3994,3.3994,3.3827,3.3912,27135
1970-03-16,3.3912,3.3912,3.3662,3.3662,69897
1970-03-17,3.3328,3.3328,3.3085,3.3085,43583
1970-03-18,3.3085,3.3498,3.3085,3.3328,70719
1970-03-19,3.3328,3.3746,3.3249,3.3249,129104
