Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1986-07-09,3.6076,3.8111,3.5906,3.7686,2909454
1986-07-10,3.7857,3.8363,3.6756,3.7686,1776846
1986-07-11,3.8111,4.0143,3.8111,3.904,1642706
1986-07-14,3.8787,3.904,3.7009,3.7178,1128829
1986-07-15,3.7178,3.7432,3.5655,3.5906,2337953
1986-07-16,3.5906,3.7178,3.5906,3.633,2289777
1986-07-17,3.6585,3.7857,3.633,3.7178,935180
1986-07-18,3.6756,3.7178,3.5399,3.6585,1288470
1986-07-21,3.6585,3.6585,3.4976,3.5399,3214567
1986-07-22,3.5399,3.633,3.5232,3.5655,2550489
1986-07-23,3.5906,3.6076,3.5399,3.5399,2170755
1986-07-24,3.5906,3.5906,3.4976,3.5399,1050423
1986-07-25,3.5399,3.6585,3.4976,3.633,2543882
1986-07-28,3.6756,3.7432,3.6076,3.633,643290
1986-07-29,3.633,3.633,3.5399,3.5655,695248
1986-07-30,3.5655,3.6585,3.5399,3.633,1204400
1986-07-31,3.633,3.633,3.6076,3.6076,614954
1986-08-01,3.633,3.6756,3.6076,3.6585,2402188
1986-08-04,3.6585,3.6585,3.5655,3.6585,1193063
1986-08-05,3.6585,3.7857,3.633,3.7178,698079
1986-08-06,3.7009,3.7009,3.633,3.633,890783
1986-08-07,3.8363,3.8787,3.7686,3.7857,8838879
1986-08-08,3.8111,3.8363,3.7686,3.8111,4227209
1986-08-11,3.8111,3.8363,3.7857,3.8363,2054566
1986-08-12,3.8363,4.0568,3.8111,4.0568,2261438
1986-08-13,4.0822,4.3362,4.0399,4.2173,4370790
1986-08-14,4.2173,4.243,4.1326,4.2173,1257299
1986-08-15,4.2173,4.2173,4.0822,4.0822,1084434
1986-08-18,4.1326,4.1326,3.9465,4.0568,1857137
1986-08-19,4.0822,4.1326,4.0399,4.0736,1338538
1986-08-20,4.0568,4.2686,4.0568,4.243,921955
1986-08-21,4.2686,4.3529,4.243,4.3529,1725835
1986-08-22,4.3362,4.3786,4.2854,4.3529,1747557
1986-08-25,4.3529,4.3786,4.3107,4.3786,1071207
1986-08-26,4.3529,4.5393,4.3529,4.5141,1445279
1986-08-27,4.5562,4.6243,4.5393,4.5987,4045840
1986-08-28,4.5987,4.5987,4.4885,4.4885,4626786
1986-08-29,4.4885,4.5141,4.4548,4.5141,3592421
1986-09-02,4.4885,4.5393,4.4463,4.4463,2697854
1986-09-03,4.4463,4.4714,4.3786,4.4714,3360037
1986-09-04,4.4885,4.5393,4.4463,4.4714,1766456
1986-09-05,4.4885,4.5141,4.421,4.421,2083849
1986-09-08,4.421,4.4463,4.3107,4.3529,3436554
1986-09-09,4.3362,4.3786,4.1498,4.1754,2753590
1986-09-10,4.1498,4.2005,4.1073,4.1498,2651571
1986-09-11,4.1073,4.1498,3.8111,3.8111,2413523
1986-09-12,3.8363,3.8363,3.6924,3.8363,2657236
1986-09-15,3.8363,3.9465,3.8111,3.8535,3023749
1986-09-16,3.8787,3.8787,3.6756,3.7432,2062122
1986-09-17,3.7686,3.9465,3.7432,3.9465,4816656
1986-09-18,3.9465,3.9888,3.9213,3.9721,2356845
1986-09-19,3.9465,3.9721,3.7857,3.8787,1688048
1986-09-22,3.8787,3.904,3.8363,3.904,667853
1986-09-23,3.904,3.904,3.7178,3.7686,1484952
1986-09-24,3.7857,3.8535,3.7432,3.8363,1279971
1986-09-25,3.8363,3.8535,3.7686,3.7857,2493817
1986-09-26,3.7857,3.8111,3.633,3.7178,1091990
