Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-11-05,3.3406,3.3581,3.2974,3.3148,70530
1987-11-06,3.3406,3.3756,3.3148,3.3148,270592
1987-11-09,3.2974,3.3406,3.2278,3.2278,137371
1987-11-10,3.2625,3.3406,3.2278,3.3148,78825
1987-11-11,3.2625,3.3581,3.2625,3.3148,83899
1987-11-12,3.3756,3.5231,3.3406,3.5056,130454
1987-11-13,3.4708,3.5665,3.4537,3.5056,38721
1987-11-16,3.4708,3.5231,3.4537,3.4883,68225
1987-11-17,3.5056,3.5231,3.4102,3.4276,38260
1987-11-18,3.4102,3.4102,3.2974,3.3406,49323
1987-11-19,3.2625,3.2974,3.1501,3.1501,539336
1987-11-20,3.1845,3.2104,3.0718,3.1501,141979
1987-11-23,3.1845,3.2104,3.1501,3.1672,40566
1987-11-24,3.1501,3.2801,3.0978,3.2452,253073
1987-11-25,3.2452,3.2452,3.1672,3.1672,122619
1987-11-27,3.1501,3.2104,3.1501,3.2104,39642
1987-11-30,3.1672,3.1672,3.0978,3.1325,95424
1987-12-01,3.115,3.2104,3.115,3.1845,123537
1987-12-02,3.1672,3.2104,3.1501,3.1672,100032
1987-12-03,3.1501,3.1845,3.115,3.115,37341
1987-12-04,3.0718,3.0978,3.0544,3.0544,93577
1987-12-07,3.0369,3.0718,3.0195,3.0195,59004
1987-12-08,3.0195,3.1501,3.0195,3.1501,107405
1987-12-09,3.115,3.1325,2.9588,3.0369,141979
1987-12-10,3.0026,3.0195,2.9588,3.0195,81593
1987-12-11,2.985,3.0369,2.9417,2.985,61770
1987-12-14,3.0026,3.0544,2.9588,3.0369,118469
1987-12-15,3.0026,3.0978,3.0026,3.0718,86665
1987-12-16,3.0978,3.1325,3.0369,3.0369,168256
1987-12-17,3.0369,3.2278,3.0369,3.1325,377070
1987-12-18,3.1672,3.2625,3.1325,3.2625,253533
1987-12-21,3.2625,3.3406,3.1325,3.2104,139672
1987-12-22,3.2452,3.2452,3.1672,3.2452,145669
1987-12-23,3.2278,3.4537,3.1501,3.3843,172400
1987-12-24,3.4187,3.4187,3.3058,3.3406,173325
1987-12-28,3.3058,3.4797,3.2278,3.4363,98187
1987-12-29,3.4016,3.4187,3.3058,3.3058,59925
1987-12-30,3.2713,3.4016,3.2278,3.3406,94500
1987-12-31,3.3406,3.3406,3.1932,3.2278,68683
1988-01-04,3.1932,3.3843,3.1932,3.3232,86665
1988-01-05,3.3668,3.4363,3.3668,3.4363,202366
1988-01-06,3.4971,3.4971,3.3843,3.4187,274278
