Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,1.9067,1.9453,1.9067,1.926,2099046
1985-07-02,1.926,1.9391,1.9001,1.9391,5150600
1985-07-03,1.9391,1.9971,1.9391,1.9649,3539878
1985-07-05,1.9777,2.0745,1.9777,2.0745,2417479
1985-07-08,2.1004,2.1585,2.1004,2.1391,2757260
1985-07-09,2.1391,2.1522,1.9777,1.9971,5412403
1985-07-10,1.9971,2.0035,1.9391,1.9971,3365345
1985-07-11,2.0035,2.0745,2.0035,2.0616,2073052
1985-07-12,2.0745,2.1004,2.0745,2.1004,2392413
1985-07-15,2.1004,2.1134,2.0552,2.0552,1294150
1985-07-16,2.0745,2.0939,2.0745,2.0811,1214311
1985-07-17,2.0811,2.0939,2.0424,2.0939,835531
1985-07-18,2.0745,2.0745,2.0424,2.0616,1017493
1985-07-19,2.0616,2.0745,2.0552,2.0616,953438
1985-07-22,2.0616,2.0616,2.0229,2.0424,1121472
1985-07-23,2.0424,2.0939,1.9843,1.9971,1621866
1985-07-24,1.9843,1.9843,1.9583,1.9843,3264150
1985-07-25,1.9843,1.9843,1.9391,1.9453,2150109
1985-07-26,1.9391,1.9391,1.9195,1.9391,1093619
1985-07-29,1.9391,1.9391,1.8807,1.8807,1155821
1985-07-30,1.8807,1.887,1.8486,1.887,2967999
1985-07-31,1.887,1.926,1.887,1.9195,1940295
1985-08-01,1.926,1.9453,1.926,1.9391,2408197
1985-08-02,1.9391,1.9453,1.9067,1.9067,1806610
1985-08-05,1.9067,1.926,1.887,1.887,862455
1985-08-06,1.887,1.9195,1.8807,1.8807,750123
1985-08-07,1.8807,1.887,1.8486,1.8486,1859527
1985-08-08,1.8486,1.8807,1.8486,1.8681,764977
1985-08-09,1.8681,1.9001,1.8681,1.9001,623862
1985-08-12,1.9001,1.9195,1.8681,1.8807,911659
1985-08-13,1.8807,1.9391,1.8807,1.9195,3015347
1985-08-14,1.9391,1.9777,1.9391,1.9649,841099
1985-08-15,1.9649,1.9971,1.9453,1.9453,826249
1985-08-16,1.9453,1.9453,1.9195,1.9391,2897444
1985-08-19,1.9391,1.9391,1.9195,1.926,574661
1985-08-20,1.926,1.926,1.8807,1.9001,1115902
1985-08-21,1.9001,1.9453,1.887,1.9453,873599
1985-08-22,1.9453,1.9583,1.9195,1.9391,326788
1985-08-23,1.9391,1.9453,1.9195,1.926,773331
1985-08-26,1.926,1.9453,1.9195,1.926,568161
1985-08-27,1.926,1.926,1.9195,1.9195,239521
1985-08-28,1.9195,1.9391,1.9195,1.926,258089
1985-08-29,1.926,1.9391,1.9195,1.9195,1245875
1985-08-30,1.9195,1.9195,1.8807,1.9001,866168
1985-09-03,1.9001,1.9067,1.8681,1.8807,629438
1985-09-04,1.8807,1.9067,1.8681,1.9001,1736052
1985-09-05,1.9001,1.9001,1.887,1.9001,1373061
1985-09-06,1.9001,1.9583,1.8936,1.9583,1709133
1985-09-09,1.9583,1.9971,1.9518,1.9777,1555021
1985-09-10,1.9777,1.9777,1.9326,1.9326,739911
1985-09-11,1.913,1.913,1.8419,1.855,1034204
1985-09-12,1.855,1.8743,1.7644,1.7839,2006209
1985-09-13,1.7839,1.7965,1.7192,1.7839,2579015
1985-09-16,1.7839,1.8161,1.7644,1.7773,2060981
1985-09-17,1.7773,1.7839,1.7449,1.7773,1084342
1985-09-18,1.7773,1.8419,1.7578,1.8225,892162
1985-09-19,1.8355,1.9001,1.8355,1.9001,1580087
1985-09-20,1.9001,1.9391,1.8936,1.913,2825030
1985-09-23,1.9195,1.9583,1.9195,1.9391,2515885
1985-09-24,1.9391,1.9391,1.913,1.913,814181
1985-09-25,1.913,1.9326,1.8031,1.8161,1745336
1985-09-26,1.8161,1.8225,1.7965,1.8225,1974646
1985-09-30,1.8225,1.8355,1.8031,1.8355,1283011
1985-10-01,1.8355,1.9001,1.8225,1.8936,2449973
1985-10-02,1.8936,1.913,1.8613,1.8743,1753692
1985-10-03,1.8743,1.8936,1.8613,1.8613,3312427
1985-10-04,1.8419,1.8419,1.7839,1.7965,1587510
1985-10-07,1.7965,1.7965,1.7644,1.7773,1703561
1985-10-08,1.7773,1.8031,1.7644,1.7644,2743334
1985-10-09,1.7644,1.8031,1.7644,1.7965,1436191
1985-10-10,1.7965,1.8419,1.7839,1.8419,1638575
1985-10-11,1.8419,1.8936,1.8419,1.8936,772405
1985-10-14,1.8936,1.913,1.8743,1.913,519888
1985-10-15,1.913,1.9583,1.913,1.9195,1692418
1985-10-16,1.9195,1.9391,1.913,1.9326,295219
1985-10-17,1.9326,1.9518,1.9326,1.9391,843892
1985-10-18,1.9391,1.9583,1.9391,1.9518,825323
