Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1982-01-04,2.6927,2.7006,2.6694,2.6927,1168447
1982-01-05,2.6381,2.6771,2.5835,2.6146,666223
1982-01-06,2.5835,2.6302,2.5289,2.5603,1678875
1982-01-07,2.5523,2.5678,2.5289,2.5603,721566
1982-01-08,2.5835,2.5913,2.5603,2.5835,768717
1982-01-11,2.6071,2.6226,2.5835,2.5991,1816219
1982-01-12,2.5835,2.5913,2.5756,2.5913,557574
1982-01-13,2.5835,2.5991,2.5603,2.5678,348483
1982-01-14,2.5447,2.5603,2.5289,2.5447,1287343
1982-01-15,2.5603,2.5835,2.5447,2.5447,1861318
1982-01-18,2.5523,2.5835,2.5213,2.5835,1867468
1982-01-19,2.5603,2.5835,2.5213,2.5289,1092602
1982-01-20,2.5289,2.5447,2.5052,2.5052,1051604
1982-01-21,2.5366,2.5835,2.4977,2.5835,5467109
1982-01-22,2.6146,2.6302,2.5913,2.5913,2140105
1982-01-25,2.5835,2.6071,2.5603,2.5913,1342692
1982-01-26,2.6302,2.6461,2.6071,2.6146,2133955
1982-01-27,2.6146,2.6146,2.5991,2.6071,1496433
1982-01-28,2.6694,2.7163,2.6146,2.7163,2742778
1982-01-29,2.7473,2.7631,2.7396,2.7551,1685026
1982-02-01,2.7631,2.7787,2.7473,2.7473,945012
1982-02-02,2.771,2.7943,2.7473,2.7943,1504635
1982-02-03,2.7866,2.7943,2.771,2.771,932708
1982-02-04,2.7396,2.771,2.7006,2.7239,1646077
1982-02-05,2.7631,2.7866,2.7317,2.7866,1769070
1982-02-08,2.7473,2.7631,2.7239,2.7473,1713724
1982-02-09,2.7239,2.7473,2.7006,2.7163,1621477
1982-02-10,2.7473,2.7787,2.7163,2.7631,3736986
1982-02-11,2.8021,2.8254,2.7787,2.7866,3757483
1982-02-12,2.8178,2.8411,2.7866,2.8336,1275045
1982-02-16,2.8254,2.8411,2.81,2.8411,1270946
1982-02-17,2.8489,2.8568,2.8254,2.8411,1486185
1982-02-18,2.8411,2.8568,2.8254,2.8489,2668981
1982-02-19,2.8411,2.8568,2.8254,2.8489,2306150
1982-02-22,2.8254,2.88,2.771,2.771,2808375
1982-02-23,2.7943,2.8178,2.771,2.81,6389565
1982-02-24,2.7787,2.8254,2.7396,2.7943,3788232
1982-02-25,2.7866,2.81,2.7631,2.771,740016
1982-02-26,2.7631,2.771,2.7473,2.771,1658377
1982-03-01,2.7631,2.771,2.7473,2.7631,858912
1982-03-02,2.7317,2.7631,2.6927,2.6927,883512
1982-03-03,2.6617,2.7006,2.6302,2.6539,3074863
1982-03-04,2.6226,2.6461,2.5913,2.6302,2039659
1982-03-05,2.6071,2.6381,2.5603,2.5756,1732174
1982-03-08,2.5678,2.5991,2.5289,2.5366,1855168
1982-03-09,2.5289,2.5523,2.5052,2.5213,3587343
1982-03-10,2.5523,2.5603,2.5289,2.5603,2580834
1982-03-11,2.5756,2.5835,2.5603,2.5835,1857218
1982-03-12,2.5913,2.6071,2.5835,2.5991,1065955
1982-03-15,2.6146,2.6302,2.5835,2.6302,867111
1982-03-16,2.6146,2.6381,2.5991,2.5991,2316399
1982-03-17,2.5678,2.5991,2.5366,2.5756,3782081
1982-03-18,2.5835,2.5991,2.5678,2.5991,598575
