Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1977-01-03,0.7342,0.7419,0.7342,0.7419,26626
1977-01-04,0.7419,0.7498,0.7033,0.7419,29571
1977-01-05,0.7419,0.7654,0.7419,0.7654,31617
1977-01-06,0.7654,0.8048,0.7654,0.8048,56967
1977-01-07,0.8048,0.8124,0.797,0.8124,49030
1977-01-10,0.8124,0.8202,0.8048,0.8124,41989
1977-01-11,0.8124,0.8124,0.797,0.797,24579
1977-01-12,0.7811,0.7811,0.7654,0.7734,26242
1977-01-13,0.7734,0.7734,0.7498,0.7654,24579
1977-01-14,0.7654,0.7734,0.7654,0.7654,16643
1977-01-17,0.7734,0.8048,0.7734,0.7811,30981
1977-01-18,0.797,0.8048,0.797,0.8048,15743
1977-01-19,0.8048,0.8124,0.797,0.797,23427
1977-01-20,0.797,0.8048,0.7811,0.7811,29571
1977-01-21,0.7811,0.797,0.7734,0.7734,30851
1977-01-24,0.8048,0.8438,0.8048,0.8438,116361
1977-01-25,0.8438,0.8751,0.8357,0.8438,66821
1977-01-26,0.8438,0.8438,0.8202,0.8357,39428
1977-01-27,0.8357,0.8438,0.8124,0.8357,38401
1977-01-28,0.8357,0.8438,0.8124,0.8357,17790
1977-01-31,0.8202,0.8202,0.8048,0.8124,16256
1977-02-01,0.8124,0.8124,0.8048,0.8124,16643
1977-02-02,0.8048,0.8048,0.7811,0.7811,15743
1977-02-03,0.7811,0.797,0.7654,0.797,24192
1977-02-04,0.797,0.8048,0.797,0.797,17536
1977-02-07,0.8048,0.8202,0.8048,0.8048,16772
1977-02-08,0.8048,0.8048,0.797,0.797,16387
1977-02-09,0.797,0.8124,0.797,0.797,43649
1977-02-10,0.797,0.797,0.7734,0.7811,15234
1977-02-11,0.7811,0.7811,0.7498,0.7498,23939
1977-02-14,0.7419,0.7419,0.7342,0.7342,22144
1977-02-15,0.7419,0.7654,0.7419,0.7654,28545
1977-02-16,0.7654,0.7734,0.7498,0.7654,31748
1977-02-17,0.7654,0.8048,0.7654,0.797,132879
1977-02-18,0.797,0.8202,0.797,0.8048,67847
1977-02-22,0.8124,0.8202,0.8124,0.8124,41989
1977-02-23,0.8124,0.8202,0.8048,0.8048,16643
1977-02-24,0.8048,0.8048,0.797,0.797,32388
1977-02-25,0.797,0.797,0.7811,0.7811,50950
1977-02-28,0.7811,0.797,0.7811,0.797,17536
1977-03-01,0.797,0.8202,0.797,0.8124,38401
1977-03-02,0.8124,0.8124,0.797,0.797,35459
1977-03-03,0.797,0.797,0.7811,0.7811,10756
1977-03-04,0.7811,0.797,0.7811,0.797,9342
1977-03-07,0.7811,0.7811,0.7654,0.7654,13438
1977-03-08,0.7654,0.7734,0.7654,0.7654,12162
1977-03-09,0.7654,0.7734,0.7654,0.7654,13956
1977-03-10,0.7654,0.797,0.7654,0.7811,27267
1977-03-11,0.7811,0.797,0.7811,0.7811,25215
1977-03-14,0.797,0.8202,0.797,0.8124,45569
1977-03-15,0.8124,0.8124,0.8048,0.8048,15743
1977-03-16,0.8048,0.8048,0.797,0.8048,23427
1977-03-17,0.8048,0.8048,0.797,0.797,12162
1977-03-18,0.8048,0.8048,0.797,0.797,12162
1977-03-21,0.797,0.797,0.7811,0.7811,21378
1977-03-22,0.7811,0.7811,0.7654,0.7654,14339
1977-03-23,0.7654,0.7654,0.7498,0.7498,17408
1977-03-24,0.7498,0.7654,0.7342,0.7342,29189
1977-03-25,0.7342,0.7419,0.7342,0.7342,14591
1977-03-28,0.7342,0.7419,0.7342,0.7342,13956
1977-03-29,0.7342,0.7419,0.7342,0.7419,26368
1977-03-30,0.7419,0.7498,0.7419,0.7498,20226
1977-03-31,0.7498,0.7498,0.7342,0.7342,17152
1977-04-01,0.7342,0.7734,0.7342,0.7654,38017
1977-04-04,0.7734,0.7811,0.7734,0.7734,36354
1977-04-05,0.7734,0.7811,0.7734,0.7734,23810
1977-04-06,0.7734,0.7811,0.7734,0.7811,58629
1977-04-07,0.7811,0.7811,0.7654,0.7811,50819
1977-04-11,0.7498,0.7498,0.7419,0.7419,21378
1977-04-12,0.7419,0.7654,0.7419,0.7419,7937
1977-04-13,0.7419,0.7654,0.7342,0.7498,27395
1977-04-14,0.7498,0.7654,0.7342,0.7498,17790
1977-04-15,0.7498,0.7811,0.7419,0.7811,44547
1977-04-18,0.7811,0.797,0.7498,0.7654,63241
1977-04-19,0.7498,0.7498,0.7342,0.7498,37380
1977-04-20,0.7419,0.7419,0.7342,0.7419,12415
1977-04-21,0.7419,0.7498,0.7419,0.7498,80392
1977-04-22,0.7498,0.7498,0.7342,0.7342,26242
1977-04-25,0.7342,0.7342,0.7108,0.7108,13956
1977-04-26,0.7108,0.7267,0.7108,0.7267,23043
1977-04-27,0.7267,0.7342,0.7267,0.7267,14339
1977-04-28,0.7267,0.7342,0.7108,0.7108,16256
1977-04-29,0.7108,0.7267,0.7108,0.7267,19204
1977-05-02,0.7267,0.7342,0.7108,0.7342,19204
1977-05-03,0.7342,0.7342,0.7033,0.7108,25859
1977-05-04,0.7108,0.7654,0.7108,0.7654,39814
1977-05-05,0.7654,0.8124,0.7654,0.8124,320412
1977-05-06,0.8202,0.8906,0.8124,0.8751,351646
1977-05-09,0.8751,0.9141,0.8595,0.9141,120204
1977-05-10,0.9141,0.9452,0.8906,0.9141,233240
1977-05-11,0.9218,0.9922,0.9218,0.9531,307867
1977-05-12,0.961,0.9922,0.961,0.9844,183054
1977-05-13,0.9844,0.9844,0.8906,0.961,92554
1977-05-16,0.961,0.9844,0.9452,0.9531,79240
