Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-10-05,3.5224,3.7111,3.4956,3.4956,9143430
1984-10-08,3.7291,3.7291,3.6302,3.7111,292908
1984-10-09,3.6573,3.7022,3.6482,3.6753,273322
1984-10-10,3.6842,3.6842,3.6211,3.6482,63212
1984-10-11,3.6302,3.738,3.6302,3.738,390399
1984-10-12,3.756,3.765,3.7291,3.7291,313833
1984-10-15,3.738,3.7828,3.7022,3.7828,358348
1984-10-16,3.8102,3.9447,3.8102,3.882,1136474
1984-10-17,3.8551,3.8551,3.756,3.7828,149123
1984-10-18,3.837,3.882,3.7828,3.882,68108
1984-10-19,3.9447,4.0794,3.9447,3.9987,2284967
1984-10-22,3.8908,3.9987,3.8908,3.9178,917015
1984-10-23,3.9178,4.0259,3.9178,3.9718,316504
1984-10-24,3.9626,4.0436,3.9447,3.9718,492783
1984-10-25,3.9626,3.9897,3.9447,3.9626,474977
1984-10-26,3.9447,3.9718,3.9178,3.9178,380159
1984-10-29,3.9447,3.9718,3.9178,3.9718,271098
1984-10-30,3.9718,4.2503,3.9718,4.1518,792815
1984-10-31,4.1246,4.2234,4.0794,4.2234,280003
1984-11-01,4.2234,4.5467,4.2234,4.3581,2496413
1984-11-02,4.3311,4.3581,4.3041,4.3581,416219
1984-11-05,4.3402,4.3581,4.3311,4.3311,300920
1984-11-06,4.3402,4.4119,4.3132,4.3853,457173
1984-11-07,4.3853,4.4031,4.3581,4.3853,650812
1984-11-08,4.3581,4.3759,4.3311,4.3311,226585
1984-11-09,4.3041,4.4839,4.3041,4.4389,397076
1984-11-12,4.4389,4.4389,4.3402,4.4389,257743
1984-11-13,4.4389,4.4389,4.3759,4.4389,316055
1984-11-14,4.3853,4.4301,4.3402,4.4301,503914
1984-11-15,4.4031,4.4119,4.3759,4.4031,483879
1984-11-16,4.3853,4.4031,4.2772,4.3132,1022957
1984-11-19,4.286,4.3132,4.0794,4.1155,110400
1984-11-20,4.0976,4.1693,4.0976,4.1423,101938
1984-11-21,4.1246,4.2323,4.1246,4.1963,132652
1984-11-23,4.1963,4.3581,4.1963,4.3581,146012
1984-11-26,4.3759,4.3759,4.2772,4.3132,96597
1984-11-27,4.3311,4.3311,4.3041,4.3041,77901
1984-11-28,4.2772,4.3132,4.2234,4.2323,585820
1984-11-29,4.2054,4.2054,4.0705,4.0705,86809
1984-11-30,4.0705,4.1246,4.0259,4.0976,189635
1984-12-03,4.0794,4.0794,3.9897,4.0525,2078860
1984-12-04,4.0436,4.0525,3.9987,4.0525,34277
1984-12-05,4.0259,4.0976,4.0259,4.0525,275549
1984-12-06,4.0794,4.1518,4.0705,4.1423,93482
1984-12-07,4.1423,4.1963,4.1155,4.1423,300477
1984-12-10,4.1246,4.1246,4.0525,4.0525,83240
1984-12-11,4.0794,4.1155,4.0525,4.1155,60540
1984-12-12,4.0705,4.1423,4.0705,4.1155,134438
1984-12-13,4.0976,4.1693,4.0794,4.1423,158026
1984-12-14,4.1155,4.1518,4.1155,4.1518,41840
1984-12-17,4.1246,4.1518,4.0794,4.1423,36946
1984-12-18,4.1693,4.3041,4.1518,4.3041,772340
1984-12-19,4.3311,4.3581,4.3041,4.3311,280003
1984-12-20,4.3041,4.3581,4.286,4.3132,193640
1984-12-21,4.3041,4.3311,4.3041,4.3041,136217
1984-12-24,4.3041,4.3132,4.2503,4.3041,363245
1984-12-26,4.3311,4.3311,4.2503,4.2503,15135
1984-12-27,4.2503,4.2503,4.1693,4.1963,112177
1984-12-28,4.2234,4.2234,4.1785,4.1785,39618
1984-12-31,4.1785,4.3132,4.1785,4.2772,114850
1985-01-02,4.2503,4.3132,4.2503,4.3132,147794
1985-01-03,4.286,4.3041,4.1963,4.2503,66327
1985-01-04,4.2142,4.2142,4.1604,4.1785,174946
1985-01-07,4.1874,4.2953,4.1874,4.2142,148681
1985-01-08,4.2142,4.2142,4.1874,4.1874,376601
1985-01-09,4.1874,4.1874,4.1604,4.1874,473198
1985-01-10,4.2054,4.2953,4.1874,4.2953,431351
1985-01-11,4.3132,4.3132,4.2054,4.2054,148681
1985-01-14,4.1785,4.286,4.1604,4.2591,742067
1985-01-15,4.3672,4.4658,4.3672,4.4389,376601
1985-01-16,4.4208,4.4208,4.3581,4.3938,101492
1985-01-17,4.4208,4.4208,4.3311,4.3581,513709
1985-01-18,4.3581,4.3581,4.286,4.3581,325406
1985-01-21,4.4119,4.5737,4.3853,4.5197,610749
1985-01-22,4.4927,4.5916,4.4658,4.4839,366361
1985-01-23,4.4658,4.4658,4.3853,4.4658,302260
1985-01-24,4.5467,4.5737,4.4119,4.4389,226585
1985-01-25,4.4658,4.5197,4.3853,4.3853,185182
1985-01-28,4.4208,4.4389,4.3853,4.4119,380159
1985-01-29,4.4208,4.4927,4.4119,4.4927,103719
1985-01-30,4.6007,4.6185,4.5197,4.5197,317841
1985-01-31,4.5467,4.6007,4.5467,4.5916,327186
1985-02-01,4.5916,4.5916,4.5379,4.5467,118411
1985-02-04,4.5379,4.6726,4.4927,4.6726,255072
1985-02-05,4.6635,4.7265,4.6366,4.6905,829762
1985-02-06,4.6995,4.8525,4.6635,4.8525,785251
1985-02-07,4.933,5.023,4.8791,4.9062,543975
1985-02-08,4.9062,4.9691,4.8974,4.9691,856471
1985-02-11,4.9512,4.9963,4.9512,4.9963,793707
1985-02-12,4.9963,5.0498,4.933,4.9963,596505
1985-02-13,4.9512,5.032,4.9245,5.032,269316
1985-02-14,5.032,5.032,4.9512,4.9512,273769
1985-02-15,4.9512,4.9781,4.8791,4.9691,247060
1985-02-19,4.933,4.9691,4.9062,4.9691,105054
1985-02-20,4.9691,4.9691,4.8525,4.933,212785
1985-02-21,4.933,4.9691,4.6007,4.7714,619654
1985-02-22,4.7447,4.7447,4.6007,4.6995,226135
1985-02-25,4.6726,4.6905,4.5197,4.6905,221242
1985-02-26,4.6726,4.8253,4.6635,4.7986,276440
1985-02-27,4.7986,4.8253,4.7447,4.8253,231480
1985-02-28,4.7986,4.8163,4.6905,4.7447,118857
1985-03-01,4.7532,4.8703,4.7447,4.7804,328522
1985-03-04,4.7714,4.7804,4.6995,4.6995,128203
1985-03-05,4.7265,4.7447,4.6726,4.6726,162036
1985-03-06,4.6905,4.6995,4.6635,4.6726,153578
1985-03-07,4.6635,4.6726,4.5737,4.6457,308490
1985-03-08,4.5737,4.5916,4.5111,4.5197,131767
1985-03-11,4.4927,4.5645,4.4479,4.5467,105499
1985-03-12,4.5467,4.5737,4.5197,4.5379,89026
1985-03-13,4.5111,4.5467,4.3938,4.4389,116630
1985-03-14,4.3938,4.5379,4.3672,4.4479,84581
1985-03-15,4.4839,4.5467,4.4119,4.5197,355676
1985-03-18,4.5111,4.5467,4.4658,4.5379,277326
1985-03-19,4.5467,4.6635,4.5197,4.6635,230142
1985-03-20,4.6905,4.8253,4.6726,4.6905,275994
1985-03-21,4.6726,4.8163,4.6366,4.6457,132652
1985-03-22,4.7175,4.7447,4.6905,4.6905,186073
1985-03-25,4.6726,4.7447,4.5916,4.5916,620543
1985-03-26,4.6185,4.6185,4.4658,4.5197,583594
1985-03-27,4.4927,4.5467,4.4927,4.5467,224358
1985-03-28,4.5737,4.6185,4.5737,4.5737,223911
1985-03-29,4.6007,4.6007,4.5467,4.6007,329412
1985-04-01,4.6007,4.6366,4.5737,4.6185,59652
1985-04-02,4.6366,4.6366,4.5916,4.5916,117075
1985-04-03,4.5737,4.5737,4.4839,4.4839,125979
1985-04-04,4.5017,4.5017,4.2772,4.3581,839112
1985-04-08,4.3488,4.3581,4.2234,4.2591,98822
1985-04-09,4.2503,4.2591,4.1785,4.2591,564011
1985-04-10,4.2591,4.3759,4.2591,4.3488,276440
1985-04-11,4.3581,4.3759,4.3221,4.3759,786136
1985-04-12,4.3759,4.3759,4.2591,4.2772,720703
1985-04-15,4.2503,4.3488,4.1963,4.3311,412210
1985-04-16,4.3221,4.3221,4.2234,4.2591,295137
1985-04-17,4.2503,4.3041,4.2503,4.3041,207889
1985-04-18,4.3311,4.3581,4.3221,4.3488,291575
1985-04-19,4.3221,4.3581,4.2953,4.2953,234150
1985-04-22,4.2953,4.3221,4.2591,4.2591,53865
1985-04-23,4.2953,4.3221,4.2591,4.3221,184293
1985-04-24,4.3221,4.4301,4.3221,4.3759,1152942
1985-04-25,4.4479,4.5467,4.4479,4.5467,360572
1985-04-26,4.5737,4.6457,4.5197,4.6096,421113
1985-04-29,4.5831,4.6457,4.5831,4.5831,325406
1985-04-30,4.5558,4.6007,4.4569,4.4569,178505
1985-05-01,4.4839,4.5467,4.4479,4.4479,176280
1985-05-02,4.3938,4.4208,4.3488,4.4208,715805
1985-05-03,4.4208,4.4301,4.4031,4.4301,158474
1985-05-06,4.4208,4.4301,4.3759,4.3938,744740
1985-05-07,4.4031,4.4301,4.4031,4.4208,348553
1985-05-08,4.4031,4.4301,4.3759,4.3938,596950
1985-05-09,4.4208,4.5467,4.4208,4.475,64102
1985-05-10,4.4839,4.6546,4.4839,4.6457,142006
1985-05-13,4.6815,4.7084,4.6726,4.6995,40957
1985-05-14,4.7084,4.7714,4.6995,4.7265,94374
1985-05-15,4.8253,4.8791,4.7265,4.7265,487440
1985-05-16,4.7447,4.8253,4.7265,4.8253,94374
1985-05-17,4.8343,4.9062,4.8253,4.9062,188300
1985-05-20,5.0498,5.2206,5.0498,5.1309,640577
1985-05-21,5.0768,5.0949,5.023,5.0949,401083
1985-05-22,4.9691,5.023,4.8703,5.023,460287
1985-05-23,4.9963,5.023,4.8791,4.9062,107283
1985-05-24,4.8791,5.0048,4.8791,5.0048,144676
1985-05-28,5.032,5.032,4.9062,4.9062,53865
1985-05-29,4.933,4.9691,4.9062,4.9062,146899
1985-05-30,4.8974,4.9691,4.8253,4.8525,168267
1985-05-31,4.8343,5.023,4.8253,4.933,381496
1985-06-03,4.9691,4.9963,4.933,4.9512,350333
1985-06-04,4.9691,5.032,4.933,5.023,210553
1985-06-05,5.023,5.059,4.9691,5.059,131319
1985-06-06,5.0949,5.0949,5.0048,5.0949,112625
1985-06-07,5.059,5.0949,5.0048,5.023,107283
1985-06-10,5.023,5.0498,4.9691,4.9963,129538
1985-06-11,4.9512,4.9691,4.8253,4.8703,1377300
1985-06-12,4.8073,4.8791,4.8073,4.8525,156248
1985-06-13,4.8703,4.8703,4.8253,4.8703,52973
1985-06-14,4.8703,4.8703,4.8525,4.8703,44072
1985-06-17,4.8343,4.8525,4.7986,4.8525,384614
1985-06-18,4.8343,4.8525,4.7714,4.8343,680193
1985-06-19,4.8343,4.8791,4.7714,4.8073,222576
1985-06-20,4.8073,4.8253,4.7986,4.8073,91705
1985-06-21,4.8253,5.1309,4.8253,5.1309,370813
1985-06-24,5.0498,5.0498,4.9691,4.9691,68997
1985-06-25,4.933,5.0498,4.9062,4.9512,303596
1985-06-26,4.933,4.933,4.8253,4.8253,112625
1985-06-27,4.8525,4.8525,4.6815,4.7986,343659
1985-06-28,4.8253,4.8343,4.5197,4.6457,297808
1985-07-01,4.6546,4.6815,4.6277,4.6546,145118
1985-07-02,4.6546,4.7804,4.6546,4.6546,503024
1985-07-03,4.7623,4.7895,4.7265,4.7623,301370
1985-07-05,4.7895,4.7895,4.7532,4.7804,187854
1985-07-08,4.7895,4.8253,4.7804,4.8073,168267
1985-07-09,4.8343,4.8974,4.8343,4.8613,112625
1985-07-10,4.8974,4.9781,4.8791,4.9512,54754
1985-07-11,4.9512,5.032,4.9512,5.0048,125979
1985-07-12,5.032,5.059,4.9963,4.9963,315169
1985-07-15,4.9963,5.0048,4.9781,4.9963,191860
1985-07-16,4.9781,5.0048,4.96,4.96,313833
1985-07-17,4.9781,5.0768,4.96,5.0768,304483
1985-07-18,5.0498,5.0949,4.9963,4.9963,187854
1985-07-19,4.9963,5.023,4.9963,5.023,112177
1985-07-22,5.023,5.0768,5.0048,5.059,175388
1985-07-23,5.0949,5.1218,4.933,4.933,179395
1985-07-24,4.9062,4.9062,4.7895,4.8791,474531
1985-07-25,4.9062,4.933,4.8073,4.8525,162479
1985-07-26,4.8613,4.9062,4.8343,4.8791,76123
1985-07-29,4.8253,4.8343,4.7895,4.8073,182512
1985-07-30,4.8073,4.8073,4.7532,4.7623,261302
1985-07-31,4.7623,4.8253,4.7623,4.8073,106391
1985-08-01,4.8343,5.1041,4.8343,5.023,245724
1985-08-02,4.9963,5.059,4.9963,5.0048,32496
1985-08-05,4.9963,4.9963,4.9062,4.933,520824
1985-08-06,4.933,4.933,4.8253,4.8525,177170
1985-08-07,4.8253,4.8525,4.8073,4.8343,105499
1985-08-08,4.8253,4.9062,4.8253,4.8791,100605
1985-08-09,4.8791,4.8791,4.8253,4.8343,84581
1985-08-12,4.8253,4.8343,4.7532,4.7623,41840
1985-08-13,4.7532,4.8253,4.7532,4.7623,205661
1985-08-14,4.7623,4.8073,4.7354,4.7623,253293
1985-08-15,4.7623,4.7895,4.6905,4.7265,65880
1985-08-16,4.7532,4.7532,4.7084,4.7084,40061
