Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1980-01-02,0.18194,0.18194,0.18194,0.18194,847511
1980-01-03,0.18194,0.18194,0.17237,0.17237,568723
1980-01-04,0.17237,0.18194,0.17237,0.18194,323393
1980-01-07,0.18194,0.18194,0.17237,0.17237,702543
1980-01-08,0.17237,0.18194,0.16269,0.17237,903266
1980-01-09,0.17237,0.17237,0.16269,0.16269,334543
1980-01-10,0.16269,0.17237,0.16269,0.17237,981324
1980-01-11,0.17237,0.17237,0.17237,0.17237,880965
1980-01-14,0.17237,0.17237,0.16269,0.17237,1338174
1980-01-15,0.17237,0.18194,0.17237,0.17237,1616960
1980-01-16,0.17237,0.18194,0.17237,0.17237,312239
1980-01-17,0.17237,0.17237,0.17237,0.17237,501818
1980-01-18,0.17237,0.19148,0.17237,0.19148,1382780
1980-01-21,0.19148,0.19148,0.18194,0.18194,1193205
1980-01-22,0.18194,0.19148,0.18194,0.18194,479514
1980-01-23,0.18194,0.18194,0.17237,0.17237,490664
1980-01-24,0.17237,0.18194,0.17237,0.17237,657933
1980-01-25,0.17237,0.18194,0.17237,0.17237,434908
1980-01-28,0.17237,0.18194,0.17237,0.17237,747150
1980-01-29,0.17237,0.18194,0.17237,0.17237,1115145
1980-01-30,0.17237,0.17237,0.16269,0.16269,1025933
1980-01-31,0.17237,0.17237,0.17237,0.17237,1260115
1980-02-01,0.17237,0.18194,0.17237,0.17237,1170904
1980-02-04,0.17237,0.18194,0.17237,0.18194,914418
1980-02-05,0.18194,0.18194,0.18194,0.18194,524118
1980-02-06,0.18194,0.18194,0.18194,0.18194,858660
1980-02-07,0.18194,0.18194,0.18194,0.18194,691389
1980-02-08,0.18194,0.18194,0.17237,0.17237,256486
1980-02-11,0.17237,0.18194,0.17237,0.17237,691389
1980-02-12,0.17237,0.18194,0.17237,0.17237,1193205
1980-02-13,0.17237,0.18194,0.17237,0.17237,1092843
1980-02-14,0.17237,0.17237,0.17237,0.17237,635632
1980-02-15,0.17237,0.17237,0.16269,0.17237,869814
1980-02-19,0.17237,0.17237,0.16269,0.17237,278784
1980-02-20,0.17237,0.17237,0.16269,0.16269,981324
1980-02-21,0.16269,0.16269,0.16269,0.16269,2531379
1980-02-22,0.16269,0.16269,0.16269,0.16269,1338174
1980-02-25,0.16269,0.16269,0.15314,0.16269,925570
1980-02-26,0.16269,0.16269,0.15314,0.16269,981324
1980-02-27,0.16269,0.16269,0.15314,0.15314,234179
1980-02-28,0.15314,0.15314,0.15314,0.15314,367996
1980-02-29,0.15314,0.15314,0.15314,0.15314,847511
1980-03-03,0.16269,0.16269,0.16269,0.16269,457212
1980-03-04,0.16269,0.16269,0.16269,0.16269,133818
1980-03-05,0.16269,0.16269,0.15314,0.15314,735994
1980-03-06,0.15314,0.15314,0.14348,0.15314,758298
1980-03-07,0.15314,0.15314,0.14348,0.15314,579873
1980-03-10,0.15314,0.15314,0.14348,0.15314,1349326
1980-03-11,0.15314,0.15314,0.14348,0.14348,613330
1980-03-12,0.15314,0.15314,0.15314,0.15314,657933
1980-03-13,0.15314,0.15314,0.15314,0.15314,1561200
1980-03-14,0.15314,0.15314,0.15314,0.15314,1115145
1980-03-17,0.15314,0.15314,0.15314,0.15314,2230290
1980-03-18,0.15314,0.16269,0.15314,0.16269,635632
1980-03-19,0.16269,0.16269,0.16269,0.16269,267634
1980-03-20,0.16269,0.16269,0.16269,0.16269,602178
1980-03-21,0.16269,0.16269,0.16269,0.16269,167271
1980-03-24,0.16269,0.16269,0.15314,0.15314,1427384
1980-03-25,0.15314,0.15314,0.15314,0.15314,825207
1980-03-26,0.15314,0.16269,0.15314,0.16269,1438536
1980-03-27,0.15314,0.15314,0.15314,0.15314,1137449
1980-03-28,0.15314,0.16269,0.15314,0.16269,524118
1980-03-31,0.16269,0.16269,0.15314,0.16269,1014782
1980-04-01,0.16269,0.16269,0.16269,0.16269,457212
1980-04-02,0.16269,0.16269,0.16269,0.16269,245332
1980-04-03,0.16269,0.16269,0.16269,0.16269,22302
1980-04-07,0.16269,0.16269,0.15314,0.15314,122664
1980-04-08,0.15314,0.15314,0.15314,0.15314,345698
1980-04-09,0.15314,0.16269,0.15314,0.15314,446055
1980-04-10,0.15314,0.16269,0.15314,0.15314,657933
1980-04-11,0.15314,0.16269,0.15314,0.15314,646787
1980-04-14,0.15314,0.15314,0.15314,0.15314,167271
1980-04-15,0.15314,0.15314,0.15314,0.15314,256486
