Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1982-01-04,1.8838,1.906,1.8615,1.8838,215292
1982-01-05,1.8392,1.8838,1.7723,1.7947,664641
1982-01-06,1.7947,1.817,1.7503,1.7947,565886
1982-01-07,1.906,1.995,1.7947,1.995,858214
1982-01-08,2.032,2.0766,1.9728,2.0766,1460145
1982-01-11,2.0097,2.0766,1.9503,1.9503,1204854
1982-01-12,1.995,2.0097,1.9503,1.995,511076
1982-01-13,2.0097,2.0543,1.9728,1.9728,1419161
1982-01-14,2.0097,2.0543,1.9728,2.032,657236
1982-01-15,2.0988,2.1433,2.032,2.1433,1263120
1982-01-18,2.2102,2.2767,2.1212,2.2767,2604266
1982-01-19,2.2323,2.2915,2.1433,2.1656,967834
1982-01-20,2.1878,2.2323,2.1433,2.1878,819696
1982-01-21,2.2102,2.3139,2.0988,2.2323,929811
1982-01-22,2.2102,2.2323,2.1656,2.2323,707113
1982-01-25,2.1878,2.2102,2.1433,2.1433,625636
1982-01-26,2.1878,2.2102,2.1433,2.1878,474040
1982-01-27,2.1656,2.2102,2.1212,2.1656,741677
1982-01-28,2.2767,2.3584,2.1656,2.3584,1208804
1982-01-29,2.3359,2.3806,2.2767,2.2915,2058623
1982-02-01,2.2323,2.2767,2.1878,2.2102,577738
1982-02-02,2.2544,2.3139,2.1878,2.2767,480957
1982-02-03,2.3359,2.3806,2.2767,2.2915,913517
1982-02-04,2.3359,2.3806,2.2915,2.3806,674522
1982-02-05,2.4696,2.5141,2.4253,2.4918,1543102
1982-02-08,2.4027,2.4918,2.3139,2.3139,928825
1982-02-09,2.2915,2.3584,2.2102,2.2915,1287317
1982-02-10,2.3584,2.4027,2.2915,2.3584,379235
1982-02-11,2.3584,2.3806,2.3359,2.3806,573292
1982-02-12,2.3806,2.4027,2.3584,2.3584,278991
1982-02-16,2.4027,2.4696,2.3139,2.4696,703162
1982-02-17,2.5362,2.5958,2.4696,2.5735,3235827
1982-02-18,2.6625,2.7292,2.5958,2.6404,2254659
1982-02-19,2.5735,2.7067,2.4253,2.4918,1714942
1982-02-22,2.5362,2.6404,2.4253,2.4253,1535698
1982-02-23,2.4696,2.5362,2.3806,2.5141,1735190
1982-02-24,2.6178,2.6625,2.5511,2.6625,1262627
1982-02-25,2.7292,2.8106,2.6404,2.7515,2738574
1982-02-26,2.7735,2.8106,2.7292,2.796,1612232
1982-03-01,2.796,2.833,2.7515,2.7735,1559891
1982-03-02,2.7292,2.796,2.6625,2.7067,1110048
1982-03-03,2.7515,2.796,2.7067,2.7292,1761357
1982-03-04,2.7292,2.7515,2.6847,2.7067,921911
1982-03-05,2.7515,2.796,2.7067,2.7292,1244361
1982-03-08,2.7515,2.833,2.6404,2.6847,1789999
1982-03-09,2.6404,2.7067,2.5735,2.6404,1816171
1982-03-10,2.6625,2.7292,2.5958,2.5958,1089305
1982-03-11,2.6178,2.7067,2.5141,2.5362,1607789
1982-03-12,2.4696,2.5141,2.4027,2.4253,1280401
1982-03-15,2.4477,2.4918,2.3806,2.4477,1023138
1982-03-16,2.5141,2.5511,2.4477,2.5362,759945
1982-03-17,2.5511,2.5735,2.5141,2.5735,681927
1982-03-18,2.6847,2.7735,2.5735,2.7735,2659073
1982-03-19,2.9223,2.9665,2.855,2.9223,2864496
1982-03-22,2.9441,2.9665,2.8997,2.9223,1645812
1982-03-23,2.855,2.9223,2.796,2.8106,1748520
