Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,0.2817,0.28988,0.2817,0.28988,3517529
1970-01-05,0.28988,0.29776,0.28988,0.29776,2747599
1970-01-06,0.29776,0.29776,0.29776,0.29776,2430564
1970-01-07,0.29776,0.29776,0.29776,0.29776,3396753
1970-01-08,0.29776,0.29776,0.29776,0.29776,2792889
1970-01-09,0.29776,0.29776,0.28988,0.28988,4091204
1970-01-12,0.28988,0.28988,0.27358,0.27358,3064629
1970-01-13,0.27358,0.27358,0.26554,0.27358,2958948
1970-01-14,0.27358,0.27358,0.26554,0.27358,1253023
1970-01-15,0.27358,0.27358,0.26554,0.27358,2324887
1970-01-16,0.27358,0.27358,0.26554,0.26554,2038052
1970-01-19,0.26554,0.26554,0.25762,0.25762,1600249
1970-01-20,0.25762,0.26554,0.24953,0.26554,3547721
1970-01-21,0.26554,0.27358,0.26554,0.26554,1479478
1970-01-22,0.26554,0.26554,0.25762,0.25762,2445663
1970-01-23,0.25762,0.26554,0.25762,0.25762,2279598
1970-01-26,0.25762,0.25762,0.25762,0.25762,2113538
1970-01-27,0.25762,0.25762,0.25762,0.25762,2309794
1970-01-28,0.25762,0.25762,0.24953,0.24953,2324887
1970-01-29,0.24953,0.24953,0.24151,0.24151,4061009
1970-01-30,0.24151,0.24953,0.24151,0.24953,3698689
1970-02-02,0.24953,0.25762,0.24953,0.25762,4544104
1970-02-03,0.25762,0.27358,0.25762,0.26554,5027198
1970-02-04,0.26554,0.27358,0.26554,0.27358,1796506
1970-02-05,0.27358,0.27358,0.27358,0.27358,407609
1970-02-06,0.2817,0.28988,0.2817,0.28988,1841795
1970-02-09,0.28988,0.29776,0.28988,0.28988,1162445
1970-02-10,0.28988,0.28988,0.2817,0.2817,951091
1970-02-11,0.2817,0.2817,0.27358,0.2817,2928757
1970-02-12,0.2817,0.2817,0.27358,0.2817,815224
1970-02-13,0.2817,0.2817,0.27358,0.2817,875608
1970-02-16,0.2817,0.28988,0.2817,0.2817,528384
1970-02-17,0.2817,0.2817,0.27358,0.2817,966186
1970-02-18,0.2817,0.28988,0.2817,0.28988,1328508
1970-02-19,0.28988,0.29776,0.28988,0.28988,4272362
1970-02-20,0.28988,0.28988,0.28988,0.28988,2098442
1970-02-24,0.28988,0.28988,0.2817,0.2817,2173924
1970-02-25,0.2817,0.29776,0.2817,0.29776,5434810
1970-02-26,0.29776,0.29776,0.28988,0.29776,1962569
1970-02-27,0.29776,0.29776,0.28988,0.29776,1539863
1970-03-02,0.29776,0.29776,0.28988,0.28988,1705924
1970-03-03,0.28988,0.29776,0.28988,0.29776,1434184
1970-03-04,0.29776,0.29776,0.28988,0.28988,1539863
1970-03-05,0.28988,0.28988,0.2817,0.28988,2732499
1970-03-06,0.28988,0.28988,0.2817,0.28988,1615346
1970-03-09,0.28988,0.28988,0.2817,0.2817,1222831
