Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,0.41454,0.41454,0.41454,0.41454,652106
1982-01-04,0.42319,0.42319,0.41454,0.42319,1511697
1982-01-05,0.42319,0.42319,0.41454,0.42319,563179
1982-01-06,0.41454,0.41454,0.41454,0.41454,689154
1982-01-07,0.40591,0.41454,0.40591,0.40591,5639222
1982-01-08,0.41454,0.41454,0.40591,0.40591,229716
1982-01-11,0.40591,0.41454,0.40591,0.40591,1867392
1982-01-12,0.39738,0.40591,0.39738,0.39738,7728922
1982-01-13,0.39738,0.39738,0.38848,0.39738,1030028
1982-01-14,0.38848,0.39738,0.38006,0.38006,2756626
1982-01-15,0.38848,0.39738,0.38006,0.38848,1985953
1982-01-18,0.39738,0.40591,0.39738,0.40591,629870
1982-01-19,0.40591,0.40591,0.40591,0.40591,111152
1982-01-20,0.40591,0.40591,0.40591,0.40591,237127
1982-01-21,0.39738,0.40591,0.38848,0.38848,1511697
1982-01-22,0.39738,0.39738,0.38848,0.39738,311232
1982-01-25,0.39738,0.39738,0.38848,0.39738,889234
1982-01-26,0.38848,0.39738,0.38848,0.38848,459439
1982-01-27,0.39738,0.40591,0.39738,0.39738,2504675
1982-01-28,0.39738,0.40591,0.39738,0.39738,4283142
1982-01-29,0.40591,0.41454,0.40591,0.40591,1874800
1982-02-01,0.40591,0.40591,0.40591,0.40591,3141959
1982-02-02,0.40591,0.41454,0.40591,0.40591,1096723
1982-02-03,0.39738,0.40591,0.39738,0.39738,703977
1982-02-04,0.39738,0.40591,0.38848,0.40591,4816684
1982-02-05,0.41454,0.42319,0.40591,0.42319,1030028
1982-02-08,0.42319,0.43179,0.41454,0.42319,1815523
1982-02-09,0.41454,0.41454,0.40591,0.40591,311232
1982-02-10,0.39738,0.40591,0.39738,0.39738,2845548
1982-02-11,0.39738,0.39738,0.38848,0.39738,4209040
1982-02-12,0.39738,0.39738,0.39738,0.39738,741029
1982-02-16,0.39738,0.39738,0.38848,0.38848,1548752
1982-02-17,0.39738,0.39738,0.39738,0.39738,1407953
1982-02-18,0.40591,0.40591,0.40591,0.40591,526129
1982-02-19,0.40591,0.41454,0.40591,0.40591,726206
1982-02-22,0.40591,0.41454,0.40591,0.40591,829951
1982-02-23,0.39738,0.39738,0.38848,0.38848,2260136
1982-02-24,0.39738,0.39738,0.38848,0.39738,941105
1982-02-25,0.41454,0.42319,0.39738,0.40591,3090086
1982-02-26,0.41454,0.41454,0.40591,0.41454,4097884
1982-03-01,0.41454,0.42319,0.41454,0.42319,815129
1982-03-02,0.42319,0.42319,0.41454,0.42319,992978
1982-03-03,0.42319,0.42319,0.41454,0.42319,1200466
1982-03-04,0.41454,0.42319,0.41454,0.41454,3475423
1982-03-05,0.40591,0.41454,0.40591,0.40591,2571366
1982-03-08,0.39738,0.41454,0.38006,0.38006,2363879
1982-03-09,0.38848,0.38848,0.38006,0.38848,2675112
1982-03-10,0.38848,0.38848,0.38848,0.38848,570591
1982-03-11,0.40591,0.41454,0.39738,0.41454,1044850
1982-03-12,0.40591,0.41454,0.39738,0.39738,1741415
1982-03-15,0.38006,0.38848,0.37132,0.38006,3742191
1982-03-16,0.38006,0.38006,0.37132,0.37132,2601005
1982-03-17,0.37132,0.38006,0.3627,0.38006,1252336
1982-03-18,0.38006,0.38006,0.37132,0.38006,689154
1982-03-19,0.37132,0.38006,0.37132,0.38006,1941493
1982-03-22,0.38006,0.38006,0.37132,0.38006,392744
1982-03-23,0.38848,0.39738,0.38006,0.39738,4846321
1982-03-24,0.38848,0.39738,0.38848,0.38848,489078
1982-03-25,0.38848,0.39738,0.38848,0.38848,1237515
1982-03-26,0.38848,0.38848,0.38848,0.38848,615054
1982-03-29,0.38848,0.38848,0.38848,0.38848,244540
1982-03-30,0.38006,0.38006,0.38006,0.38006,133382
1982-03-31,0.38848,0.38848,0.38006,0.38006,3186417
1982-04-01,0.38006,0.38848,0.38006,0.38848,4409118
1982-04-02,0.39738,0.39738,0.38848,0.39738,1659902
