Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,1.6654,1.7075,1.6654,1.7075,67004
1970-01-05,1.7075,1.7177,1.7075,1.7177,86040
1970-01-06,1.7177,1.7177,1.6811,1.6865,100885
1970-01-07,1.6865,1.7075,1.6762,1.7075,75761
1970-01-08,1.7075,1.7655,1.7075,1.7655,287046
1970-01-09,1.7655,1.7968,1.7177,1.7389,728281
1970-01-12,1.7389,1.7389,1.6966,1.7075,73859
1970-01-13,1.7075,1.7075,1.6917,1.7075,62813
1970-01-14,1.7075,1.7075,1.6811,1.6865,36550
1970-01-15,1.6865,1.6917,1.6762,1.6811,44541
1970-01-16,1.6811,1.6917,1.6762,1.6762,50254
1970-01-19,1.6762,1.7075,1.6762,1.6865,59769
1970-01-20,1.6865,1.6865,1.6654,1.6654,54823
1970-01-21,1.6654,1.6762,1.6549,1.6654,104689
1970-01-22,1.6654,1.6811,1.6549,1.6654,56722
1970-01-23,1.6654,1.6811,1.6493,1.6549,48731
1970-01-26,1.6549,1.6549,1.6073,1.6128,253927
1970-01-27,1.6128,1.6128,1.597,1.597,196060
1970-01-28,1.6128,1.6391,1.6128,1.6287,86797
1970-01-29,1.6287,1.6287,1.597,1.597,108498
1970-01-30,1.6128,1.6287,1.6128,1.6287,87943
1970-02-02,1.6287,1.6443,1.6128,1.6128,94793
1970-02-03,1.6128,1.6654,1.597,1.6549,95177
1970-02-04,1.6549,1.7075,1.6493,1.6654,77280
1970-02-05,1.6654,1.6654,1.6287,1.6287,88705
1970-02-06,1.6287,1.6654,1.6287,1.6493,70809
1970-02-09,1.6549,1.6811,1.6549,1.6654,106217
1970-02-10,1.6654,1.6654,1.6493,1.6549,62435
1970-02-11,1.6549,1.6762,1.6493,1.6654,54058
1970-02-12,1.6762,1.6917,1.6762,1.6811,75380
1970-02-13,1.6811,1.6865,1.6549,1.6654,146190
1970-02-16,1.6654,1.6917,1.6654,1.6865,66623
1970-02-17,1.6865,1.7177,1.6654,1.7177,82989
1970-02-18,1.7177,1.76,1.7177,1.76,92507
1970-02-19,1.76,1.7655,1.7389,1.76,95177
1970-02-20,1.76,1.7863,1.76,1.7756,86040
1970-02-24,1.7756,1.7863,1.7655,1.7756,73474
1970-02-25,1.7756,1.8492,1.7756,1.8335,143145
1970-02-26,1.8335,1.8335,1.7968,1.8284,99743
1970-02-27,1.8284,1.8492,1.807,1.8284,101266
1970-03-02,1.8284,1.8492,1.8176,1.8492,108498
1970-03-03,1.8492,1.8913,1.8492,1.8913,123730
1970-03-04,1.8913,1.9122,1.8755,1.9122,130961
1970-03-05,1.9122,1.9387,1.8913,1.9122,115353
1970-03-06,1.9017,1.9017,1.8755,1.8913,52917
1970-03-09,1.8599,1.8599,1.8176,1.8386,69666
1970-03-10,1.8386,1.8492,1.8176,1.8386,54058
1970-03-11,1.8386,1.8807,1.8386,1.8649,46828
1970-03-12,1.8649,1.8649,1.8386,1.8599,63195
1970-03-13,1.8599,1.8649,1.8386,1.8599,57103
1970-03-16,1.8335,1.8335,1.8021,1.807,57866
1970-03-17,1.807,1.8386,1.8021,1.8335,72336
1970-03-18,1.8335,1.8492,1.807,1.8176,63574
1970-03-19,1.8176,1.8176,1.8021,1.8021,31601
1970-03-20,1.8021,1.8021,1.7756,1.7914,69666
1970-03-23,1.7914,1.8021,1.7756,1.7914,66623
1970-03-24,1.7914,1.8335,1.7863,1.8335,48350
1970-03-25,1.8335,1.8599,1.8284,1.8492,98221
1970-03-26,1.8492,1.8599,1.8335,1.8492,77280
1970-03-30,1.8492,1.8599,1.8176,1.8176,46828
1970-03-31,1.8176,1.8492,1.8021,1.8335,45687
1970-04-01,1.8335,1.8807,1.8284,1.8807,75380
1970-04-02,1.8807,1.8913,1.8649,1.8913,71569
1970-04-03,1.8807,1.8807,1.8599,1.8807,55204
1970-04-06,1.8755,1.8755,1.8599,1.8755,59769
1970-04-07,1.8755,1.928,1.8649,1.9071,99743
1970-04-08,1.9071,1.9173,1.9017,1.9071,46444
1970-04-09,1.9071,1.9173,1.9017,1.9017,78045
1970-04-10,1.9017,1.9071,1.8703,1.8703,60148
1970-04-13,1.8703,1.8807,1.8492,1.8492,44541
1970-04-14,1.8492,1.8599,1.8176,1.8386,65098
1970-04-15,1.8649,1.8913,1.8649,1.8913,104311
1970-04-16,1.8913,1.8913,1.8492,1.8492,91367
1970-04-17,1.8492,1.8649,1.7968,1.807,54058
1970-04-20,1.807,1.8492,1.8021,1.8386,35022
1970-04-21,1.8386,1.8599,1.8176,1.8335,52535
1970-04-22,1.8335,1.8599,1.8176,1.8335,48731
1970-04-23,1.8176,1.8176,1.7655,1.7863,102789
1970-04-24,1.7863,1.7968,1.7655,1.7756,43781
1970-04-27,1.7756,1.7863,1.7389,1.7389,68144
1970-04-28,1.7389,1.8284,1.7228,1.7389,140098
1970-04-29,1.7389,1.7389,1.6762,1.7389,127534
1970-04-30,1.7389,1.7756,1.7177,1.7285,59009
1970-05-01,1.7285,1.76,1.6966,1.7389,31981
1970-05-04,1.7338,1.7338,1.6865,1.6966,67004
1970-05-05,1.6966,1.7177,1.6865,1.7022,51394
1970-05-06,1.7022,1.7863,1.6966,1.7177,99743
1970-05-07,1.7177,1.76,1.7075,1.7338,52917
1970-05-08,1.7338,1.76,1.7285,1.7493,47968
1970-05-11,1.7493,1.7493,1.7338,1.7338,49871
1970-05-12,1.7338,1.7705,1.7285,1.7493,76903
1970-05-13,1.7493,1.76,1.7285,1.7493,49871
1970-05-14,1.7177,1.7177,1.6707,1.6865,113066
1970-05-15,1.6865,1.7177,1.66,1.6966,103930
1970-05-18,1.6966,1.7177,1.6865,1.7022,39595
1970-05-19,1.6966,1.6966,1.6549,1.66,59009
1970-05-20,1.66,1.6707,1.6443,1.6443,74995
1970-05-21,1.6443,1.6443,1.6181,1.6336,106977
1970-05-22,1.6336,1.6865,1.6181,1.6181,105452
1970-05-25,1.6181,1.6287,1.5657,1.5657,121443
1970-05-26,1.5657,1.5657,1.513,1.5341,180453
1970-05-27,1.5445,1.6073,1.5445,1.597,140480
1970-05-28,1.6073,1.66,1.6073,1.6443,159132
1970-05-29,1.6443,1.6762,1.6336,1.6707,68525
1970-06-01,1.6707,1.6865,1.6443,1.6865,62053
1970-06-02,1.6865,1.6865,1.6443,1.6762,49491
1970-06-03,1.6762,1.6865,1.6549,1.66,57484
1970-06-04,1.66,1.6865,1.6549,1.6549,44162
1970-06-05,1.6443,1.6443,1.6022,1.6022,67764
1970-06-08,1.6022,1.6654,1.597,1.6287,44541
1970-06-09,1.6287,1.6654,1.6181,1.6549,30078
1970-06-10,1.6443,1.6443,1.6181,1.6287,30457
1970-06-11,1.6287,1.6391,1.6073,1.6181,38834
1970-06-12,1.6181,1.6287,1.6073,1.6181,28176
1970-06-15,1.6181,1.6336,1.6073,1.6181,35405
1970-06-16,1.6181,1.6966,1.6181,1.6865,124492
1970-06-17,1.6865,1.7075,1.6443,1.6443,51394
1970-06-18,1.6443,1.6654,1.6391,1.66,26266
1970-06-19,1.66,1.6654,1.6443,1.6443,37688
1970-06-22,1.6391,1.6391,1.6181,1.6181,46063
1970-06-23,1.6073,1.6073,1.5761,1.597,78425
1970-06-24,1.597,1.6022,1.5606,1.571,43781
1970-06-25,1.571,1.597,1.5548,1.5657,32740
1970-06-26,1.5657,1.5864,1.5606,1.5657,35782
1970-06-29,1.5657,1.5864,1.5548,1.5548,36550
1970-06-30,1.5548,1.571,1.5548,1.5606,49871
1970-07-01,1.5606,1.5657,1.5445,1.5445,33884
