Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1986-03-13,0.06686,0.07495,0.06686,0.07495,1378217494
1986-03-14,0.07495,0.07495,0.07495,0.07495,411626370
1986-03-17,0.07495,0.07495,0.07495,0.07495,177884137
1986-03-18,0.07495,0.07495,0.07495,0.07495,90519335
1986-03-19,0.07495,0.07495,0.07495,0.07495,63975201
1986-03-20,0.07495,0.07495,0.06686,0.07495,78055131
1986-03-21,0.07495,0.07495,0.06686,0.06686,80132499
1986-03-24,0.06686,0.06686,0.06686,0.06686,87210939
1986-03-25,0.06686,0.06686,0.06686,0.06686,42855305
1986-03-26,0.06686,0.07495,0.06686,0.06686,30391105
1986-03-27,0.06686,0.07495,0.06686,0.07495,22504805
1986-03-31,0.07495,0.07495,0.06686,0.07495,17195982
1986-04-01,0.07495,0.07495,0.06686,0.06686,14810856
1986-04-02,0.06686,0.07495,0.06686,0.07495,36084629
1986-04-03,0.07495,0.07495,0.07495,0.07495,30775803
1986-04-04,0.07495,0.07495,0.07495,0.07495,35507586
1986-04-07,0.07495,0.07495,0.06686,0.06686,22120109
1986-04-08,0.06686,0.07495,0.06686,0.07495,13695234
1986-04-09,0.07495,0.07495,0.07495,0.07495,16234238
1986-04-10,0.07495,0.07495,0.07495,0.07495,18542420
1986-04-11,0.07495,0.07495,0.07495,0.07495,23004913
1986-04-14,0.07495,0.07495,0.07495,0.07495,16234238
1986-04-15,0.07495,0.07495,0.07495,0.07495,12425732
1986-04-16,0.07495,0.07495,0.07495,0.07495,42624489
1986-04-17,0.07495,0.07495,0.07495,0.07495,29390894
1986-04-18,0.07495,0.07495,0.07495,0.07495,28890787
1986-04-21,0.07495,0.07495,0.07495,0.07495,30621925
1986-04-22,0.07495,0.07495,0.07495,0.07495,20773665
1986-04-23,0.07495,0.07495,0.07495,0.07495,20850610
1986-04-24,0.07495,0.08347,0.07495,0.08347,83287014
1986-04-25,0.08347,0.09176,0.08347,0.09176,114601395
1986-04-28,0.09176,0.09176,0.08347,0.09176,38585160
1986-04-29,0.09176,0.09176,0.08347,0.08347,40508651
1986-04-30,0.08347,0.08347,0.08347,0.08347,41278047
1986-05-01,0.08347,0.08347,0.08347,0.08347,72592427
1986-05-02,0.08347,0.08347,0.08347,0.08347,27044236
1986-05-05,0.08347,0.08347,0.08347,0.08347,4347085
1986-05-06,0.08347,0.08347,0.08347,0.08347,13002776
1986-05-07,0.08347,0.08347,0.08347,0.08347,6886083
1986-05-08,0.08347,0.08347,0.08347,0.08347,4731782
1986-05-09,0.08347,0.08347,0.08347,0.08347,8117119
1986-05-12,0.08347,0.08347,0.08347,0.08347,14002991
1986-05-13,0.08347,0.08347,0.08347,0.08347,5116479
1986-05-14,0.08347,0.08347,0.08347,0.08347,12425732
1986-05-15,0.08347,0.08347,0.08347,0.08347,5078007
1986-05-16,0.08347,0.08347,0.08347,0.08347,15964947
1986-05-19,0.08347,0.08347,0.08347,0.08347,14695448
1986-05-20,0.08347,0.08347,0.08347,0.08347,82786912
1986-05-21,0.08347,0.08347,0.08347,0.08347,10810004
1986-05-22,0.08347,0.08347,0.08347,0.08347,5885872
1986-05-23,0.08347,0.08347,0.08347,0.08347,5462703
1986-05-27,0.08347,0.08347,0.08347,0.08347,18542420
1986-05-28,0.08347,0.08347,0.08347,0.08347,20735201
1986-05-29,0.08347,0.09176,0.08347,0.09176,61013033
1986-05-30,0.09176,0.09176,0.09176,0.09176,36161565
1986-06-02,0.09176,0.09176,0.09176,0.09176,26351784
1986-06-03,0.09176,0.09176,0.08347,0.09176,6693738
1986-06-04,0.09176,0.09176,0.08347,0.09176,6309041
1986-06-05,0.09176,0.09176,0.08347,0.09176,18311605
1986-06-06,0.09176,0.09176,0.09176,0.09176,4577899
1986-06-09,0.09176,0.09176,0.08347,0.08347,16926691
1986-06-10,0.08347,0.08347,0.08347,0.08347,4577899
1986-06-11,0.08347,0.08347,0.08347,0.08347,3077580
1986-06-12,0.08347,0.08347,0.08347,0.08347,18311605
1986-06-13,0.08347,0.08347,0.08347,0.08347,10540711
1986-06-16,0.08347,0.08347,0.08347,0.08347,12810429
1986-06-17,0.08347,0.08347,0.08347,0.08347,17465266
1986-06-18,0.08347,0.08347,0.08347,0.08347,5808934
1986-06-19,0.08347,0.08347,0.08347,0.08347,11310108
1986-06-20,0.08347,0.08347,0.08347,0.08347,5078007
1986-06-23,0.08347,0.08347,0.08347,0.08347,61705488
1986-06-24,0.08347,0.08347,0.08347,0.08347,19465695
1986-06-25,0.08347,0.08347,0.08347,0.08347,20350501
1986-06-26,0.08347,0.08347,0.07495,0.07495,25582388
1986-06-27,0.07495,0.07495,0.07495,0.07495,13887583
1986-06-30,0.07495,0.08347,0.07495,0.08347,83287014
1986-07-01,0.08347,0.08347,0.08347,0.08347,63552033
1986-07-02,0.08347,0.08347,0.08347,0.08347,70284236
1986-07-03,0.08347,0.08347,0.08347,0.08347,18888650
1986-07-07,0.08347,0.08347,0.07495,0.07495,18773239
1986-07-08,0.07495,0.07495,0.07495,0.07495,19042529
1986-07-09,0.07495,0.07495,0.07495,0.07495,61628546
1986-07-10,0.07495,0.07495,0.06686,0.06686,62628759
1986-07-11,0.06686,0.07495,0.06686,0.07495,23235735
1986-07-14,0.06686,0.07495,0.06686,0.07495,38200467
1986-07-15,0.07495,0.07495,0.06686,0.07495,17619149
1986-07-16,0.07495,0.07495,0.07495,0.07495,12502670
1986-07-17,0.07495,0.07495,0.07495,0.07495,9271210
1986-07-18,0.07495,0.07495,0.07495,0.07495,16465055
1986-07-21,0.07495,0.07495,0.07495,0.07495,4693311
1986-07-22,0.07495,0.08347,0.07495,0.08347,14041462
1986-07-23,0.08347,0.08347,0.07495,0.07495,27775162
1986-07-24,0.08347,0.08347,0.08347,0.08347,18888650
1986-07-25,0.08347,0.08347,0.08347,0.08347,27313524
1986-07-28,0.08347,0.08347,0.08347,0.08347,15772599
1986-07-29,0.08347,0.08347,0.07495,0.07495,18773239
1986-07-30,0.07495,0.07495,0.07495,0.07495,35276767
1986-07-31,0.07495,0.07495,0.07495,0.07495,20889077
1986-08-01,0.07495,0.07495,0.07495,0.07495,17234448
1986-08-04,0.07495,0.07495,0.07495,0.07495,16618935
1986-08-05,0.07495,0.07495,0.07495,0.07495,3770038
1986-08-06,0.07495,0.07495,0.06686,0.07495,24466765
1986-08-07,0.07495,0.07495,0.06686,0.07495,4885658
1986-08-08,0.07495,0.07495,0.07495,0.07495,5539644
1986-08-11,0.07495,0.07495,0.07495,0.07495,10617653
1986-08-12,0.07495,0.07495,0.07495,0.07495,13349005
1986-08-13,0.07495,0.07495,0.07495,0.07495,9194271
1986-08-14,0.07495,0.08347,0.07495,0.08347,26890360
1986-08-15,0.08347,0.08347,0.07495,0.08347,8155589
1986-08-18,0.08347,0.08347,0.07495,0.07495,17080572
1986-08-19,0.07495,0.07495,0.07495,0.07495,27236587
1986-08-20,0.07495,0.07495,0.07495,0.07495,27736694
1986-08-21,0.07495,0.08347,0.07495,0.07495,66167976
1986-08-22,0.07495,0.07495,0.07495,0.07495,7693952
1986-08-25,0.07495,0.07495,0.07495,0.07495,3231457
1986-08-26,0.07495,0.07495,0.07495,0.07495,14503096
1986-08-27,0.07495,0.07495,0.07495,0.07495,12733492
1986-08-28,0.07495,0.07495,0.07495,0.07495,4577899
1986-08-29,0.07495,0.07495,0.07495,0.07495,33968796
1986-09-02,0.07495,0.07495,0.07495,0.07495,6963023
1986-09-03,0.07495,0.07495,0.06686,0.06686,24466765
1986-09-04,0.07495,0.07495,0.07495,0.07495,52665092
