Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,31.162,31.857,31.124,31.73,1911547
2005-02-28,31.768,31.872,31.451,31.586,2557105
2005-03-01,31.586,32.056,31.466,32.04,3001208
2005-03-02,31.752,31.849,31.522,31.57,2358918
2005-03-03,31.706,31.84,31.458,31.808,2508375
2005-03-04,31.865,32.335,31.865,32.224,2722135
2005-03-07,32.183,32.602,32.095,32.565,1944702
2005-03-08,32.565,32.59,32.232,32.453,2222772
2005-03-09,32.287,32.287,31.688,31.768,3188095
2005-03-10,31.768,32.006,31.514,31.977,2510888
2005-03-11,31.849,32.087,31.722,31.777,2039151
2005-03-14,31.768,32.43,31.73,32.423,2217748
2005-03-15,32.484,32.947,32.453,32.484,3412903
2005-03-16,32.502,32.804,31.714,32.006,2886285
2005-03-17,32.484,32.644,32.168,32.246,3070408
2005-03-18,32.405,32.533,31.808,32.134,5478810
2005-03-21,32.134,32.246,31.849,31.888,2107729
2005-03-22,31.953,32.159,31.315,31.373,2126315
2005-03-23,31.373,31.373,30.813,31.259,3136725
2005-03-24,31.289,31.746,31.253,31.442,1891077
2005-03-28,31.641,31.658,31.394,31.426,2199537
2005-03-29,31.451,31.451,30.879,30.956,2581971
2005-03-30,31.061,31.65,31.027,31.65,2039906
2005-03-31,31.738,32.207,31.666,31.968,2120288
2005-04-01,32.326,32.446,31.68,31.953,1954626
2005-04-04,31.953,32.2,31.688,32.183,2354901
2005-04-05,32.183,32.382,32.056,32.127,1975854
2005-04-06,32.302,32.366,32.056,32.095,1185610
2005-04-07,32.207,32.484,32.142,32.224,1542550
2005-04-08,32.342,32.366,32.024,32.112,1238615
2005-04-11,32.134,32.684,32.104,32.59,1510401
2005-04-12,32.602,32.996,32.278,32.883,2351756
2005-04-13,32.789,33.082,32.525,32.653,1746894
2005-04-14,32.653,32.717,32.232,32.232,1651066
2005-04-15,32.237,32.405,31.8,31.8,2330282
2005-04-18,31.8,32.39,31.658,32.278,2451356
2005-04-19,32.278,32.756,32.127,32.602,1818736
2005-04-20,32.423,32.797,32.261,32.509,3033107
2005-04-21,32.724,33.067,32.629,33.067,3280025
2005-04-22,33.067,33.338,32.883,33.097,1966686
2005-04-25,33.232,33.417,32.964,33.274,1768498
2005-04-26,32.978,33.114,32.565,32.59,2017924
2005-04-27,32.246,32.797,32.072,32.653,2346481
2005-04-28,32.653,32.844,32.142,32.398,2478108
2005-04-29,32.398,32.525,32.006,32.502,3318332
2005-05-02,32.502,32.883,32.374,32.583,2674534
2005-05-03,32.382,32.724,32.246,32.453,2256559
2005-05-04,32.453,32.644,32.168,32.453,2508375
2005-05-05,32.366,32.509,31.953,32.183,2087506
2005-05-06,32.168,32.319,32.006,32.151,2058119
2005-05-09,32.207,32.358,31.768,32.326,2159724
2005-05-10,32.168,32.644,32.047,32.462,2073940
2005-05-11,32.493,32.82,32.366,32.804,1472472
2005-05-12,32.789,32.844,32.39,32.43,1155219
2005-05-13,32.59,32.611,31.18,31.872,2462284
2005-05-16,31.928,32.087,31.552,32.024,1928004
2005-05-17,31.872,32.127,31.793,32.087,1733836
2005-05-18,32.27,32.295,31.825,31.935,2248897
2005-05-19,31.935,32.118,31.331,32.087,2362810
2005-05-20,32.232,32.246,31.905,32.192,2207326
2005-05-23,32.246,32.287,32.015,32.175,1509015
2005-05-24,32.246,32.423,31.977,32.232,1696030
2005-05-25,32.278,32.278,31.865,32.095,1533635
2005-05-26,32.261,32.27,32.087,32.087,1105861
2005-05-27,32.087,32.509,32.024,32.509,1538033
2005-05-31,32.557,32.62,32.087,32.366,2407898
2005-06-01,32.175,32.693,32.087,32.542,2609983
2005-06-02,32.366,32.484,32.295,32.382,1153964
2005-06-03,32.462,32.644,32.118,32.414,1256196
2005-06-06,32.374,32.517,32.27,32.423,842613
2005-06-07,32.542,32.938,32.414,32.477,1485155
2005-06-08,32.644,32.891,32.509,32.731,1333687
2005-06-09,32.27,32.565,32.254,32.462,1804166
2005-06-10,32.462,32.71,32.335,32.637,1438937
2005-06-13,32.557,32.789,32.326,32.717,995088
2005-06-14,32.987,32.987,32.637,32.837,1222537
2005-06-15,32.875,32.875,32.104,32.453,1954124
2005-06-16,32.637,32.637,32.207,32.557,1236478
2005-06-17,32.875,33.035,32.551,33.027,2506490
2005-06-20,32.851,33.019,32.71,32.86,1498091
2005-06-21,32.812,32.996,32.574,32.677,1315730
2005-06-22,32.851,33.194,32.797,33.097,1510652
2005-06-23,33.097,33.315,33.012,33.258,1387192
2005-06-24,33.282,33.29,32.925,32.964,2010514
2005-06-27,32.875,33.376,32.789,33.282,1752045
2005-06-28,33.402,33.801,33.282,33.735,1610878
2005-06-29,33.837,33.95,33.52,33.76,1412935
2005-06-30,33.76,34.014,33.465,33.489,1523210
2005-07-01,33.633,34.038,33.6,33.989,1093177
2005-07-05,33.989,34.475,33.837,34.229,1768245
2005-07-06,34.198,34.293,33.568,33.583,1735967
2005-07-07,33.482,34.063,33.307,33.989,2103083
2005-07-08,34.141,34.588,33.998,34.508,1551343
2005-07-11,34.651,34.961,34.483,34.954,1725667
2005-07-12,34.921,35.057,34.716,34.882,1221785
2005-07-13,34.875,35.137,34.835,35.034,1186740
2005-07-14,35.304,35.503,34.58,34.898,1900874
2005-07-15,34.81,35.034,34.596,34.604,1381920
2005-07-18,34.692,34.882,34.596,34.666,1086391
2005-07-19,34.747,34.802,34.445,34.516,1352777
2005-07-20,34.397,34.961,34.245,34.921,1396111
2005-07-21,34.875,35.027,33.998,34.055,2602821
2005-07-22,33.853,34.483,33.727,34.413,1571317
2005-07-25,34.356,34.565,34.094,34.134,1183855
2005-07-26,34.078,34.229,33.928,34.03,1308446
2005-07-27,34.109,34.326,33.853,33.989,1606730
2005-07-28,34.072,34.397,33.998,34.365,1111008
2005-07-29,34.317,34.429,34.165,34.332,1383926
2005-08-01,34.404,34.404,33.775,33.837,1237612
2005-08-02,33.998,34.643,33.959,34.475,1219274
2005-08-03,34.475,34.993,34.317,34.61,1860558
2005-08-04,34.397,34.557,34.117,34.126,1085893
2005-08-05,33.912,33.998,33.258,33.52,2057739
2005-08-08,33.474,33.694,32.812,32.964,1683973
2005-08-09,33.019,33.367,33.019,33.282,1342229
2005-08-10,33.474,33.784,33.019,33.027,1857170
2005-08-11,33.082,33.322,32.875,33.035,1577969
2005-08-12,32.883,33.224,32.851,33.163,1413188
2005-08-15,33.027,33.346,32.987,33.298,1314973
2005-08-16,33.241,33.417,32.771,32.797,1414067
2005-08-17,32.583,32.684,32.087,32.43,1940936
2005-08-18,32.446,32.724,32.246,32.565,1124826
2005-08-19,32.644,32.797,32.542,32.565,1125324
2005-08-22,32.756,34.34,32.644,33.768,6966101
2005-08-23,33.919,34.683,33.919,34.557,3115749
2005-08-24,34.348,34.763,34.047,34.086,2383787
2005-08-25,34.317,34.604,34.236,34.429,1267247
2005-08-26,34.293,34.565,34.182,34.332,1286715
2005-08-29,34.038,34.658,33.973,34.635,945726
2005-08-30,34.475,34.683,34.063,34.356,1727678
2005-08-31,34.397,34.453,34.072,34.309,2671146
2005-09-01,34.356,35.192,34.309,35.082,2711459
2005-09-02,35.034,35.392,35.019,35.12,1291865
2005-09-06,35.32,35.805,35.32,35.796,1572069
2005-09-07,35.901,35.924,35.56,35.854,1898239
2005-09-08,35.712,35.877,35.51,35.567,1672669
2005-09-09,35.646,36.508,35.591,36.467,2055230
2005-09-12,36.705,36.85,36.028,36.133,3265581
2005-09-13,36.364,36.418,36.101,36.22,1783191
2005-09-14,36.389,36.602,36.204,36.389,1692259
2005-09-15,36.569,36.705,36.356,36.458,1974974
2005-09-16,36.65,36.681,36.229,36.626,3369072
2005-09-19,36.546,36.962,36.356,36.515,1441951
2005-09-20,36.244,36.705,36.028,36.171,1621549
2005-09-21,36.171,36.229,35.192,35.821,2422971
2005-09-22,35.669,35.75,35.361,35.536,2029105
2005-09-23,35.636,36.109,35.551,36.013,1894723
2005-09-26,35.99,36.261,35.631,35.839,1691883
2005-09-27,35.99,36.195,35.631,36.101,1707581
2005-09-28,36.546,37.456,36.5,37.262,4172127
2005-09-29,36.986,38.298,36.986,37.938,3441543
2005-09-30,37.82,38.307,37.692,37.899,1818105
2005-10-03,37.779,38.257,37.779,38.092,2253413
2005-10-04,37.82,38.107,37.342,37.342,2663733
2005-10-05,37.129,37.421,36.53,36.538,3020673
2005-10-06,36.356,36.826,35.669,36.244,4390281
2005-10-07,36.426,36.538,36.051,36.402,1733329
2005-10-10,36.356,36.389,35.694,35.933,1444085
2005-10-11,35.933,36.389,35.933,36.118,1988789
2005-10-12,36.187,36.546,35.678,35.765,2443193
2005-10-13,35.631,35.87,34.723,35.184,2403380
2005-10-14,35.408,35.51,35.073,35.234,1679197
2005-10-17,35.154,35.687,35.041,35.432,1145420
2005-10-18,35.311,35.494,34.651,34.658,1306937
2005-10-19,34.397,34.666,33.694,34.572,3291456
2005-10-20,34.475,34.666,33.568,33.688,2333673
2005-10-21,33.919,34.214,33.21,33.853,3476959
2005-10-24,34.086,34.635,33.944,34.618,1928253
2005-10-25,34.618,34.827,34.03,34.332,1831797
2005-10-26,34.332,34.332,33.793,33.919,2169268
2005-10-27,33.449,33.919,33.449,33.528,1962411
2005-10-28,33.719,34.205,33.641,34.198,1221531
2005-10-31,34.078,34.516,34.038,34.285,3680170
2005-11-01,33.879,34.063,33.482,33.616,2964027
2005-11-02,33.457,33.928,33.434,33.648,2163995
2005-11-03,33.719,33.719,33.338,33.359,4236932
2005-11-04,34.437,34.508,33.441,33.512,2799250
2005-11-07,33.633,33.648,32.82,32.932,2613245
2005-11-08,32.947,33.027,32.677,32.789,3582083
2005-11-09,32.875,33.482,32.844,33.187,2618773
2005-11-10,33.282,33.425,32.837,33.21,2969684
2005-11-11,33.29,33.322,32.978,33.258,1670785
2005-11-14,33.203,33.224,32.693,32.702,1780556
2005-11-15,32.644,32.78,32.453,32.509,2485262
2005-11-16,32.653,33.315,32.602,33.074,2425982
2005-11-17,33.417,33.912,33.338,33.862,3059108
2005-11-18,34.214,34.475,33.862,34.371,2827258
2005-11-21,34.397,34.675,34.038,34.214,2175047
2005-11-22,33.98,34.198,33.752,34.141,2022325
2005-11-23,33.959,34.404,33.95,34.34,1619544
2005-11-25,34.269,34.54,34.165,34.54,433428
2005-11-28,34.413,34.524,34.174,34.317,1098700
2005-11-29,34.389,34.675,34.356,34.38,1614898
2005-11-30,34.421,34.531,33.702,33.752,2002857
2005-12-01,33.919,34.063,33.633,33.912,1646796
2005-12-02,33.76,33.919,33.56,33.816,1126582
2005-12-05,34.014,34.014,33.187,33.315,3117005
2005-12-06,33.338,33.552,32.932,33.097,3340688
2005-12-07,33.097,33.298,32.851,33.044,1875505
2005-12-08,32.964,33.258,32.851,33.082,2568532
2005-12-09,33.232,33.673,33.123,33.648,1264363
2005-12-12,33.744,33.768,33.417,33.465,1936288
2005-12-13,33.353,34.15,33.353,34.134,1618161
2005-12-14,34.063,34.557,34.063,34.236,5502922
2005-12-15,34.437,34.675,33.719,33.871,3285302
2005-12-16,33.871,34.332,33.752,34.198,3315945
2005-12-19,34.397,35.034,33.965,34.047,8825904
2005-12-20,33.895,34.157,33.784,33.801,4816300
2005-12-21,33.829,34.022,33.139,33.241,3798105
2005-12-22,33.241,33.338,32.78,32.932,5183787
2005-12-23,32.883,33.051,32.644,32.693,3409513
2005-12-27,32.693,32.932,32.446,32.756,2459141
2005-12-28,32.925,33.417,32.875,33.114,3095404
2005-12-29,33.241,33.282,32.932,33.216,2697392
2005-12-30,33.155,33.267,32.883,33.09,2222269
2006-01-03,33.331,33.496,32.955,33.489,2309304
2006-01-04,33.52,33.56,33.004,33.489,2982620
2006-01-05,33.322,33.576,33.307,33.576,2640751
2006-01-06,33.552,33.752,33.376,33.616,1986652
2006-01-09,33.52,33.633,33.338,33.474,1761462
2006-01-10,33.267,33.56,33.267,33.434,2294238
2006-01-11,33.496,33.528,33.105,33.21,1962663
2006-01-12,33.21,33.496,33.051,33.074,2222520
2006-01-13,33.216,33.282,32.987,33.194,1623183
2006-01-17,33.097,33.441,32.899,33.393,1925993
2006-01-18,33.449,33.944,33.315,33.937,3504591
2006-01-19,33.928,34.437,33.76,34.429,2440051
2006-01-20,34.397,34.572,33.98,34.047,2699029
