Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-04-06,10.898,10.925,10.772,10.852,28163
1983-04-07,10.852,10.925,10.726,10.925,12801
1983-04-08,10.726,10.898,10.645,10.879,48420
1983-04-11,10.925,11.128,10.898,11.103,82149
1983-04-12,11.174,11.228,11.128,11.128,35178
1983-04-13,11.2,11.255,11.031,11.076,60557
1983-04-14,11.128,11.283,10.925,11.283,73915
1983-04-15,11.301,11.301,10.978,11.031,123557
1983-04-18,11.174,11.228,11.128,11.128,38740
1983-04-19,11.128,11.174,10.852,10.852,79148
1983-04-20,10.925,11.076,10.879,11.031,18925
1983-04-21,11.103,11.103,10.726,10.925,93505
1983-04-22,10.925,10.925,10.672,10.799,39962
1983-04-25,11.005,11.128,10.879,10.925,35512
1983-04-26,11.005,11.128,10.879,11.128,18700
1983-04-27,11.049,11.174,10.925,11.031,268718
1983-04-28,11.005,11.076,10.925,11.031,49646
1983-04-29,10.898,10.925,10.879,10.925,40631
1983-05-02,10.825,11.005,10.618,10.825,138921
1983-05-03,10.925,10.978,10.879,10.978,32504
1983-05-04,11.103,11.228,10.978,11.103,144712
1983-05-05,11.076,11.128,11.031,11.031,223859
1983-05-06,10.978,11.228,10.952,11.2,84490
1983-05-09,11.128,11.481,11.103,11.283,148829
1983-05-10,11.383,11.689,11.356,11.689,158071
1983-05-11,11.635,11.689,11.437,11.437,76586
1983-05-12,11.535,11.535,11.128,11.283,274841
1983-05-13,11.228,11.383,11.228,11.301,50315
1983-05-16,11.356,11.356,11.174,11.228,33061
1983-05-17,11.356,11.481,11.228,11.481,67346
1983-05-18,11.535,11.814,11.481,11.635,117998
1983-05-19,11.786,11.814,11.437,11.689,66232
1983-05-20,11.581,11.662,11.437,11.481,64455
1983-05-23,11.535,11.733,11.411,11.662,38183
1983-05-24,11.689,12.037,11.635,12.01,83043
1983-05-25,12.134,12.134,11.939,12.01,82819
1983-05-26,12.089,12.117,11.886,11.886,64897
1983-05-27,11.939,11.939,11.581,11.581,50315
1983-05-31,11.635,11.984,11.535,11.535,37069
1983-06-01,11.174,11.437,11.174,11.437,105527
1983-06-02,11.535,11.535,11.356,11.437,20818
1983-06-03,11.507,11.733,11.455,11.635,58108
1983-06-06,11.562,11.562,11.356,11.437,16922
1983-06-07,11.383,11.383,11.255,11.283,26158
1983-06-08,11.328,11.328,11.228,11.328,44416
1983-06-09,11.383,11.689,11.356,11.689,50315
1983-06-10,11.635,11.689,11.608,11.635,23375
1983-06-13,11.662,11.786,11.635,11.76,20703
1983-06-14,11.716,11.814,11.581,11.581,50202
1983-06-15,11.535,11.581,11.455,11.581,19591
1983-06-16,11.535,11.716,11.283,11.301,99741
1983-06-17,11.328,11.328,11.128,11.155,32283
1983-06-20,11.2,11.2,10.925,11.128,50425
1983-06-21,11.174,11.283,11.128,11.283,45639
1983-06-22,11.283,11.383,11.155,11.328,19924
1983-06-23,11.283,11.301,11.174,11.255,39407
1983-06-24,11.255,11.255,11.155,11.228,21929
1983-06-27,11.128,11.2,10.879,11.031,33506
1983-06-28,11.076,11.076,10.726,10.753,19924
1983-06-29,10.672,10.726,10.572,10.699,20260
1983-06-30,10.645,10.825,10.518,10.618,27605
1983-07-01,10.726,10.952,10.672,10.952,35066
1983-07-05,10.898,10.952,10.825,10.825,33394
1983-07-06,10.825,10.978,10.825,10.978,13137
1983-07-07,11.103,11.481,11.076,11.328,39183
1983-07-08,11.383,11.411,11.174,11.174,89499
1983-07-11,11.328,11.507,11.283,11.437,19813
1983-07-12,11.437,11.437,11.283,11.283,17478
1983-07-13,11.328,11.328,11.174,11.328,32504
