Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-08-19,0.24482,0.24711,0.23793,0.24256,13293182
1987-08-20,0.24256,0.24711,0.24256,0.24482,13915535
1987-08-21,0.24711,0.24711,0.24256,0.24482,2790102
1987-08-24,0.24256,0.24482,0.24256,0.24256,12796693
1987-08-25,0.24024,0.27003,0.24024,0.26302,31872869
1987-08-26,0.26302,0.26302,0.25637,0.25637,12384117
1987-08-27,0.25637,0.25857,0.25165,0.25165,5209580
1987-08-28,0.25165,0.25165,0.24482,0.25165,19579645
1987-08-31,0.25165,0.25857,0.25165,0.25637,9782826
1987-09-01,0.25637,0.25637,0.23793,0.24939,17320989
1987-09-02,0.24939,0.24939,0.23793,0.24024,23495572
1987-09-03,0.24024,0.24482,0.24024,0.24256,18271997
1987-09-04,0.24024,0.24482,0.23793,0.24024,14314132
1987-09-08,0.24024,0.24256,0.23567,0.24024,22376735
1987-09-09,0.24256,0.27003,0.24256,0.26773,37278248
1987-09-10,0.27003,0.27682,0.27003,0.27682,51550411
1987-09-11,0.27682,0.27682,0.27003,0.27237,17202117
1987-09-14,0.27237,0.27682,0.27003,0.27003,18397877
1987-09-15,0.27003,0.27237,0.26539,0.26773,14460962
1987-09-16,0.26773,0.27682,0.26773,0.27467,13537920
1987-09-17,0.27682,0.28138,0.27003,0.27237,23013077
1987-09-18,0.27237,0.27682,0.27237,0.27467,18202081
1987-09-21,0.27467,0.27682,0.25637,0.26539,58578103
1987-09-22,0.26539,0.27899,0.26539,0.27899,50683307
1987-09-23,0.27899,0.29513,0.27899,0.29065,53983882
1987-09-24,0.29065,0.29513,0.28602,0.29065,16516826
1987-09-25,0.29065,0.29065,0.28602,0.28836,7447257
1987-09-28,0.29065,0.29513,0.28602,0.28602,13202280
1987-09-29,0.28602,0.28836,0.27682,0.27899,10586998
1987-09-30,0.27682,0.28602,0.27467,0.28602,29446382
1987-10-01,0.28602,0.29065,0.28602,0.28602,12950538
1987-10-02,0.28836,0.28836,0.28138,0.28138,9181461
1987-10-05,0.28138,0.28368,0.28138,0.28138,4041803
1987-10-06,0.28138,0.28138,0.27003,0.27003,11600940
1987-10-07,0.26773,0.27003,0.26085,0.26302,19586642
1987-10-08,0.26539,0.27003,0.25637,0.26085,17195127
1987-10-09,0.26085,0.26085,0.24711,0.24939,26537408
1987-10-12,0.24482,0.24939,0.24482,0.24711,20509676
1987-10-13,0.24711,0.25637,0.24711,0.25637,7657037
1987-10-14,0.25398,0.25398,0.24711,0.24939,10153442
1987-10-15,0.24939,0.24939,0.24482,0.24482,9538084
1987-10-16,0.24482,0.24711,0.23793,0.24024,42571744
1987-10-19,0.23115,0.23793,0.18765,0.21051,31523228
1987-10-20,0.20133,0.21283,0.16699,0.17846,53249637
1987-10-21,0.17846,0.21283,0.17846,0.20818,57850854
1987-10-22,0.20818,0.21506,0.1922,0.19676,39313122
1987-10-23,0.19445,0.19676,0.1922,0.19676,22761343
1987-10-26,0.1922,0.19445,0.18303,0.18536,89506953
1987-10-27,0.18536,0.1922,0.18536,0.18765,104191685
1987-10-28,0.18765,0.18765,0.17846,0.18072,20719457
1987-10-29,0.18072,0.18991,0.18072,0.18765,6950771
1987-10-30,0.18991,0.20133,0.18765,0.20133,19285952
1987-11-02,0.20133,0.20593,0.19676,0.20593,14307125
1987-11-03,0.20593,0.20593,0.19445,0.20133,17146173
1987-11-04,0.19676,0.20133,0.19676,0.20133,5118681
1987-11-05,0.20133,0.20364,0.19676,0.20133,7531167
1987-11-06,0.20364,0.21283,0.20133,0.21051,9873738
1987-11-09,0.21051,0.21051,0.20364,0.20593,6803929
1987-11-10,0.20593,0.20593,0.19676,0.19676,8510154
1987-11-11,0.19676,0.20133,0.18765,0.1922,62487034
1987-11-12,0.19445,0.20364,0.1922,0.20133,6894837
1987-11-13,0.20133,0.20364,0.19676,0.20133,1776154
1987-11-16,0.20133,0.20364,0.19445,0.19676,7468235
1987-11-17,0.19676,0.19676,0.18991,0.1922,21642501
1987-11-18,0.19445,0.20133,0.1922,0.20133,22250871
1987-11-19,0.20133,0.20133,0.19676,0.19676,6671064
1987-11-20,0.19676,0.19676,0.1922,0.1922,9111532
1987-11-23,0.19445,0.19445,0.18991,0.1922,6328423
1987-11-24,0.1922,0.1922,0.18765,0.18991,4804004
1987-11-25,0.18991,0.1922,0.18765,0.1922,9908700
1987-11-27,0.18991,0.1922,0.18765,0.18991,1943984
1987-11-30,0.18765,0.18765,0.18303,0.18536,70626576
1987-12-01,0.18536,0.18991,0.18536,0.18536,7852839
1987-12-02,0.18536,0.18765,0.18536,0.18536,10265321
