Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,3.3873,3.395,3.3798,3.3873,13280
1982-01-04,3.3798,3.3873,3.3722,3.3722,25518
1982-01-05,3.3798,3.3873,3.3722,3.3722,124720
1982-01-06,3.2951,3.3566,3.2184,3.2568,144771
1982-01-07,3.1722,3.2032,3.1415,3.2032,59364
1982-01-08,3.2647,3.3258,3.2032,3.3184,119774
1982-01-11,3.1339,3.2951,2.9647,2.9647,269488
1982-01-12,2.9416,2.9803,2.9035,2.9035,93475
1982-01-13,2.819,2.8805,2.7652,2.7652,187472
1982-01-14,2.7957,2.8112,2.7805,2.7805,51035
1982-01-15,2.8342,2.8649,2.7957,2.8649,221317
1982-01-18,2.819,2.8342,2.7957,2.8038,318962
1982-01-19,2.8112,2.8342,2.7882,2.8112,135394
1982-01-20,2.8496,2.9035,2.8038,2.8805,299174
1982-01-21,2.9497,2.9803,2.9113,2.9803,22132
1982-01-22,3.0265,3.057,2.9956,3.057,32286
1982-01-25,3.1185,3.1339,3.1032,3.1185,27601
1982-01-26,3.1415,3.1648,3.1185,3.1415,114828
1982-01-27,3.1415,3.1415,3.1339,3.1415,37496
1982-01-28,3.1415,3.157,3.1339,3.157,26300
1982-01-29,3.1722,3.2032,3.1415,3.1722,45307
1982-02-01,3.2032,3.2336,3.1648,3.2032,125762
1982-02-02,3.2184,3.2491,3.1799,3.2491,31244
1982-02-03,3.3029,3.426,3.1799,3.2184,364527
1982-02-04,3.2184,3.2647,3.1648,3.195,76552
1982-02-05,3.2184,3.2491,3.1722,3.2336,52079
1982-02-08,3.195,3.2336,3.1415,3.1415,27857
1982-02-09,3.1032,3.1339,3.0648,3.0802,61450
1982-02-10,3.0112,3.057,2.9803,2.9803,15362
1982-02-11,2.9574,2.9803,2.9416,2.9647,23953
1982-02-12,2.9497,2.9647,2.9266,2.9266,20049
1982-02-16,2.9497,2.9956,2.9113,2.9956,27857
1982-02-17,3.0265,3.0265,3.0112,3.0112,13802
1982-02-18,3.0265,3.0648,2.9956,3.057,63272
1982-02-19,3.0416,3.057,3.0416,3.0416,36976
1982-02-22,3.0265,3.0726,2.9803,2.9803,57541
1982-02-23,2.9728,2.9878,2.9574,2.9647,28119
1982-02-24,2.9803,2.9956,2.9647,2.9728,26558
1982-02-25,2.9956,3.0033,2.9803,2.9878,27857
1982-02-26,2.9878,2.9878,2.9878,2.9878,1823
1982-03-01,2.9878,2.9878,2.9878,2.9878,7034
1982-03-02,2.9956,3.0033,2.9878,2.9878,7551
1982-03-03,3.0112,3.0416,2.9878,3.0112,42703
1982-03-04,3.0112,3.0184,3.0033,3.0112,71603
1982-03-05,3.0112,3.0184,3.0033,3.0033,40098
1982-03-08,2.9574,3.0184,2.8882,2.8882,87228
1982-03-09,2.7805,2.8496,2.7115,2.7882,90348
1982-03-10,2.8038,2.819,2.7882,2.8038,71861
1982-03-11,2.7573,2.819,2.6883,2.6883,152842
1982-03-12,2.6037,2.6423,2.5578,2.5964,122376
1982-03-15,2.5964,2.6037,2.5808,2.5964,118993
1982-03-16,2.5964,2.6037,2.5886,2.5964,121333
1982-03-17,2.6117,2.6194,2.5964,2.6194,98160
1982-03-18,2.6883,2.7115,2.6574,2.7115,102591
1982-03-19,2.7573,2.7652,2.7421,2.7652,34370
1982-03-22,2.8342,2.8496,2.8038,2.8496,11455
1982-03-23,2.8882,2.9416,2.842,2.9416,40358
1982-03-24,2.9416,2.9574,2.9416,2.9574,13541
1982-03-25,2.9956,3.0416,2.9574,3.0033,43225
1982-03-26,3.0112,3.0416,2.9878,3.0184,45307
1982-03-29,3.0265,3.0416,3.0184,3.0416,46085
1982-03-30,3.057,3.0726,3.0416,3.0726,13019
1982-03-31,3.057,3.0802,3.0416,3.0416,55458
1982-04-01,3.0184,3.0416,3.0033,3.0112,54939
1982-04-02,3.0726,3.1339,3.0112,3.1032,245015
1982-04-05,3.0112,3.0802,2.9416,2.9416,178096
1982-04-06,2.9647,2.9728,2.9416,2.9728,60407
1982-04-07,2.9878,3.0033,2.9728,2.9803,93475
1982-04-08,2.9803,2.9878,2.9728,2.9803,29424
1982-04-12,3.057,3.1032,3.0184,3.0802,99203
1982-04-13,3.2264,3.2647,3.1799,3.1799,106754
1982-04-14,3.1722,3.195,3.1494,3.1648,46347
1982-04-15,3.1648,3.1799,3.1494,3.1648,64575
1982-04-16,3.1722,3.195,3.1494,3.1648,70043
1982-04-19,3.1722,3.1799,3.1648,3.1648,10936
1982-04-20,3.1648,3.1648,3.1494,3.1648,25775
1982-04-21,3.1265,3.1339,3.1109,3.1265,26300
1982-04-22,3.1265,3.1494,3.1032,3.1339,109099
1982-04-23,3.1494,3.1648,3.1339,3.1415,29162
1982-04-26,3.1722,3.2107,3.1339,3.2107,31244
1982-04-27,3.2107,3.2336,3.2032,3.2032,22914
1982-04-28,3.195,3.2032,3.1722,3.1722,53637
1982-04-29,3.1648,3.1722,3.1494,3.1648,22132
1982-04-30,3.1648,3.1648,3.1415,3.1415,20833
1982-05-03,3.2264,3.3184,3.1339,3.2799,187991
1982-05-04,3.3566,3.426,3.2951,3.3873,434310
1982-05-05,3.4871,3.5563,3.4028,3.4949,240851
1982-05-06,3.4949,3.541,3.4336,3.4336,366869
1982-05-07,3.4566,3.4795,3.426,3.449,115085
1982-05-10,3.449,3.4566,3.426,3.426,159089
1982-05-11,3.4028,3.426,3.3873,3.426,54156
1982-05-12,3.426,3.5177,3.3258,3.3258,30204
1982-05-13,3.3258,3.3337,3.3029,3.3184,26817
1982-05-14,3.3258,3.3258,3.3029,3.3258,74206
1982-05-17,3.3258,3.3258,3.3029,3.3029,7291
1982-05-18,3.3184,3.3258,3.2951,3.3258,14062
1982-05-19,3.3566,3.395,3.3184,3.395,46347
1982-05-20,3.3258,3.395,3.2568,3.2799,93212
1982-05-21,3.2951,3.2951,3.2799,3.2951,38796
1982-05-24,3.2951,3.3184,3.2721,3.2721,128106
1982-05-25,3.3184,3.349,3.2951,3.3184,82018
1982-05-26,3.2877,3.2951,3.2799,3.2877,60407
1982-05-27,3.3029,3.3184,3.2799,3.3104,50254
1982-05-28,3.2647,3.2951,3.2415,3.2647,62490
1982-06-01,3.2336,3.2568,3.195,3.2264,33328
1982-06-02,3.2032,3.2264,3.1879,3.2107,40620
1982-06-03,3.1879,3.2107,3.1648,3.1799,31506
1982-06-04,3.1799,3.2415,3.1648,3.2415,46347
1982-06-07,3.2336,3.2647,3.2107,3.2336,13802
1982-06-08,3.2336,3.2415,3.2107,3.2107,15625
1982-06-09,3.1879,3.195,3.1722,3.195,93212
1982-06-10,3.2336,3.2647,3.195,3.195,188513
1982-06-11,3.3029,3.3873,3.2107,3.3643,157785
1982-06-14,3.3258,3.3643,3.2951,3.3029,43744
1982-06-15,3.3337,3.395,3.2799,3.395,90871
1982-06-16,3.395,3.4411,3.349,3.4411,189555
1982-06-17,3.4104,3.426,3.395,3.4028,65359
1982-06-18,3.3722,3.3873,3.3643,3.3643,30204
1982-06-21,3.3722,3.395,3.3566,3.3873,53377
1982-06-22,3.4028,3.426,3.3643,3.4028,107277
1982-06-23,3.426,3.4566,3.395,3.4566,40879
1982-06-24,3.4182,3.4566,3.3873,3.4182,197623
1982-06-25,3.2647,3.426,3.1109,3.1109,387960
1982-06-28,3.0495,3.1339,2.9574,3.0265,296310
1982-06-29,2.9574,3.0265,2.8805,2.8805,209344
1982-06-30,2.9728,3.0416,2.8956,2.9803,315576
1982-07-01,3.0112,3.0265,2.9803,3.0265,56759
1982-07-02,3.057,3.0726,3.0265,3.0648,28119
1982-07-06,3.057,3.0802,3.0265,3.0802,31244
1982-07-07,3.1339,3.1799,3.0954,3.157,212465
1982-07-08,3.157,3.1879,3.1109,3.1799,189034
1982-07-09,3.2336,3.2568,3.195,3.2568,869133
1982-07-12,3.3104,3.3643,3.2568,3.3566,73426
1982-07-13,3.2951,3.3104,3.2647,3.2647,79673
1982-07-14,3.2647,3.3643,3.2568,3.3566,73426
1982-07-15,3.4336,3.4871,3.3722,3.4871,254386
1982-07-16,3.5104,3.5259,3.4871,3.4871,46608
1982-07-19,3.5177,3.5335,3.4871,3.4871,188513
1982-07-20,3.4795,3.5177,3.426,3.4566,128106
1982-07-21,3.4871,3.5104,3.4566,3.4871,304381
1982-07-22,3.5563,3.6257,3.4871,3.5335,212727
1982-07-23,3.5335,3.5488,3.5177,3.5177,89049
1982-07-26,3.4949,3.5177,3.4871,3.5104,44004
1982-07-27,3.5177,3.5259,3.4949,3.5104,32546
1982-07-28,3.4871,3.5259,3.4566,3.4566,129405
1982-07-29,3.5259,3.5797,3.4643,3.5259,394469
1982-07-30,3.5259,3.5563,3.4871,3.4871,51035
1982-08-02,3.541,3.5872,3.4871,3.5104,206216
1982-08-03,3.5259,3.5335,3.5104,3.5104,54420
1982-08-04,3.4336,3.5104,3.3643,3.395,482737
1982-08-05,3.3184,3.3873,3.2568,3.2799,537154
1982-08-06,3.2799,3.3104,3.2415,3.2799,129405
1982-08-09,3.2336,3.2647,3.195,3.2647,76029
1982-08-10,3.3029,3.3337,3.2647,3.2877,126544
1982-08-11,3.2877,3.3104,3.2647,3.2877,53377
1982-08-12,3.3258,3.3643,3.2951,3.3566,122376
1982-08-13,3.4028,3.4411,3.3643,3.4411,70823
1982-08-16,3.4104,3.4643,3.3566,3.3643,36711
1982-08-17,3.3643,3.4104,3.3104,3.4104,100246
1982-08-18,3.4643,3.5104,3.426,3.426,151800
1982-08-19,3.4028,3.4411,3.3643,3.3643,118211
1982-08-20,3.4182,3.4871,3.349,3.4795,80976
1982-08-23,3.5946,3.7409,3.4566,3.7409,158827
1982-08-24,3.7485,3.7793,3.7179,3.7485,240588
1982-08-25,3.7944,3.8481,3.7409,3.8177,155963
1982-08-26,3.8021,3.8713,3.7409,3.7485,88005
1982-08-27,3.71,3.7715,3.6485,3.6715,275218
1982-08-30,3.6485,3.6946,3.6026,3.6715,75770
1982-08-31,3.8177,3.9329,3.7024,3.9176,311149
1982-09-01,3.9329,3.9867,3.8865,3.9711,476228
1982-09-02,3.9711,4.0557,3.8865,4.0096,444984
1982-09-03,4.1017,4.1556,4.0557,4.1017,416862
1982-09-07,4.0403,4.0942,3.9867,4.0557,204393
1982-09-08,4.0327,4.0637,4.0018,4.0096,170286
1982-09-09,4.0327,4.0637,4.0018,4.0252,92176
1982-09-10,4.0252,4.0403,4.0018,4.0173,60669
1982-09-13,3.9176,4.0327,3.8021,3.9022,245276
1982-09-14,3.9482,4.0096,3.8865,3.979,130970
1982-09-15,3.9482,4.0018,3.9022,3.9711,113525
1982-09-16,3.9635,3.9942,3.9176,3.9176,84623
1982-09-17,3.8865,3.9329,3.8406,3.9022,231994
1982-09-20,3.8865,3.9098,3.8481,3.8713,371817
1982-09-21,4.0018,4.1017,3.9022,4.0711,118733
1982-09-22,4.1095,4.1862,4.0327,4.0557,205694
1982-09-23,4.0327,4.0637,4.0018,4.0637,120032
1982-09-24,4.0637,4.1017,4.0252,4.0864,28901
1982-09-27,4.0711,4.0942,4.0557,4.0711,85928
1982-09-28,4.1325,4.1556,4.1173,4.1249,88005
1982-09-29,4.0864,4.1556,4.0096,4.0252,187991
1982-09-30,4.0018,4.0173,3.9867,3.9867,90348
1982-10-01,4.0096,4.0403,3.979,4.0252,29942
1982-10-04,4.0637,4.0864,4.0252,4.0864,108057
1982-10-05,4.1556,4.1862,4.1173,4.1173,99203
1982-10-06,4.2554,4.3552,4.1631,4.3552,180703
1982-10-07,4.4089,4.5166,4.3012,4.3472,279907
1982-10-08,4.3242,4.4166,4.2326,4.2554,561892
1982-10-11,4.2631,4.3092,4.217,4.217,132532
1982-10-12,4.1556,4.2326,4.0864,4.1325,88787
1982-10-13,4.1325,4.1631,4.0942,4.1631,117688
1982-10-14,4.1631,4.1939,4.1173,4.1325,117429
1982-10-15,4.1249,4.1631,4.0864,4.1556,91913
1982-10-18,4.1631,4.2092,4.1249,4.1862,192420
1982-10-19,4.2938,4.3632,4.217,4.3632,242928
1982-10-20,4.6165,4.7779,4.4475,4.7316,938653
1982-10-21,4.7316,4.8161,4.6466,4.77,491592
1982-10-22,4.8853,4.9926,4.7622,4.9389,131490
1982-10-25,4.9006,4.9468,4.8469,4.8469,402539
1982-10-26,4.793,4.8469,4.724,4.77,263759
1982-10-27,4.724,4.8008,4.6466,4.7316,435613
1982-10-28,4.793,4.8469,4.7316,4.8161,416341
1982-10-29,4.8699,4.9162,4.8315,4.9162,292663
1982-11-01,4.9853,5.062,4.9006,5.0465,147893
1982-11-02,5.0849,5.162,5.0156,5.0314,212207
1982-11-03,5.0156,5.0389,4.9853,4.9926,233818
1982-11-04,4.9619,5.0156,4.9162,4.9162,185907
1982-11-05,4.824,4.8699,4.77,4.77,84103
1982-11-08,4.7316,4.77,4.6931,4.7622,114565
1982-11-09,4.4706,4.5474,4.386,4.4013,663699
1982-11-10,4.3552,4.4321,4.2631,4.2938,641828
1982-11-11,4.217,4.3171,4.1173,4.2017,422070
1982-11-12,4.0173,4.1017,3.9329,4.0864,513723
1982-11-15,4.0942,4.1249,4.0557,4.0637,367912
1982-11-16,4.0327,4.1173,3.9482,4.0557,748582
1982-11-17,4.1631,4.2247,4.1017,4.2247,309849
1982-11-18,4.2247,4.2783,4.1631,4.2017,153618
1982-11-19,4.1862,4.2017,4.1631,4.1862,291359
1982-11-22,4.1631,4.1862,4.148,4.148,167682
1982-11-23,4.0942,4.148,4.0252,4.0403,175491
1982-11-24,4.0864,4.1325,4.0327,4.1325,168721
1982-11-26,4.1556,4.1631,4.148,4.1631,22392
1982-11-29,4.0711,4.1862,3.9635,4.0864,228611
1982-11-30,4.148,4.2631,4.0327,4.2631,151538
1982-12-01,4.3632,4.4321,4.2938,4.4244,228090
1982-12-02,4.7085,4.77,4.6466,4.6466,158827
