Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-09-01,0.9514,0.9594,0.9353,0.9431,70057
1983-09-02,0.9353,0.9431,0.9353,0.9353,57545
1983-09-06,0.9514,0.9514,0.9431,0.9514,39033
1983-09-07,0.9514,0.9594,0.9353,0.9353,89073
1983-09-08,0.9514,0.9594,0.9431,0.9594,131107
1983-09-09,0.9594,0.9671,0.9353,0.9431,94074
1983-09-12,0.9514,0.9594,0.9514,0.9594,53544
1983-09-13,0.9751,0.9832,0.9594,0.9751,551446
1983-09-14,0.9909,0.9994,0.9832,0.9994,13510
1983-09-15,1.0152,1.0393,0.9994,1.0393,13510
1983-09-16,1.0472,1.063,1.0393,1.0553,269718
1983-09-19,1.1031,1.143,1.0793,1.127,269718
1983-09-20,1.127,1.127,1.0711,1.1031,116593
1983-09-21,1.0874,1.127,1.0711,1.0874,209669
1983-09-22,1.0874,1.127,1.0874,1.127,48040
1983-09-23,1.1352,1.143,1.127,1.127,82065
1983-09-26,1.1191,1.127,1.095,1.127,110089
1983-09-27,1.0874,1.1191,1.0711,1.0874,163129
1983-09-28,1.0874,1.1031,1.0874,1.1031,46539
1983-09-29,1.1031,1.1113,1.0874,1.0874,42032
1983-09-30,1.0874,1.1031,1.063,1.063,237692
1983-10-03,1.0472,1.063,1.0313,1.0472,33022
1983-10-04,1.0711,1.0874,1.063,1.0793,147621
1983-10-05,1.0793,1.0874,1.0793,1.0874,427345
1983-10-06,1.0874,1.095,1.063,1.0793,80565
1983-10-07,1.0793,1.0874,1.0793,1.0874,34026
1983-10-10,1.0793,1.0793,1.0711,1.0793,20018
1983-10-11,1.0793,1.0793,1.0711,1.0793,18011
1983-10-12,1.0793,1.0793,1.0711,1.0711,50041
1983-10-13,1.0711,1.0874,1.063,1.0793,13010
1983-10-14,1.0793,1.0793,1.063,1.0711,29526
1983-10-17,1.0711,1.0793,1.0711,1.0711,24521
1983-10-18,1.0711,1.0711,1.063,1.063,25022
1983-10-19,1.063,1.063,1.063,1.063,32025
1983-10-20,1.063,1.0711,1.0553,1.063,32526
1983-10-21,1.063,1.063,1.0472,1.063,58048
1983-10-24,1.0472,1.063,1.0393,1.0393,8006
1983-10-25,1.0393,1.0393,1.023,1.0313,81567
1983-10-26,1.0313,1.0711,1.0313,1.0711,160126
1983-10-27,1.063,1.063,1.0553,1.0553,32526
1983-10-28,1.0472,1.063,1.0472,1.0553,205174
1983-10-31,1.0472,1.0472,1.0472,1.0472,45539
1983-11-01,1.0472,1.0472,1.0313,1.0393,122600
1983-11-02,1.0313,1.0313,1.0152,1.0152,16513
1983-11-03,1.0152,1.0152,0.9751,1.0072,130606
1983-11-04,1.0072,1.0152,1.0072,1.0072,87572
1983-11-07,1.0152,1.0152,0.9994,0.9994,42032
1983-11-08,0.9994,1.0152,0.9994,1.0152,76564
1983-11-09,1.0072,1.0072,1.0072,1.0072,19514
1983-11-10,1.0152,1.0313,1.0152,1.0152,48040
1983-11-11,1.0152,1.0313,1.0152,1.023,39033
1983-11-14,1.0313,1.0313,1.023,1.023,25522
1983-11-15,1.023,1.0313,1.0072,1.0313,319759
1983-11-16,1.0393,1.0553,1.0393,1.0393,20517
1983-11-17,1.0711,1.1031,1.0472,1.0793,50041
1983-11-18,1.0874,1.095,1.0793,1.0793,41532
1983-11-21,1.0874,1.1031,1.0711,1.0711,92576
1983-11-22,1.0793,1.0874,1.063,1.0874,118096
1983-11-23,1.0874,1.0874,1.0711,1.0874,32526
1983-11-25,1.0874,1.0874,1.063,1.0711,16513
1983-11-28,1.0793,1.0793,1.0553,1.063,69058
1983-11-29,1.0553,1.0874,1.0553,1.0874,856696
1983-11-30,1.0874,1.1113,1.0874,1.1031,184148
1983-12-01,1.1113,1.1113,1.0793,1.095,99580
1983-12-02,1.1031,1.1113,1.095,1.1031,80565
1983-12-05,1.1031,1.1113,1.095,1.095,13510
1983-12-06,1.1031,1.1031,1.0874,1.095,85568
1983-12-07,1.1031,1.1113,1.095,1.1031,69058
1983-12-08,1.1031,1.1113,1.0874,1.1031,59048
1983-12-09,1.095,1.1031,1.095,1.095,52042
1983-12-12,1.1031,1.1113,1.0874,1.095,112594
1983-12-13,1.095,1.1031,1.095,1.095,34026
1983-12-14,1.095,1.095,1.0874,1.0874,79565
1983-12-15,1.0793,1.1031,1.0793,1.0874,36530
1983-12-16,1.0874,1.095,1.0874,1.095,19014
1983-12-19,1.1031,1.1031,1.0874,1.0874,25022
1983-12-20,1.095,1.1113,1.095,1.1031,63052
1983-12-21,1.095,1.127,1.095,1.127,127103
1983-12-22,1.1191,1.1191,1.1031,1.1113,274724
1983-12-23,1.1191,1.1191,1.1113,1.1191,20018
1983-12-27,1.1113,1.1191,1.1031,1.1191,53045
1983-12-28,1.1191,1.127,1.1113,1.1191,33527
1983-12-29,1.1191,1.1669,1.1191,1.1669,98578
1983-12-30,1.175,1.199,1.175,1.199,287232
1984-01-03,1.199,1.2391,1.1908,1.199,157128
1984-01-04,1.199,1.199,1.1669,1.175,72558
1984-01-05,1.1831,1.199,1.175,1.1831,88073
1984-01-06,1.175,1.215,1.175,1.215,283229
1984-01-09,1.223,1.223,1.199,1.199,71056
1984-01-10,1.207,1.223,1.199,1.207,68557
1984-01-11,1.199,1.199,1.1831,1.1831,9007
1984-01-12,1.1908,1.199,1.1831,1.1908,64553
1984-01-13,1.199,1.199,1.1831,1.1908,25522
1984-01-16,1.1831,1.199,1.1669,1.1669,77563
1984-01-17,1.175,1.175,1.1593,1.1669,17516
1984-01-18,1.1593,1.1593,1.1113,1.1191,62550
1984-01-19,1.1191,1.1191,1.095,1.1113,88073
1984-01-20,1.1031,1.1191,1.1031,1.1191,56047
1984-01-23,1.127,1.127,1.1031,1.1113,140112
1984-01-24,1.1113,1.1191,1.1031,1.1113,35030
1984-01-25,1.1031,1.1113,1.1031,1.1113,27522
1984-01-26,1.1031,1.1031,1.0874,1.1031,95077
1984-01-27,1.1031,1.1031,1.0793,1.0793,54042
1984-01-30,1.0793,1.095,1.023,1.023,115092
1984-01-31,1.0313,1.0393,1.023,1.0393,60048
1984-02-01,1.0393,1.0472,0.9832,0.9832,127606
1984-02-02,0.9832,1.0072,0.9832,0.9994,55043
1984-02-03,1.0072,1.023,1.0072,1.023,157128
1984-02-06,1.023,1.0393,1.0152,1.0393,115092
1984-02-07,1.063,1.0874,1.0393,1.0874,69058
1984-02-08,1.0793,1.095,1.0472,1.0472,198159
1984-02-09,1.0553,1.0793,1.0553,1.0711,53544
1984-02-10,1.0711,1.0711,1.063,1.063,350285
1984-02-13,1.0553,1.0553,1.0393,1.0393,73562
1984-02-14,1.0313,1.0472,1.0152,1.0152,153126
1984-02-15,0.9994,1.023,0.9909,1.0152,81567
1984-02-16,1.023,1.023,1.0072,1.023,30526
1984-02-17,1.0152,1.023,1.0152,1.023,118096
1984-02-21,1.023,1.023,1.023,1.023,12010
1984-02-22,1.023,1.023,1.0072,1.0152,131605
1984-02-23,1.023,1.023,0.9832,0.9832,118096
1984-02-24,0.9832,1.023,0.9832,1.0152,41034
1984-02-27,1.0152,1.0313,1.0072,1.0152,45539
1984-02-28,1.0152,1.0152,0.9832,0.9832,54042
1984-02-29,0.9994,1.0072,0.9994,0.9994,84566
1984-03-01,1.0072,1.0553,1.0072,1.0553,60048
1984-03-02,1.0313,1.0393,1.023,1.023,176643
1984-03-05,1.023,1.0313,1.023,1.023,9507
1984-03-06,1.0152,1.0152,0.9909,0.9994,22519
1984-03-07,0.9909,0.9994,0.9832,0.9909,28022
1984-03-08,0.9909,0.9909,0.9832,0.9832,32526
1984-03-09,0.9909,0.9909,0.9751,0.9751,47538
1984-03-12,0.9751,0.9751,0.9272,0.9272,137109
1984-03-13,0.9431,0.9514,0.9353,0.9353,107087
1984-03-14,0.9353,0.9431,0.9272,0.9353,33022
1984-03-15,0.9353,0.9431,0.9353,0.9431,23020
1984-03-16,0.9514,0.9751,0.9514,0.9751,102083
1984-03-19,0.9832,0.9832,0.9751,0.9832,21516
1984-03-20,0.9751,0.9994,0.9751,0.9994,48538
1984-03-21,0.9994,1.0072,0.9994,1.0072,12509
1984-03-22,0.9994,0.9994,0.9832,0.9832,26520
1984-03-23,0.9832,0.9832,0.9832,0.9832,5004
1984-03-26,0.9832,1.0152,0.9832,1.0152,31525
1984-03-27,1.0072,1.0152,0.9994,0.9994,8508
1984-03-28,1.0072,1.023,1.0072,1.023,16513
1984-03-29,1.0152,1.0313,1.0152,1.0152,10009
1984-03-30,1.0072,1.0152,0.9994,1.0072,8508
1984-04-02,1.0072,1.0072,0.9909,0.9909,33022
1984-04-03,0.9832,0.9832,0.9514,0.9594,50041
1984-04-04,0.9514,0.9514,0.9514,0.9514,19014
1984-04-05,0.9514,0.9514,0.9353,0.9353,17016
1984-04-06,0.9431,0.9514,0.9272,0.9431,37031
1984-04-09,0.9514,0.9514,0.919,0.919,27522
1984-04-10,0.9353,0.9431,0.9272,0.9353,23020
1984-04-11,0.9514,0.9514,0.9034,0.9112,49543
1984-04-12,0.9112,0.9112,0.9034,0.9112,35528
1984-04-13,0.9034,0.9112,0.8951,0.8951,232689
1984-04-16,0.9034,0.9034,0.8793,0.8874,37031
1984-04-17,0.8874,0.8874,0.8635,0.8793,55543
1984-04-18,0.8793,0.8793,0.8393,0.8393,240697
1984-04-19,0.8393,0.8393,0.8071,0.8154,53544
1984-04-23,0.7993,0.8233,0.7993,0.8154,324764
1984-04-24,0.8233,0.8635,0.8233,0.8635,117090
1984-04-25,0.8793,0.8793,0.8393,0.8393,136609
1984-04-26,0.8393,0.8554,0.8393,0.8554,44537
1984-04-27,0.8554,0.8554,0.8473,0.8473,81567
1984-04-30,0.8554,0.8635,0.8154,0.8314,92076
1984-05-01,0.8393,0.8635,0.8314,0.8635,123598
1984-05-02,0.8712,0.9034,0.8712,0.9034,143114
1984-05-03,0.8951,0.9034,0.8951,0.8951,107087
1984-05-04,0.8951,0.8951,0.8712,0.8712,180149
1984-05-07,0.8635,0.8635,0.8554,0.8635,22021
1984-05-08,0.8635,0.8635,0.8473,0.8635,87072
1984-05-09,0.8635,0.8635,0.8554,0.8635,56047
1984-05-10,0.8635,0.8635,0.8554,0.8554,52542
1984-05-11,0.8473,0.8473,0.8233,0.8393,114593
1984-05-14,0.8314,0.8314,0.8071,0.8154,37031
1984-05-15,0.8154,0.8154,0.7993,0.8071,48538
1984-05-16,0.8071,0.8071,0.7993,0.7993,77060
1984-05-17,0.7993,0.8071,0.7913,0.7993,175142
1984-05-18,0.8071,0.8071,0.7676,0.7676,240198
1984-05-21,0.7753,0.7836,0.7676,0.7836,109589
1984-05-22,0.7836,0.7836,0.7595,0.7836,342779
1984-05-23,0.7753,0.7836,0.7676,0.7836,190653
1984-05-24,0.7836,0.7836,0.7676,0.7676,58548
1984-05-25,0.7676,0.7676,0.7513,0.7595,215176
1984-05-29,0.7513,0.7595,0.7272,0.7435,94074
1984-05-30,0.7435,0.7595,0.7272,0.7435,144619
1984-05-31,0.7595,0.7676,0.7513,0.7676,232689
1984-06-01,0.7676,0.7836,0.7676,0.7836,272723
1984-06-04,0.7836,0.7993,0.7836,0.7913,208671
1984-06-05,0.8154,0.8393,0.8154,0.8314,111091
1984-06-06,0.8393,0.8635,0.8393,0.8635,114093
1984-06-07,0.8635,0.919,0.8635,0.9034,438855
1984-06-08,0.9112,0.919,0.8951,0.9112,163129
1984-06-11,0.919,0.9431,0.919,0.919,221177
1984-06-12,0.919,0.919,0.8554,0.8554,115092
1984-06-13,0.8635,0.8635,0.8233,0.8473,58048
1984-06-14,0.8393,0.8393,0.8233,0.8233,115595
1984-06-15,0.8154,0.8233,0.8071,0.8154,349783
1984-06-18,0.8071,0.8314,0.7913,0.8233,148621
1984-06-19,0.8314,0.8393,0.8233,0.8393,94575
1984-06-20,0.8393,0.8393,0.8154,0.8154,87072
1984-06-21,0.8154,0.8233,0.7993,0.7993,229688
1984-06-22,0.8154,0.8154,0.7993,0.8071,61048
1984-06-25,0.8071,0.8473,0.8071,0.8071,138110
1984-06-26,0.8154,0.8393,0.8154,0.8393,57545
1984-06-27,0.8233,0.8393,0.8154,0.8314,18011
1984-06-28,0.8393,0.8393,0.8314,0.8393,387314
1984-06-29,0.8393,0.8393,0.8314,0.8393,122100
1984-07-02,0.8393,0.8393,0.8314,0.8314,104585
1984-07-03,0.8314,0.8314,0.8233,0.8314,166637
1984-07-05,0.8233,0.8233,0.8154,0.8233,58048
1984-07-06,0.8233,0.8233,0.7993,0.8154,73562
1984-07-09,0.8154,0.8233,0.8154,0.8233,16513
1984-07-10,0.8233,0.8233,0.8071,0.8071,37031
1984-07-11,0.7993,0.8233,0.7993,0.8154,53544
1984-07-12,0.8233,0.8233,0.8154,0.8154,55543
1984-07-13,0.8154,0.8154,0.8154,0.8154,15011
1984-07-16,0.8071,0.8233,0.8071,0.8071,47538
1984-07-17,0.8154,0.8314,0.8071,0.8314,29022
1984-07-18,0.8233,0.8314,0.8233,0.8314,21516
1984-07-19,0.8393,0.8393,0.8314,0.8393,17516
1984-07-20,0.8314,0.8393,0.8314,0.8393,6005
1984-07-23,0.8393,0.8393,0.8314,0.8314,58548
1984-07-24,0.8314,0.8314,0.7993,0.7993,55043
1984-07-25,0.8071,0.8233,0.7993,0.7993,131107
1984-07-26,0.7913,0.7993,0.7913,0.7993,50540
1984-07-27,0.7993,0.7993,0.7913,0.7913,127103
1984-07-30,0.7993,0.7993,0.7836,0.7913,134605
1984-07-31,0.7836,0.7913,0.7753,0.7913,208671
1984-08-01,0.7836,0.8233,0.7836,0.8233,116092
1984-08-02,0.8233,0.8473,0.8154,0.8473,451866
1984-08-03,0.8473,0.8712,0.8473,0.8635,251707
1984-08-06,0.8793,0.8951,0.8712,0.8793,123099
1984-08-07,0.8712,0.8951,0.8712,0.8951,199661
1984-08-08,0.8951,0.9112,0.8951,0.8951,79565
1984-08-09,0.8951,0.9272,0.8951,0.919,193159
1984-08-10,0.9272,0.9431,0.8951,0.8951,168138
1984-08-13,0.8874,0.9112,0.8793,0.9112,455371
1984-08-14,0.9112,0.9272,0.8951,0.9112,89573
1984-08-15,0.9034,0.9112,0.8951,0.9112,300245
1984-08-16,0.9112,0.9112,0.9112,0.9112,57545
1984-08-17,0.919,0.9431,0.919,0.9272,345282
1984-08-20,0.9353,0.9431,0.9272,0.9353,37531
1984-08-21,0.9594,0.9832,0.9431,0.9751,99580
1984-08-22,0.9751,1.0313,0.9751,1.0152,251205
1984-08-23,1.0152,1.0152,1.0072,1.0072,179648
1984-08-24,0.9994,0.9994,0.9751,0.9832,21516
1984-08-27,0.9832,0.9909,0.9751,0.9751,15512
1984-08-28,0.9751,0.9751,0.9751,0.9751,39534
1984-08-29,0.9751,0.9994,0.9751,0.9994,46539
1984-08-30,0.9909,0.9909,0.9751,0.9751,15512
1984-08-31,0.9751,0.9751,0.9751,0.9751,24021
1984-09-04,0.9671,0.9671,0.9594,0.9594,41532
1984-09-05,0.9594,0.9671,0.9594,0.9594,69058
1984-09-06,0.9594,0.9594,0.9594,0.9594,85071
1984-09-07,0.9751,0.9751,0.9671,0.9751,28523
1984-09-10,0.9671,0.9671,0.9431,0.9514,57545
1984-09-11,0.9431,0.9514,0.919,0.9272,52542
1984-09-12,0.9353,0.9353,0.8951,0.8951,44035
1984-09-13,0.9112,0.9431,0.9112,0.9431,128606
1984-09-14,0.9514,0.9671,0.9431,0.9431,109087
1984-09-17,0.9514,0.9514,0.9431,0.9431,22021
1984-09-18,0.9431,0.9431,0.9112,0.919,31525
1984-09-19,0.919,0.9431,0.919,0.9272,81567
1984-09-20,0.9272,0.9431,0.9272,0.9353,102083
1984-09-21,0.9431,0.9514,0.9272,0.9431,172137
1984-09-24,0.9431,0.9431,0.9272,0.9353,237692
1984-09-25,0.9353,0.9353,0.919,0.9272,61550
1984-09-26,0.919,0.9272,0.9112,0.9112,30025
1984-09-27,0.919,0.919,0.9034,0.9034,56548
1984-09-28,0.8951,0.9112,0.8874,0.8951,74060
1984-10-01,0.8712,0.8793,0.8635,0.8712,213170
1984-10-02,0.8635,0.8712,0.8554,0.8712,14513
1984-10-03,0.8793,0.8793,0.8635,0.8635,31525
1984-10-04,0.8554,0.8712,0.8554,0.8554,196157
1984-10-05,0.8635,0.8712,0.8635,0.8712,66554
1984-10-08,0.8712,0.8712,0.8393,0.8473,40530
1984-10-09,0.8473,0.8473,0.8233,0.8233,21020
1984-10-10,0.8154,0.8154,0.7993,0.7993,35030
1984-10-11,0.7993,0.7993,0.7595,0.7595,260708
1984-10-12,0.7595,0.8154,0.7595,0.8071,384309
1984-10-15,0.8071,0.8233,0.7993,0.8233,190653
1984-10-16,0.8233,0.8554,0.8233,0.8473,115595
1984-10-17,0.8473,0.8635,0.8473,0.8554,59048
1984-10-18,0.8554,0.8554,0.8473,0.8554,28022
1984-10-19,0.8635,0.8793,0.8554,0.8554,189653
1984-10-22,0.8473,0.8712,0.8393,0.8554,84064
1984-10-23,0.8473,0.8554,0.8473,0.8473,82065
1984-10-24,0.8473,0.8554,0.8314,0.8554,151621
1984-10-25,0.8473,0.8554,0.8473,0.8554,15512
1984-10-26,0.8393,0.8554,0.8314,0.8554,88573
1984-10-29,0.8554,0.8635,0.8554,0.8635,58048
1984-10-30,0.8635,0.8635,0.8393,0.8473,167135
