Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-07-19,2.225,2.2599,2.1816,2.1904,2228406
1984-07-20,2.1988,2.2163,2.1642,2.1726,611177
1984-07-23,2.1642,2.1816,2.1555,2.1555,233795
1984-07-24,2.1555,2.1555,2.0513,2.1033,720712
1984-07-25,2.0945,2.1119,1.9989,2.0425,905719
1984-07-26,2.0599,2.0685,1.9553,2.0338,708746
1984-07-27,2.0425,2.0685,1.9989,2.0165,252204
1984-07-30,2.0165,2.0165,1.9035,1.9035,302827
1984-07-31,1.9121,1.9121,1.8165,1.8946,599211
1984-08-01,1.9035,1.921,1.8514,1.921,535700
1984-08-02,1.9553,1.9989,1.9121,1.9294,514532
1984-08-03,1.9294,1.9644,1.9121,1.9294,409601
1984-08-06,1.9121,1.947,1.8775,1.8775,258647
1984-08-07,1.8946,2.0685,1.8946,1.9904,1024460
1984-08-08,2.0425,2.0685,1.9904,1.9904,1249969
1984-08-09,2.0253,2.0253,1.9904,1.9989,284419
1984-08-10,2.0253,2.0425,1.9553,1.9729,277973
1984-08-13,1.9729,1.9989,1.9553,1.9729,165681
1984-08-14,1.9644,1.9904,1.9644,1.9815,179488
1984-08-15,1.9989,1.9989,1.9553,1.9644,308352
1984-08-16,1.9729,1.9729,1.9294,1.947,292702
1984-08-17,1.9729,1.9815,1.9294,1.9294,99408
1984-08-20,1.9121,1.921,1.8946,1.8946,140830
1984-08-21,1.9121,1.9121,1.8514,1.886,270611
1984-08-22,1.8946,1.9121,1.8514,1.8514,237473
1984-08-23,1.86,1.86,1.8338,1.8426,650758
1984-08-24,1.8426,1.86,1.8426,1.8426,312032
1984-08-27,1.8514,1.8514,1.7993,1.8254,172123
1984-08-28,1.8254,1.8254,1.7993,1.7993,122420
1984-08-29,1.8165,1.8254,1.8081,1.8165,196057
1984-08-30,1.8254,1.8426,1.8165,1.8338,171203
1984-08-31,1.8338,1.8338,1.8165,1.8165,67191
1984-09-04,1.8254,1.8254,1.7643,1.7902,127941
1984-09-05,1.7643,1.7816,1.695,1.7816,310192
1984-09-06,1.7902,1.8254,1.7816,1.8165,470351
1984-09-07,1.8426,1.947,1.8426,1.886,1307037
1984-09-10,1.921,1.921,1.8946,1.9035,459305
1984-09-11,1.921,1.947,1.9035,1.9121,437214
1984-09-12,1.9381,2.0253,1.9381,1.9989,1853785
1984-09-13,2.0165,2.0165,1.947,1.9729,1306113
1984-09-14,1.9904,1.9904,1.9121,1.947,544909
1984-09-17,1.9729,1.9815,1.947,1.947,462986
1984-09-18,1.9294,1.9381,1.8946,1.8946,254043
1984-09-19,1.8946,1.9815,1.8946,1.9644,1056677
1984-09-20,1.9729,1.9815,1.9644,1.9644,501646
1984-09-21,1.9644,1.9729,1.8514,1.8514,244840
1984-09-24,1.8254,1.8426,1.8165,1.8426,168441
1984-09-25,1.8514,1.8514,1.8254,1.8426,88363
1984-09-26,1.8254,1.9294,1.8254,1.9121,717029
1984-09-27,1.921,1.947,1.8775,1.8946,458384
1984-09-28,1.8946,1.8946,1.8426,1.886,162000
1984-10-01,1.886,1.886,1.8514,1.8775,46945
1984-10-02,1.8514,1.8775,1.8254,1.8254,161079
1984-10-03,1.8426,1.86,1.8254,1.8338,421564
1984-10-04,1.8514,1.86,1.8254,1.8338,127023
1984-10-05,1.8338,1.8426,1.8254,1.8338,66273
1984-10-08,1.8338,1.8338,1.8081,1.8165,32217
1984-10-09,1.8165,1.8165,1.7993,1.7993,129782
1984-10-10,1.7816,1.7993,1.7816,1.7993,109534
1984-10-11,1.8081,1.8081,1.7816,1.7816,108615
