Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1988-03-02,0.17401,0.17401,0.16478,0.17401,8819273
1988-03-03,0.17401,0.17401,0.17401,0.17401,14170989
1988-03-04,0.16478,0.17401,0.16478,0.17401,48236212
1988-03-07,0.17401,0.18308,0.17401,0.17401,43592155
1988-03-08,0.17401,0.18308,0.17401,0.18308,43344475
1988-03-09,0.18308,0.19224,0.18308,0.19224,102611410
1988-03-10,0.19224,0.19224,0.17401,0.18308,75950136
1988-03-11,0.17401,0.18308,0.17401,0.18308,27377785
1988-03-14,0.18308,0.18308,0.17401,0.18308,44591731
1988-03-15,0.18308,0.19224,0.18308,0.18308,32676426
1988-03-16,0.18308,0.18308,0.18308,0.18308,19000805
1988-03-17,0.19224,0.20148,0.19224,0.19224,71456464
1988-03-18,0.20148,0.20148,0.19224,0.20148,29085028
1988-03-21,0.19224,0.20148,0.19224,0.19224,20177295
1988-03-22,0.19224,0.19224,0.18308,0.18308,31924533
1988-03-23,0.18308,0.18308,0.17401,0.18308,49041177
1988-03-24,0.17401,0.18308,0.17401,0.17401,30226137
1988-03-25,0.17401,0.17401,0.17401,0.17401,14719429
1988-03-28,0.17401,0.18308,0.17401,0.18308,36727810
1988-03-29,0.19224,0.19224,0.17401,0.18308,92881017
1988-03-30,0.18308,0.18308,0.17401,0.17401,63539464
1988-03-31,0.17401,0.18308,0.17401,0.18308,27448553
1988-04-04,0.17401,0.18308,0.17401,0.18308,19726157
1988-04-05,0.18308,0.18308,0.17401,0.18308,9748085
1988-04-06,0.18308,0.18308,0.17401,0.18308,32242980
1988-04-07,0.18308,0.18308,0.17401,0.18308,34914418
1988-04-08,0.18308,0.18308,0.17401,0.17401,11676470
1988-04-11,0.18308,0.19224,0.18308,0.18308,32579123
1988-04-12,0.18308,0.18308,0.18308,0.18308,21468782
1988-04-13,0.18308,0.19224,0.18308,0.19224,51288016
1988-04-14,0.18308,0.19224,0.17401,0.17401,41548773
1988-04-15,0.17401,0.17401,0.17401,0.17401,38178522
1988-04-18,0.18308,0.18308,0.17401,0.17401,12313368
1988-04-19,0.17401,0.18308,0.17401,0.17401,14321364
