Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,2.3737,2.4055,2.3419,2.4055,522721
1982-01-04,2.4055,2.4212,2.3815,2.4055,399120
1982-01-05,2.3815,2.3976,2.3737,2.3737,464080
1982-01-06,2.3737,2.3815,2.3578,2.3815,341233
1982-01-07,2.3737,2.3815,2.3578,2.3815,204236
1982-01-08,2.4212,2.4842,2.3578,2.3578,191344
1982-01-11,2.3419,2.3737,2.3106,2.3106,344774
1982-01-12,2.3106,2.3263,2.2947,2.3263,293209
1982-01-13,2.2947,2.3263,2.2707,2.2947,239120
1982-01-14,2.2707,2.2947,2.2471,2.2471,358169
1982-01-15,2.2789,2.3106,2.2471,2.2789,247716
1982-01-18,2.2789,2.2947,2.2707,2.2947,289668
1982-01-19,2.3106,2.334,2.2789,2.3263,240129
1982-01-20,2.3263,2.3263,2.3106,2.3263,208027
1982-01-21,2.2947,2.3106,2.2707,2.2947,220413
1982-01-22,2.2707,2.2947,2.2315,2.2471,555330
1982-01-25,2.2075,2.2315,2.1759,2.2075,483040
1982-01-26,2.2075,2.2315,2.1836,2.1919,535865
1982-01-27,2.1836,2.1919,2.1759,2.1919,277032
1982-01-28,2.2471,2.3263,2.1759,2.3263,350083
1982-01-29,2.2789,2.3263,2.2471,2.2552,271729
1982-02-01,2.2315,2.2552,2.1919,2.1919,240382
1982-02-02,2.2075,2.2234,2.1836,2.1919,162024
1982-02-03,2.1919,2.2075,2.1836,2.2075,131946
1982-02-04,2.2234,2.2315,2.1919,2.2075,171376
1982-02-05,2.2234,2.2315,2.1919,2.2075,187049
1982-02-08,2.2075,2.2234,2.1836,2.1836,223449
1982-02-09,2.1603,2.1759,2.1445,2.1603,321271
1982-02-10,2.1836,2.2234,2.1445,2.1919,269702
1982-02-11,2.1919,2.2075,2.1759,2.2075,336181
1982-02-12,2.1836,2.2075,2.1603,2.1759,353370
1982-02-16,2.1603,2.1759,2.1283,2.1759,289922
1982-02-17,2.1759,2.1836,2.1445,2.1603,185785
1982-02-18,2.1759,2.1759,2.1603,2.1759,153935
1982-02-19,2.1759,2.1836,2.1603,2.1759,270460
1982-02-22,2.1759,2.1919,2.1283,2.1283,248722
1982-02-23,2.1283,2.1445,2.1205,2.1445,217383
1982-02-24,2.1759,2.2075,2.1283,2.2075,322532
1982-02-25,2.2075,2.2234,2.1919,2.1919,331123
1982-02-26,2.1836,2.1919,2.1759,2.1836,183763
1982-03-01,2.1759,2.1836,2.1603,2.1836,192860
1982-03-02,2.1919,2.2234,2.1759,2.1919,334412
1982-03-03,2.1445,2.1759,2.1126,2.1283,531316
1982-03-04,2.1126,2.1445,2.0734,2.0809,451443
1982-03-05,2.0415,2.0734,2.0176,2.0255,609172
1982-03-08,1.9938,2.0572,1.9306,1.9386,605883
1982-03-09,1.9938,2.0572,1.9306,2.0019,793945
1982-03-10,2.0255,2.0572,2.0019,2.0415,456244
1982-03-11,2.0415,2.0572,2.0255,2.0415,320508
1982-03-12,1.9938,2.0255,1.9462,1.9462,565690
1982-03-15,1.9462,1.978,1.9306,1.9621,828821
1982-03-16,1.9938,2.0019,1.9621,1.9938,387997
1982-03-17,2.0019,2.0255,1.978,1.978,249734
1982-03-18,2.0255,2.0572,2.0019,2.0572,234064
1982-03-19,2.0809,2.0968,2.0572,2.0968,210302
1982-03-22,2.1205,2.1445,2.0968,2.1283,501744
1982-03-23,2.1283,2.1603,2.1126,2.1283,265659
1982-03-24,2.1283,2.1445,2.1126,2.1205,379151
1982-03-25,2.1126,2.1205,2.0968,2.1126,193873
1982-03-26,2.1205,2.1283,2.0968,2.1126,231530
1982-03-29,2.1126,2.1205,2.0968,2.1205,210806
1982-03-30,2.1205,2.1283,2.1126,2.1205,200444
1982-03-31,2.1205,2.1283,2.0968,2.0968,764873
1982-04-01,2.1126,2.1126,2.0968,2.0968,214601
1982-04-02,2.1205,2.1283,2.0968,2.1205,452709
1982-04-05,2.1126,2.1205,2.0968,2.1205,136747
1982-04-06,2.1126,2.1205,2.0968,2.1126,236086
1982-04-07,2.0968,2.1126,2.0734,2.1126,227239
1982-04-08,2.0968,2.1126,2.0809,2.1126,135481
1982-04-12,2.0968,2.1126,2.0809,2.1126,170365
1982-04-13,2.0968,2.1126,2.0809,2.0968,160001
1982-04-14,2.0809,2.0968,2.0734,2.0968,138514
1982-04-15,2.1126,2.1445,2.0734,2.1205,386231
1982-04-16,2.1283,2.1445,2.1126,2.1205,320257
1982-04-19,2.1126,2.1205,2.0809,2.0968,1473884
1982-04-20,2.0734,2.0968,2.0255,2.0415,573274
1982-04-21,2.0415,2.0734,2.0176,2.0734,431474
1982-04-22,2.0968,2.1126,2.0734,2.1126,264649
1982-04-23,2.1126,2.1205,2.0809,2.0968,557604
1982-04-26,2.0415,2.0734,2.0176,2.0255,693847
1982-04-27,2.0255,2.0415,2.0019,2.0176,414794
1982-04-28,2.0019,2.0255,1.978,2.0019,408724
1982-04-29,1.9938,2.0019,1.978,1.978,284363
1982-04-30,1.9938,2.0019,1.978,2.0019,151658
1982-05-03,2.0019,2.0176,1.978,2.0176,267677
1982-05-04,2.0255,2.0415,2.0019,2.0176,314189
1982-05-05,2.0255,2.0415,2.0176,2.0176,241394
1982-05-06,2.0255,2.0572,2.0019,2.0415,451188
1982-05-07,2.0734,2.1126,2.0255,2.0809,606641
